strategy,sharpe,cagr,mdd,trades,avg_hold,oracle%,suppress
E0,1.371778,57.716228,39.957135,189,40.777778,0.000000,0
X18(α=50%),1.547917,71.893112,36.922280,145,55.193103,20.844755,673
X14_D(P>0.5),1.428000,64.000000,36.700000,133,60.300000,10.900000,812
"X16_E(τ=.85,G=8)",1.424000,62.700000,38.900000,162,48.700000,10.400000,0
