quintile,n,mean_du,median_du,p10_du
1,33,0.000000,0.000000,0.000000
2,33,0.000000,0.000000,0.000000
3,33,0.000000,0.000000,0.000000
4,33,-0.003776,0.000000,-0.025889
5,36,0.003872,0.001258,-0.047257
