year,e0_sharpe,filter_sharpe,d_sharpe,d_sharpe_negative
2020,0.774331,0.839472,0.065141,False
2021,1.185123,1.233000,0.047877,False
2022,1.486274,1.682983,0.196709,False
2023,1.443154,1.539348,0.096194,False
2024,1.287674,1.419750,0.132076,False
2025,1.503379,1.693143,0.189764,False
