label,trade_id,entry_time,exit_time,entry_price,exit_price,qty,pnl,return_pct,days_held,entry_reason,exit_reason,regime
candidate,1,1554926400000,1556424000000,5193.252696,5301.264757,0.82778933,82.828736,2.079854,17.333333,vdo_trend_accel,trailing_stop,AnalyticalRegime.NEUTRAL
candidate,2,1556496000000,1558065600000,5518.099381,7336.597896,1.65208461,2986.132394,32.955161,18.166667,vdo_trend_accel,trailing_stop,AnalyticalRegime.NEUTRAL
candidate,3,1558238400000,1559606400000,7927.381621,8107.546369,1.5638393,262.730364,2.272689,15.833333,vdo_trend_accel,trailing_stop,AnalyticalRegime.SHOCK
candidate,4,1559793600000,1561651200000,7885.994253,11818.172958,1.62024328,6342.363635,49.862815,21.5,vdo_trend_accel,trailing_stop,AnalyticalRegime.BULL
candidate,5,1562126400000,1562904000000,11441.570188,11178.323287,1.29427284,-362.415015,-2.300793,9.0,vdo_trend_accel,trailing_stop,AnalyticalRegime.SHOCK
candidate,6,1563436800000,1563897600000,10544.362849,9920.661893,1.13018786,-721.717568,-5.915018,5.333333,vdo_trend_accel,trailing_stop,AnalyticalRegime.SHOCK
candidate,7,1564027200000,1565481600000,9880.437531,11297.933587,1.76363081,2470.051646,14.346491,16.833333,vdo_trend_accel,trailing_stop,AnalyticalRegime.CHOP
candidate,8,1565971200000,1566403200000,10333.082878,9976.785727,1.9242692,-714.408666,-3.448121,5.0,vdo_trend_accel,trailing_stop,AnalyticalRegime.BULL
candidate,9,1566576000000,1567022400000,10271.7743,9675.547191,1.66488875,-1016.814871,-5.804519,5.166667,vdo_trend_accel,emergency_dd,AnalyticalRegime.CHOP
candidate,10,1567209600000,1568001600000,9641.71705,10289.922355,1.9830992,1254.846515,6.722924,9.166667,vdo_trend_accel,trailing_stop,AnalyticalRegime.BULL
candidate,11,1568246400000,1568865600000,10244.807435,9812.879756,1.95088091,-871.355106,-4.216064,7.166667,vdo_trend_accel,emergency_dd,AnalyticalRegime.CHOP
candidate,12,1569196800000,1569355200000,10038.080557,8353.720011,0.67968325,-1153.348474,-16.779707,1.833333,vdo_trend_accel,emergency_dd,AnalyticalRegime.BULL
candidate,13,1569528000000,1571054400000,8051.653753,8271.80199,1.93378396,401.725311,2.734199,17.666667,vdo_dip_buy,trailing_stop,AnalyticalRegime.NEUTRAL
candidate,14,1572652800000,1573228800000,9276.333998,8811.941445,1.75635577,-838.853897,-5.006208,6.666667,vdo_trend,emergency_dd,AnalyticalRegime.BULL
candidate,15,1573963200000,1574424000000,8490.494131,7095.778896,0.73554745,-1033.708151,-16.426785,5.333333,vdo_trend_accel,emergency_dd,AnalyticalRegime.NEUTRAL
candidate,16,1579248000000,1581883200000,9180.430241,9736.166526,1.74815504,945.982697,6.053488,30.5,vdo_trend_accel,trailing_stop,AnalyticalRegime.NEUTRAL
