scenario,model,total_score,return_term,mdd_penalty,sharpe_term,profit_factor_term,trade_count_term,reject_term,residual
smart,candidate,107.09469999999999,111.64999999999999,-25.014,10.8152,4.6435,5.0,0.0,0.0
base,candidate,99.23909999999998,104.94999999999999,-25.428,10.2976,4.419499999999999,5.0,0.0,0.0
harsh,candidate,91.3536,98.675,-26.483999999999998,9.8376,4.325,5.0,0.0,0.0
smart,baseline,114.9068,114.7,-21.054000000000002,10.9808,5.28,5.0,0.0,0.0
base,baseline,106.1535,107.425,-21.75,10.456,5.022500000000001,5.0,0.0,0.0
harsh,baseline,91.0416,93.625,-21.54,9.4976,4.459,5.0,0.0,0.0
