candidate_label,native_top1_share_of_total_net_pnl,native_top3_share_of_total_net_pnl,native_top5_share_of_total_net_pnl,native_top10_share_of_total_net_pnl,native_remaining_after_top10_net_pnl,native_drop_top1_cagr,native_drop_top3_cagr,native_drop_top5_cagr,native_drop_top10_cagr,native_drop_top1_sharpe,native_drop_top3_sharpe,native_drop_top5_sharpe,native_drop_top10_sharpe,unit_size_top1_share_of_terminal,unit_size_top3_share_of_terminal,unit_size_top5_share_of_terminal,unit_size_top10_share_of_terminal
E0,22.8572,61.6607,90.189,143.1948,-94371.81,55.802794,41.105439,19.268321,-100.0,1.073418,0.942888,0.774896,0.461625,46.7845,75.3284,87.2905,96.7377
E5,22.0129,52.999,78.964,122.5981,-61663.16,61.202739,49.791646,34.117985,-100.0,1.162953,1.033291,0.893557,0.63727,40.5024,76.7687,87.5696,96.2701
SM,19.2677,53.8706,81.9417,124.3229,-4777.18,15.736914,10.432335,4.780964,-9.509972,0.726675,0.510408,0.137565,-0.511623,46.5698,78.6185,88.9069,96.0856
LATCH,18.3151,54.0847,81.5034,122.4545,-3187.93,12.575835,8.027624,3.652417,-5.734959,0.730944,0.516656,0.14659,-0.505756,47.2137,78.8761,89.0405,96.1327
E0_plus_EMA1D21,23.1149,57.9507,83.4384,134.2857,-83465.52,58.199961,45.089454,28.220389,-100.0,1.109935,0.971606,0.82702,0.534827,45.1699,74.5798,86.9049,96.6387
E5_plus_EMA1D21,21.1773,50.0392,73.8108,114.7778,-45944.21,64.591163,53.970683,40.557562,-100.0,1.203413,1.085969,0.935535,0.682323,38.6971,76.0639,87.1924,96.1569
