valid_trade_count,na_trade_count,mean_giveback,median_giveback,p75,p90,frac_gt_050,frac_gt_075,trail_stop_median_giveback,trend_exit_median_giveback,floor_exit_median_giveback,hold_lt1d_mean_giveback,hold_1_3d_mean_giveback,hold_3_7d_mean_giveback,hold_7_14d_mean_giveback,hold_14d_plus_mean_giveback,candidate_label
188,4,4.077463,1.205789,2.892363,6.89399,0.819149,0.691489,1.052437,1.205789,,17.037166,5.401366,2.686852,0.772324,0.326704,E0
203,4,3.709074,1.124126,2.74458,7.950922,0.82266,0.669951,1.016758,1.124126,,13.551687,5.203639,2.581792,0.711431,0.310877,E5
65,0,3.866122,1.312654,2.796894,10.386241,0.784615,0.661538,,1.312654,1.312654,,13.843065,7.057833,2.296929,0.495652,SM
65,0,4.584982,1.312654,2.721264,13.46511,0.784615,0.676923,,,1.312654,,13.843065,9.682104,2.269559,0.496045,LATCH
168,4,3.792149,1.093275,2.846239,6.096739,0.815476,0.690476,1.04446,1.093275,,27.184746,5.910418,2.795316,0.714022,0.338578,E0_plus_EMA1D21
182,4,3.394708,1.051146,2.615312,7.654635,0.813187,0.664835,1.032963,1.051146,,18.443497,5.735094,2.657743,0.666575,0.311536,E5_plus_EMA1D21
