candidate_label,ledger_view,base_terminal_value,base_cagr,base_sharpe,zero_cross_metric,zero_cross_index,zero_cross_pct,zero_cross_episode_id,zero_cross_exit_time,terminal_value_at_zero_cross,cagr_at_zero_cross,sharpe_at_zero_cross,tested_window_max_removal_pct
E0,native,228479.79,61.82794,1.137892,cagr,6,3.12,,,1403.39,-26.07412,0.68723,19.79
E0,unit_size,354310.95,73.127819,1.137892,cagr,11,5.73,,,9209.29,-1.259278,0.09371,19.79
E5,native,282869.38,67.232589,1.229858,cagr,8,3.86,,,-11870.17,-100.0,0.693282,19.81
E5,unit_size,458108.0,80.108214,1.229858,cagr,13,6.28,,,9745.52,-0.395782,0.121073,19.81
SM,native,29640.67,18.194741,0.820877,cagr,7,10.77,,,9413.79,-0.925067,-0.089061,20.0
SM,unit_size,90430.03,40.32176,0.820877,cagr,6,9.23,,,7917.53,-3.528628,-0.004321,20.0
LATCH,native,24197.25,14.562093,0.824538,cagr,7,10.77,,,9852.56,-0.228259,-0.075597,20.0
LATCH,unit_size,93096.81,40.950588,0.824538,cagr,6,9.23,,,8052.89,-3.276712,0.005343,20.0
E0_plus_EMA1D21,native,253441.42,64.430043,1.175,cagr,7,4.07,,,-8661.04,-100.0,0.681412,19.77
E0_plus_EMA1D21,unit_size,377552.27,74.82835,1.175,cagr,12,6.98,,,8382.04,-2.678751,0.030811,19.77
E5_plus_EMA1D21,native,320900.1,70.509746,1.270151,cagr,8,4.3,,,9721.26,-0.433983,0.738407,19.89
E5_plus_EMA1D21,unit_size,497466.27,82.406605,1.270151,cagr,14,7.53,,,9332.3,-1.057506,0.08973,19.89
