candidate_label,canonical_fill_ledger_path,canonical_trade_csv_path,canonical_backtest_detail_json_path,canonical_run_meta_path,canonical_profile_output_path,profile_source_mode,canonical_period_start,canonical_period_end,canonical_fee_bps_round_trip,expected_trade_count
E0,results/parity_20260305/eval_e0_vs_e0/results/trades_candidate.csv,results/parity_20260305/eval_e0_vs_e0/results/trades_candidate.csv,results/parity_20260305/eval_e0_vs_e0/results/full_backtest_detail.json,results/parity_20260305/eval_e0_vs_e0/results/run_meta.json,results/trade_profile_8x5/E0,imported,2019-01-01,2026-02-20,50,192
E5,results/parity_20260305/eval_e5_vs_e0/results/trades_candidate.csv,results/parity_20260305/eval_e5_vs_e0/results/trades_candidate.csv,results/parity_20260305/eval_e5_vs_e0/results/full_backtest_detail.json,results/parity_20260305/eval_e5_vs_e0/results/run_meta.json,results/trade_profile_8x5/E5,imported,2019-01-01,2026-02-20,50,207
SM,results/parity_20260305/eval_sm_vs_e0/results/trades_candidate.csv,results/parity_20260305/eval_sm_vs_e0/results/trades_candidate.csv,results/parity_20260305/eval_sm_vs_e0/results/full_backtest_detail.json,results/parity_20260305/eval_sm_vs_e0/results/run_meta.json,results/trade_profile_8x5/SM,imported,2019-01-01,2026-02-20,50,65
LATCH,results/parity_20260305/eval_latch_vs_e0/results/trades_candidate.csv,results/parity_20260305/eval_latch_vs_e0/results/trades_candidate.csv,results/parity_20260305/eval_latch_vs_e0/results/full_backtest_detail.json,results/parity_20260305/eval_latch_vs_e0/results/run_meta.json,results/trade_profile_8x5/LATCH,imported,2019-01-01,2026-02-20,50,65
E0_plus_EMA1D21,results/parity_20260305/eval_ema21d1_vs_e0/results/trades_candidate.csv,results/parity_20260305/eval_ema21d1_vs_e0/results/trades_candidate.csv,results/parity_20260305/eval_ema21d1_vs_e0/results/full_backtest_detail.json,results/parity_20260305/eval_ema21d1_vs_e0/results/run_meta.json,results/trade_profile_8x5/E0_plus_EMA1D21,imported,2019-01-01,2026-02-20,50,172
E5_plus_EMA1D21,results/parity_20260306/eval_e5_ema21d1_vs_e0/results/trades_candidate.csv,results/parity_20260306/eval_e5_ema21d1_vs_e0/results/trades_candidate.csv,results/parity_20260306/eval_e5_ema21d1_vs_e0/results/full_backtest_detail.json,results/parity_20260306/eval_e5_ema21d1_vs_e0/results/run_meta.json,N/A (computed in Step 2),computed_step2,2019-01-01,2026-02-20,50,186
