candidate_label,ledger_view,n_threshold,skip_event_count,skipped_trade_count,skipped_winner_count,skipped_loser_count,skipped_top1_count,skipped_top3_count,skipped_top5_count,skipped_top10_count,terminal_value,cagr,sharpe,delta_terminal_value,delta_cagr,delta_sharpe,delta_sharpe_pct,verdict
E0,native,2,37,37,18,19,0,0,0,3,81580.35,38.11598,0.875371,-146899.44,-23.711959,-0.262521,-23.0708,HARMFUL
E0,unit_size,2,37,37,18,19,0,0,0,2,110872.53,44.791194,0.875371,-243438.42,-28.336625,-0.262521,-23.0708,HARMFUL
E0,native,3,16,16,7,9,0,0,0,2,180884.84,56.115666,1.029225,-47594.95,-5.712274,-0.108667,-9.5499,HARMFUL
E0,unit_size,3,16,16,7,9,0,0,0,1,204059.5,59.038053,1.029225,-150251.45,-14.089767,-0.108667,-9.5499,HARMFUL
E0,native,4,8,8,3,5,0,0,0,0,229635.83,61.95364,1.138641,1156.04,0.125701,0.000749,0.0659,NEUTRAL
E0,unit_size,4,8,8,3,5,0,0,0,0,351993.4,72.953115,1.138641,-2317.55,-0.174704,0.000749,0.0659,NEUTRAL
E0,native,5,5,5,1,4,0,0,0,0,225778.8,61.532141,1.141731,-2700.98,-0.295799,0.003839,0.3374,NEUTRAL
E0,unit_size,5,5,5,1,4,0,0,0,0,356087.31,73.261073,1.141731,1776.36,0.133254,0.003839,0.3374,NEUTRAL
E5,native,2,36,36,17,19,0,0,0,3,164183.83,53.806223,1.016641,-118685.55,-13.426366,-0.213217,-17.3367,HARMFUL
E5,unit_size,2,36,36,17,19,0,0,0,2,180059.86,56.005914,1.016641,-278048.14,-24.1023,-0.213217,-17.3367,HARMFUL
E5,native,3,18,18,9,9,0,0,0,2,206314.01,59.30712,1.079481,-76555.37,-7.925469,-0.150377,-12.2272,HARMFUL
E5,unit_size,3,18,18,9,9,0,0,0,1,208117.32,59.520554,1.079481,-249990.69,-20.58766,-0.150377,-12.2272,HARMFUL
E5,native,4,8,8,2,6,0,0,0,0,285706.55,67.489553,1.252166,2837.17,0.256964,0.022307,1.8138,NEUTRAL
E5,unit_size,4,8,8,2,6,0,0,0,0,493144.74,82.161923,1.252166,35036.74,2.053709,0.022307,1.8138,NEUTRAL
E5,native,5,5,5,2,3,0,0,0,0,277807.41,66.768659,1.228239,-5061.97,-0.463931,-0.001619,-0.1317,NEUTRAL
E5,unit_size,5,5,5,2,3,0,0,0,0,450102.41,79.620371,1.228239,-8005.6,-0.487843,-0.001619,-0.1317,NEUTRAL
SM,native,2,13,13,7,6,0,0,0,3,21945.96,12.853775,0.645441,-7694.71,-5.340966,-0.175436,-21.3718,HARMFUL
SM,unit_size,2,13,13,7,6,0,0,0,2,44406.19,25.778582,0.645441,-46023.84,-14.543179,-0.175436,-21.3718,HARMFUL
SM,native,3,6,6,3,3,0,0,0,1,27796.46,17.032389,0.795893,-1844.21,-1.162352,-0.024984,-3.0435,NEUTRAL
SM,unit_size,3,6,6,3,3,0,0,0,1,80746.44,37.897835,0.795893,-9683.58,-2.423925,-0.024984,-3.0435,NEUTRAL
SM,native,4,2,2,1,1,0,0,0,1,28857.67,17.708934,0.784815,-783.0,-0.485807,-0.036062,-4.3931,NEUTRAL
SM,unit_size,4,2,2,1,1,0,0,0,1,78127.29,37.200051,0.784815,-12302.73,-3.121709,-0.036062,-4.3931,NEUTRAL
SM,native,5,1,1,0,1,0,0,0,0,29843.34,18.318717,0.833129,202.67,0.123975,0.012252,1.4926,NEUTRAL
SM,unit_size,5,1,1,0,1,0,0,0,0,94223.09,41.211596,0.833129,3793.06,0.889836,0.012252,1.4926,NEUTRAL
LATCH,native,2,13,13,7,6,0,0,0,3,18661.69,10.074002,0.665929,-5535.57,-4.48809,-0.15861,-19.2362,HARMFUL
