level,idx,start_date,end_date,duration_days,btc_return_pct
AMBER,1,2018-06-29,2018-09-03,67,17.18
AMBER,2,2018-12-05,2019-03-02,88,1.33
AMBER,3,2019-07-15,2020-01-06,176,-28.42
AMBER,4,2020-12-06,2026-02-20,1903,251.35
RED,1,2018-06-29,2018-08-29,62,13.44
RED,2,2019-07-16,2020-01-02,171,-26.21
RED,3,2020-12-12,2026-02-20,1897,261.64
