bar_idx,date,close,rolling_mdd,rolling_atr_q90,atr_ratio,alert_level,alert_name
79,2018-03-21,8885.00,,,,0,NORMAL
80,2018-03-22,8722.90,,,,0,NORMAL
81,2018-03-23,8898.03,,,,0,NORMAL
82,2018-03-24,8546.86,,,,0,NORMAL
83,2018-03-25,8470.15,,,,0,NORMAL
84,2018-03-26,8134.23,,,,0,NORMAL
85,2018-03-27,7795.51,,,,0,NORMAL
86,2018-03-28,7949.30,,,,0,NORMAL
87,2018-03-29,7090.14,,,,0,NORMAL
88,2018-03-30,6840.23,,,,0,NORMAL
89,2018-03-31,6923.91,,,,0,NORMAL
90,2018-04-01,6813.01,,,,0,NORMAL
91,2018-04-02,7056.00,,,,0,NORMAL
92,2018-04-03,7405.21,,,,0,NORMAL
93,2018-04-04,6796.10,,,,0,NORMAL
94,2018-04-05,6770.76,,,,0,NORMAL
95,2018-04-06,6601.39,,,,0,NORMAL
96,2018-04-07,6895.80,,,,0,NORMAL
97,2018-04-08,7018.00,,,,0,NORMAL
98,2018-04-09,6782.72,,,,0,NORMAL
99,2018-04-10,6843.90,,,,0,NORMAL
100,2018-04-11,6953.79,,,,0,NORMAL
101,2018-04-12,7923.00,,,,0,NORMAL
102,2018-04-13,7877.41,,,,0,NORMAL
103,2018-04-14,7999.01,,,,0,NORMAL
104,2018-04-15,8355.00,,,,0,NORMAL
105,2018-04-16,8064.92,,,,0,NORMAL
106,2018-04-17,7885.02,,,,0,NORMAL
107,2018-04-18,8173.00,,,,0,NORMAL
108,2018-04-19,8278.00,,,,0,NORMAL
109,2018-04-20,8856.98,,,,0,NORMAL
110,2018-04-21,8915.31,,,,0,NORMAL
111,2018-04-22,8787.02,,,,0,NORMAL
112,2018-04-23,8934.01,,,,0,NORMAL
113,2018-04-24,9619.99,,,,0,NORMAL
114,2018-04-25,8869.99,,,,0,NORMAL
115,2018-04-26,9266.00,,,,0,NORMAL
116,2018-04-27,8915.35,,,,0,NORMAL
117,2018-04-28,9348.00,,,,0,NORMAL
118,2018-04-29,9419.00,,,,0,NORMAL
119,2018-04-30,9246.01,,,,0,NORMAL
120,2018-05-01,9071.48,,,,0,NORMAL
121,2018-05-02,9247.84,,,,0,NORMAL
122,2018-05-03,9750.00,,,,0,NORMAL
123,2018-05-04,9713.99,,,,0,NORMAL
124,2018-05-05,9864.00,,,,0,NORMAL
125,2018-05-06,9659.01,,,,0,NORMAL
126,2018-05-07,9365.00,,,,0,NORMAL
127,2018-05-08,9187.56,,,,0,NORMAL
128,2018-05-09,9310.00,,,,0,NORMAL
129,2018-05-10,9002.20,,,,0,NORMAL
130,2018-05-11,8400.00,,,,0,NORMAL
131,2018-05-12,8465.94,,,,0,NORMAL
132,2018-05-13,8679.71,,,,0,NORMAL
133,2018-05-14,8663.34,,,,0,NORMAL
134,2018-05-15,8462.00,,,,0,NORMAL
135,2018-05-16,8330.00,,,,0,NORMAL
136,2018-05-17,8041.46,,,,0,NORMAL
137,2018-05-18,8239.81,,,,0,NORMAL
138,2018-05-19,8233.49,,,,0,NORMAL
139,2018-05-20,8526.98,,,,0,NORMAL
140,2018-05-21,8381.24,,,,0,NORMAL
141,2018-05-22,7977.11,,,,0,NORMAL
142,2018-05-23,7501.95,,,,0,NORMAL
143,2018-05-24,7575.01,,,,0,NORMAL
144,2018-05-25,7457.00,,,,0,NORMAL
145,2018-05-26,7333.96,,,,0,NORMAL
146,2018-05-27,7338.99,,,,0,NORMAL
147,2018-05-28,7099.00,,,,0,NORMAL
148,2018-05-29,7461.29,,,,0,NORMAL
149,2018-05-30,7375.96,,,,0,NORMAL
150,2018-05-31,7485.01,,,,0,NORMAL
151,2018-06-01,7521.01,,,,0,NORMAL
152,2018-06-02,7640.03,,,,0,NORMAL
153,2018-06-03,7714.26,,,,0,NORMAL
154,2018-06-04,7487.00,,,,0,NORMAL
155,2018-06-05,7625.00,,,,0,NORMAL
156,2018-06-06,7658.84,,,,0,NORMAL
157,2018-06-07,7691.08,,,,0,NORMAL
158,2018-06-08,7603.44,,,,0,NORMAL
159,2018-06-09,7491.73,,,,0,NORMAL
160,2018-06-10,6764.99,,,,0,NORMAL
161,2018-06-11,6872.00,,,,0,NORMAL
162,2018-06-12,6530.00,,,,0,NORMAL
163,2018-06-13,6292.78,,,,0,NORMAL
164,2018-06-14,6635.98,,,,0,NORMAL
165,2018-06-15,6388.90,,,,0,NORMAL
166,2018-06-16,6483.98,,,,0,NORMAL
167,2018-06-17,6449.61,,,,0,NORMAL
168,2018-06-18,6712.46,,,,0,NORMAL
169,2018-06-19,6741.21,,,,0,NORMAL
170,2018-06-20,6761.51,,,,0,NORMAL
171,2018-06-21,6718.84,,,,0,NORMAL
172,2018-06-22,6045.00,,,,0,NORMAL
173,2018-06-23,6149.98,,,,0,NORMAL
174,2018-06-24,6136.97,,,,0,NORMAL
175,2018-06-25,6252.00,,,,0,NORMAL
176,2018-06-26,6070.78,,,,0,NORMAL
177,2018-06-27,6133.73,,,,0,NORMAL
178,2018-06-28,5853.98,,,,0,NORMAL
179,2018-06-29,6197.92,0.657056,1526.74,2.8496,2,RED
180,2018-06-30,6390.07,0.657056,1522.74,2.8422,2,RED
181,2018-07-01,6356.81,0.657056,1518.74,2.8347,2,RED
182,2018-07-02,6615.29,0.657056,1514.74,2.8272,2,RED
183,2018-07-03,6513.86,0.657056,1510.74,2.8198,2,RED
184,2018-07-04,6586.98,0.657056,1509.50,2.8175,2,RED
185,2018-07-05,6529.20,0.637525,1508.27,2.8152,2,RED
186,2018-07-06,6609.78,0.607302,1507.04,2.8129,2,RED
187,2018-07-07,6756.98,0.607302,1505.81,2.8106,2,RED
188,2018-07-08,6712.10,0.607302,1504.58,2.8083,2,RED
189,2018-07-09,6662.12,0.588038,1503.34,2.8060,2,RED
190,2018-07-10,6296.91,0.588038,1502.11,2.8037,2,RED
191,2018-07-11,6378.07,0.588038,1500.88,2.8014,2,RED
192,2018-07-12,6250.57,0.567651,1499.65,2.7991,2,RED
193,2018-07-13,6214.57,0.567651,1497.63,2.7953,2,RED
194,2018-07-14,6251.99,0.542656,1492.40,2.7855,2,RED
195,2018-07-15,6353.01,0.542656,1483.42,2.7688,2,RED
196,2018-07-16,6723.35,0.542656,1480.21,2.7628,2,RED
197,2018-07-17,7317.44,0.542656,1464.79,2.7340,2,RED
198,2018-07-18,7381.90,0.542656,1461.49,2.7278,2,RED
199,2018-07-19,7466.21,0.507239,1415.13,2.6413,2,RED
200,2018-07-20,7337.53,0.507239,1380.68,2.5770,2,RED
201,2018-07-21,7398.78,0.507239,1349.67,2.5191,2,RED
202,2018-07-22,7394.79,0.507239,1312.90,2.4505,2,RED
203,2018-07-23,7721.01,0.507239,1285.17,2.3987,2,RED
204,2018-07-24,8397.24,0.507239,1238.56,2.3117,2,RED
205,2018-07-25,8175.64,0.507239,1215.87,2.2694,2,RED
206,2018-07-26,7920.00,0.507239,1194.87,2.2302,2,RED
207,2018-07-27,8188.57,0.491621,1158.34,2.1620,2,RED
208,2018-07-28,8225.04,0.491621,1149.32,2.1452,2,RED
209,2018-07-29,8211.00,0.491621,1145.61,2.1383,2,RED
210,2018-07-30,8173.92,0.491621,1137.53,2.1232,2,RED
211,2018-07-31,7730.93,0.491621,1117.28,2.0854,2,RED
212,2018-08-01,7604.58,0.491621,1105.51,2.0634,2,RED
213,2018-08-02,7525.71,0.491621,1104.41,2.0614,2,RED
214,2018-08-03,7418.78,0.491621,1101.03,2.0550,2,RED
215,2018-08-04,7009.84,0.491621,1097.59,2.0486,2,RED
216,2018-08-05,7024.19,0.491621,1068.36,1.9941,2,RED
217,2018-08-06,6934.82,0.491621,1063.13,1.9843,2,RED
218,2018-08-07,6720.06,0.491621,1044.60,1.9497,2,RED
219,2018-08-08,6285.00,0.491621,1026.85,1.9166,2,RED
220,2018-08-09,6529.79,0.491621,1011.94,1.8888,2,RED
221,2018-08-10,6144.01,0.491621,978.74,1.8268,2,RED
222,2018-08-11,6232.35,0.491621,969.64,1.8098,2,RED
223,2018-08-12,6308.33,0.491621,962.87,1.7972,2,RED
224,2018-08-13,6246.35,0.491621,961.36,1.7944,2,RED
225,2018-08-14,6188.08,0.491621,951.93,1.7768,2,RED
226,2018-08-15,6267.16,0.491621,944.18,1.7623,2,RED
227,2018-08-16,6311.75,0.491621,940.30,1.7551,2,RED
228,2018-08-17,6584.49,0.491621,937.82,1.7504,2,RED
229,2018-08-18,6387.96,0.491621,933.14,1.7417,2,RED
230,2018-08-19,6477.53,0.491621,926.79,1.7298,2,RED
231,2018-08-20,6254.84,0.491621,924.95,1.7264,2,RED
232,2018-08-21,6480.00,0.491621,921.60,1.7201,2,RED
233,2018-08-22,6360.89,0.491621,920.85,1.7187,2,RED
234,2018-08-23,6525.01,0.491621,913.04,1.7042,2,RED
235,2018-08-24,6681.64,0.491621,907.88,1.6945,2,RED
236,2018-08-25,6733.64,0.491621,904.38,1.6880,2,RED
237,2018-08-26,6700.00,0.491621,895.42,1.6713,2,RED
238,2018-08-27,6908.64,0.491621,869.04,1.6221,2,RED
239,2018-08-28,7076.11,0.491621,863.91,1.6125,2,RED
240,2018-08-29,7031.22,0.491621,861.30,1.6076,2,RED
241,2018-08-30,6984.84,0.491621,846.50,1.5800,1,AMBER
242,2018-08-31,7011.21,0.488914,831.71,1.5524,1,AMBER
243,2018-09-01,7200.01,0.453740,809.59,1.5111,1,AMBER
244,2018-09-02,7302.01,0.409286,774.95,1.4464,1,AMBER
245,2018-09-03,7263.02,0.406531,765.73,1.4292,1,AMBER
246,2018-09-04,7359.06,0.406531,747.16,1.3946,0,NORMAL
247,2018-09-05,6700.00,0.406531,741.99,1.3849,0,NORMAL
248,2018-09-06,6516.01,0.406531,738.47,1.3783,0,NORMAL
249,2018-09-07,6395.54,0.406531,721.05,1.3458,0,NORMAL
250,2018-09-08,6185.05,0.406531,717.46,1.3391,0,NORMAL
251,2018-09-09,6250.81,0.406531,711.02,1.3271,0,NORMAL
252,2018-09-10,6312.00,0.406531,687.80,1.2838,0,NORMAL
253,2018-09-11,6294.91,0.406531,677.04,1.2637,0,NORMAL
254,2018-09-12,6338.62,0.406531,673.05,1.2562,0,NORMAL
255,2018-09-13,6487.38,0.406531,653.87,1.2204,0,NORMAL
256,2018-09-14,6476.63,0.406531,632.38,1.1803,0,NORMAL
257,2018-09-15,6514.96,0.406531,620.80,1.1587,0,NORMAL
258,2018-09-16,6505.00,0.406531,594.65,1.1099,0,NORMAL
259,2018-09-17,6248.69,0.406531,591.42,1.1039,0,NORMAL
260,2018-09-18,6336.45,0.406531,590.66,1.1025,0,NORMAL
261,2018-09-19,6391.89,0.406531,585.51,1.0928,0,NORMAL
262,2018-09-20,6492.00,0.406531,571.51,1.0667,0,NORMAL
263,2018-09-21,6759.02,0.406531,565.60,1.0557,0,NORMAL
264,2018-09-22,6723.05,0.406531,560.56,1.0463,0,NORMAL
265,2018-09-23,6708.00,0.406531,559.54,1.0444,0,NORMAL
266,2018-09-24,6581.39,0.406531,555.50,1.0368,0,NORMAL
267,2018-09-25,6447.54,0.406531,552.29,1.0308,0,NORMAL
268,2018-09-26,6465.12,0.406531,551.60,1.0296,0,NORMAL
269,2018-09-27,6689.13,0.406531,547.73,1.0223,0,NORMAL
270,2018-09-28,6634.58,0.406531,544.69,1.0167,0,NORMAL
271,2018-09-29,6596.38,0.406531,541.89,1.0114,0,NORMAL
272,2018-09-30,6626.57,0.406531,539.48,1.0069,0,NORMAL
273,2018-10-01,6611.61,0.406531,532.57,0.9940,0,NORMAL
274,2018-10-02,6525.79,0.406531,527.26,0.9841,0,NORMAL
275,2018-10-03,6510.00,0.406531,526.68,0.9830,0,NORMAL
276,2018-10-04,6593.79,0.406531,523.03,0.9762,0,NORMAL
277,2018-10-05,6635.65,0.406531,521.31,0.9730,0,NORMAL
278,2018-10-06,6594.27,0.406531,517.76,0.9664,0,NORMAL
279,2018-10-07,6615.26,0.406531,510.91,0.9536,0,NORMAL
280,2018-10-08,6673.01,0.406531,509.36,0.9507,0,NORMAL
281,2018-10-09,6656.61,0.406531,506.53,0.9454,0,NORMAL
282,2018-10-10,6631.00,0.406531,505.31,0.9432,0,NORMAL
283,2018-10-11,6252.68,0.406531,502.78,0.9384,0,NORMAL
284,2018-10-12,6298.01,0.406531,501.05,0.9352,0,NORMAL
285,2018-10-13,6332.93,0.406531,498.18,0.9298,0,NORMAL
286,2018-10-14,6339.34,0.406531,496.34,0.9264,0,NORMAL
287,2018-10-15,6752.50,0.406531,495.36,0.9246,0,NORMAL
288,2018-10-16,6759.27,0.406531,495.21,0.9243,0,NORMAL
289,2018-10-17,6740.89,0.406531,495.17,0.9242,0,NORMAL
290,2018-10-18,6618.96,0.406531,493.25,0.9206,0,NORMAL
291,2018-10-19,6528.88,0.406531,491.42,0.9172,0,NORMAL
292,2018-10-20,6588.40,0.406531,491.42,0.9172,0,NORMAL
293,2018-10-21,6590.11,0.406531,490.84,0.9161,0,NORMAL
294,2018-10-22,6581.20,0.406531,490.76,0.9160,0,NORMAL
295,2018-10-23,6553.51,0.406531,490.42,0.9154,0,NORMAL
296,2018-10-24,6565.50,0.406531,486.18,0.9074,0,NORMAL
297,2018-10-25,6528.09,0.406531,481.96,0.8996,0,NORMAL
298,2018-10-26,6538.63,0.406531,481.40,0.8985,0,NORMAL
299,2018-10-27,6505.60,0.406531,469.54,0.8764,0,NORMAL
300,2018-10-28,6489.93,0.406531,466.74,0.8712,0,NORMAL
301,2018-10-29,6344.50,0.406531,465.74,0.8693,0,NORMAL
302,2018-10-30,6330.87,0.406531,465.52,0.8689,0,NORMAL
303,2018-10-31,6371.93,0.406531,457.53,0.8540,0,NORMAL
304,2018-11-01,6410.00,0.393936,454.96,0.8492,0,NORMAL
305,2018-11-02,6433.98,0.374909,454.07,0.8475,0,NORMAL
306,2018-11-03,6387.09,0.371216,447.59,0.8354,0,NORMAL
307,2018-11-04,6485.85,0.371216,431.29,0.8050,0,NORMAL
308,2018-11-05,6468.99,0.349717,427.28,0.7975,0,NORMAL
309,2018-11-06,6519.11,0.325556,423.94,0.7913,0,NORMAL
310,2018-11-07,6578.46,0.325556,421.18,0.7861,0,NORMAL
311,2018-11-08,6479.84,0.325556,417.73,0.7797,0,NORMAL
312,2018-11-09,6419.99,0.324281,407.00,0.7596,0,NORMAL
313,2018-11-10,6433.05,0.313476,405.66,0.7572,0,NORMAL
314,2018-11-11,6449.81,0.313476,402.10,0.7505,0,NORMAL
315,2018-11-12,6453.07,0.313476,401.34,0.7491,0,NORMAL
316,2018-11-13,6457.66,0.313476,401.22,0.7489,0,NORMAL
317,2018-11-14,5922.41,0.313476,399.22,0.7451,0,NORMAL
318,2018-11-15,5753.40,0.325271,397.46,0.7419,0,NORMAL
319,2018-11-16,5655.94,0.326453,395.46,0.7381,0,NORMAL
320,2018-11-17,5628.29,0.329745,392.88,0.7333,0,NORMAL
321,2018-11-18,5662.00,0.329745,386.64,0.7216,0,NORMAL
322,2018-11-19,4910.03,0.415280,385.62,0.7198,0,NORMAL
323,2018-11-20,4558.86,0.457100,384.36,0.7174,0,NORMAL
324,2018-11-21,4661.07,0.457100,382.85,0.7146,0,NORMAL
325,2018-11-22,4370.00,0.479591,382.17,0.7133,0,NORMAL
326,2018-11-23,4420.61,0.479591,381.18,0.7115,0,NORMAL
327,2018-11-24,3932.44,0.531699,380.43,0.7101,0,NORMAL
328,2018-11-25,4085.78,0.531699,379.71,0.7087,0,NORMAL
329,2018-11-26,3862.20,0.540063,378.63,0.7067,0,NORMAL
330,2018-11-27,3875.21,0.540063,378.40,0.7063,0,NORMAL
331,2018-11-28,4264.85,0.540063,375.90,0.7016,0,NORMAL
332,2018-11-29,4295.84,0.540063,375.26,0.7004,0,NORMAL
333,2018-11-30,4041.32,0.540063,372.35,0.6950,0,NORMAL
334,2018-12-01,4190.02,0.540063,371.93,0.6942,0,NORMAL
335,2018-12-02,4161.01,0.540063,371.93,0.6942,0,NORMAL
336,2018-12-03,3884.01,0.540063,371.93,0.6942,0,NORMAL
337,2018-12-04,3951.64,0.540063,371.93,0.6942,0,NORMAL
338,2018-12-05,3769.84,0.551062,371.93,0.6942,1,AMBER
339,2018-12-06,3508.75,0.582154,371.93,0.6942,1,AMBER
340,2018-12-07,3403.55,0.594682,371.93,0.6942,1,AMBER
341,2018-12-08,3410.93,0.594682,371.93,0.6942,1,AMBER
342,2018-12-09,3545.37,0.594682,371.93,0.6942,1,AMBER
343,2018-12-10,3432.88,0.594682,369.54,0.6897,1,AMBER
344,2018-12-11,3380.39,0.597440,368.63,0.6880,1,AMBER
345,2018-12-12,3445.00,0.597440,368.29,0.6874,1,AMBER
346,2018-12-13,3302.06,0.606768,368.21,0.6873,1,AMBER
347,2018-12-14,3224.17,0.616044,368.21,0.6873,1,AMBER
348,2018-12-15,3211.72,0.617527,368.21,0.6873,1,AMBER
349,2018-12-16,3228.67,0.617527,368.21,0.6873,1,AMBER
350,2018-12-17,3509.08,0.617527,368.21,0.6873,1,AMBER
351,2018-12-18,3652.98,0.617527,368.21,0.6873,1,AMBER
352,2018-12-19,3662.22,0.617527,368.21,0.6873,1,AMBER
353,2018-12-20,4049.62,0.617527,368.21,0.6873,1,AMBER
354,2018-12-21,3838.66,0.617527,368.21,0.6873,1,AMBER
355,2018-12-22,3948.91,0.617527,368.21,0.6873,1,AMBER
356,2018-12-23,3929.71,0.617527,368.21,0.6873,1,AMBER
357,2018-12-24,4008.01,0.617527,368.21,0.6873,1,AMBER
358,2018-12-25,3745.79,0.617527,368.21,0.6873,1,AMBER
359,2018-12-26,3777.74,0.617527,368.21,0.6873,1,AMBER
360,2018-12-27,3567.91,0.617527,368.21,0.6873,1,AMBER
361,2018-12-28,3839.26,0.617527,368.21,0.6873,1,AMBER
362,2018-12-29,3695.32,0.617527,368.21,0.6873,1,AMBER
363,2018-12-30,3801.91,0.617527,368.21,0.6873,1,AMBER
364,2018-12-31,3702.90,0.617527,368.21,0.6873,1,AMBER
365,2019-01-01,3797.14,0.617527,368.21,0.6873,1,AMBER
366,2019-01-02,3858.56,0.617527,368.21,0.6873,1,AMBER
367,2019-01-03,3766.78,0.617527,368.21,0.6873,1,AMBER
368,2019-01-04,3792.01,0.617527,368.21,0.6873,1,AMBER
369,2019-01-05,3770.96,0.617527,368.21,0.6873,1,AMBER
370,2019-01-06,3987.60,0.617527,368.21,0.6873,1,AMBER
371,2019-01-07,3975.45,0.617527,368.21,0.6873,1,AMBER
372,2019-01-08,3955.13,0.617527,368.21,0.6873,1,AMBER
373,2019-01-09,3966.65,0.617527,368.21,0.6873,1,AMBER
374,2019-01-10,3585.88,0.617527,368.21,0.6873,1,AMBER
375,2019-01-11,3601.31,0.617527,368.21,0.6873,1,AMBER
376,2019-01-12,3583.13,0.617527,368.21,0.6873,1,AMBER
377,2019-01-13,3476.81,0.617527,368.21,0.6873,1,AMBER
378,2019-01-14,3626.09,0.617527,368.21,0.6873,1,AMBER
379,2019-01-15,3553.06,0.617527,368.21,0.6873,1,AMBER
380,2019-01-16,3591.84,0.617527,368.21,0.6873,1,AMBER
381,2019-01-17,3616.21,0.617527,368.21,0.6873,1,AMBER
382,2019-01-18,3594.87,0.617527,368.21,0.6873,1,AMBER
383,2019-01-19,3665.30,0.617527,368.21,0.6873,1,AMBER
384,2019-01-20,3539.28,0.609519,368.21,0.6873,1,AMBER
385,2019-01-21,3526.90,0.609519,368.19,0.6872,1,AMBER
386,2019-01-22,3570.93,0.609519,368.15,0.6871,1,AMBER
387,2019-01-23,3552.82,0.609519,367.66,0.6862,1,AMBER
388,2019-01-24,3569.62,0.608852,364.67,0.6807,1,AMBER
389,2019-01-25,3565.29,0.607077,364.67,0.6807,1,AMBER
390,2019-01-26,3565.25,0.584562,364.67,0.6807,1,AMBER
391,2019-01-27,3550.84,0.577660,363.34,0.6782,1,AMBER
392,2019-01-28,3434.15,0.573234,360.57,0.6730,1,AMBER
393,2019-01-29,3411.04,0.567082,360.57,0.6730,1,AMBER
394,2019-01-30,3458.18,0.563569,360.57,0.6730,1,AMBER
395,2019-01-31,3434.10,0.563569,357.04,0.6664,1,AMBER
396,2019-02-01,3462.07,0.563569,355.90,0.6643,1,AMBER
397,2019-02-02,3504.77,0.563569,352.55,0.6580,1,AMBER
398,2019-02-03,3458.11,0.563569,350.74,0.6547,1,AMBER
399,2019-02-04,3463.22,0.563569,349.97,0.6532,1,AMBER
400,2019-02-05,3471.59,0.563569,348.28,0.6501,1,AMBER
401,2019-02-06,3405.37,0.563569,347.26,0.6482,1,AMBER
402,2019-02-07,3398.40,0.563569,343.78,0.6417,1,AMBER
403,2019-02-08,3659.04,0.563569,341.60,0.6376,1,AMBER
404,2019-02-09,3665.18,0.563569,340.67,0.6359,1,AMBER
405,2019-02-10,3680.06,0.563569,338.92,0.6326,1,AMBER
406,2019-02-11,3631.05,0.563569,337.33,0.6296,1,AMBER
407,2019-02-12,3631.46,0.563569,336.83,0.6287,1,AMBER
408,2019-02-13,3609.40,0.563569,335.69,0.6266,1,AMBER
409,2019-02-14,3590.56,0.563569,334.91,0.6251,1,AMBER
410,2019-02-15,3602.47,0.563569,334.16,0.6237,1,AMBER
411,2019-02-16,3618.41,0.563569,331.29,0.6183,1,AMBER
412,2019-02-17,3667.58,0.563569,330.65,0.6171,1,AMBER
413,2019-02-18,3898.60,0.563569,330.44,0.6168,1,AMBER
414,2019-02-19,3907.79,0.563569,329.92,0.6158,1,AMBER
415,2019-02-20,3969.74,0.563569,326.09,0.6086,1,AMBER
416,2019-02-21,3937.31,0.563569,323.98,0.6047,1,AMBER
417,2019-02-22,3962.00,0.563569,322.29,0.6016,1,AMBER
418,2019-02-23,4117.76,0.563569,320.44,0.5981,1,AMBER
419,2019-02-24,3743.56,0.563569,319.62,0.5966,1,AMBER
420,2019-02-25,3827.92,0.563569,319.08,0.5956,1,AMBER
421,2019-02-26,3809.23,0.563569,318.85,0.5951,1,AMBER
422,2019-02-27,3818.07,0.563569,318.85,0.5951,1,AMBER
423,2019-02-28,3813.69,0.563569,318.85,0.5951,1,AMBER
424,2019-03-01,3823.00,0.563569,318.85,0.5951,1,AMBER
425,2019-03-02,3819.93,0.563569,318.85,0.5951,1,AMBER
426,2019-03-03,3807.75,0.524842,318.85,0.5951,0,NORMAL
427,2019-03-04,3715.30,0.524842,318.85,0.5951,0,NORMAL
428,2019-03-05,3857.73,0.524842,316.87,0.5914,0,NORMAL
429,2019-03-06,3861.84,0.524842,312.49,0.5833,0,NORMAL
430,2019-03-07,3873.64,0.524842,308.24,0.5753,0,NORMAL
431,2019-03-08,3864.89,0.524842,307.02,0.5730,0,NORMAL
432,2019-03-09,3943.04,0.524842,302.35,0.5643,0,NORMAL
433,2019-03-10,3916.82,0.524842,297.18,0.5547,0,NORMAL
434,2019-03-11,3871.61,0.524842,297.18,0.5547,0,NORMAL
435,2019-03-12,3882.73,0.524842,297.18,0.5547,0,NORMAL
436,2019-03-13,3866.00,0.524842,297.18,0.5547,0,NORMAL
437,2019-03-14,3877.12,0.524842,297.18,0.5547,0,NORMAL
438,2019-03-15,3923.76,0.524842,297.18,0.5547,0,NORMAL
439,2019-03-16,4005.98,0.524842,297.18,0.5547,0,NORMAL
440,2019-03-17,3981.14,0.524842,297.18,0.5547,0,NORMAL
441,2019-03-18,3987.81,0.524842,297.18,0.5547,0,NORMAL
442,2019-03-19,4015.53,0.524842,297.18,0.5547,0,NORMAL
443,2019-03-20,4043.04,0.524842,297.18,0.5547,0,NORMAL
444,2019-03-21,3980.64,0.524842,297.18,0.5547,0,NORMAL
445,2019-03-22,3986.93,0.524842,297.18,0.5547,0,NORMAL
446,2019-03-23,4006.01,0.524842,297.18,0.5547,0,NORMAL
