bar_idx,date,close,rolling_mdd,rolling_atr_q90,atr_ratio,alert_level,alert_name
0,2018-01-01,13380.00,,,,0,NORMAL
1,2018-01-02,14675.11,,,,0,NORMAL
2,2018-01-03,14919.51,,,,0,NORMAL
3,2018-01-04,15059.54,,,,0,NORMAL
4,2018-01-05,16960.39,,,,0,NORMAL
5,2018-01-06,17069.79,,,,0,NORMAL
6,2018-01-07,16150.03,,,,0,NORMAL
7,2018-01-08,14902.54,,,,0,NORMAL
8,2018-01-09,14400.00,,,,0,NORMAL
9,2018-01-10,14907.09,,,,0,NORMAL
10,2018-01-11,13238.78,,,,0,NORMAL
11,2018-01-12,13740.01,,,,0,NORMAL
12,2018-01-13,14210.00,,,,0,NORMAL
13,2018-01-14,13474.99,,,,0,NORMAL
14,2018-01-15,13539.93,,,,0,NORMAL
15,2018-01-16,10900.00,,,,0,NORMAL
16,2018-01-17,10988.79,,,,0,NORMAL
17,2018-01-18,10961.97,,,,0,NORMAL
18,2018-01-19,11474.98,,,,0,NORMAL
19,2018-01-20,12799.94,,,,0,NORMAL
20,2018-01-21,11530.00,,,,0,NORMAL
21,2018-01-22,10760.05,,,,0,NORMAL
22,2018-01-23,10799.18,,,,0,NORMAL
23,2018-01-24,11349.99,,,,0,NORMAL
24,2018-01-25,11175.27,,,,0,NORMAL
25,2018-01-26,11089.00,,,,0,NORMAL
26,2018-01-27,11491.00,,,,0,NORMAL
27,2018-01-28,11879.95,,,,0,NORMAL
28,2018-01-29,11251.00,,,,0,NORMAL
29,2018-01-30,10237.51,,,,0,NORMAL
30,2018-01-31,10285.10,,,,0,NORMAL
31,2018-02-01,9224.52,,,,0,NORMAL
32,2018-02-02,8873.03,,,,0,NORMAL
33,2018-02-03,9199.96,,,,0,NORMAL
34,2018-02-04,8184.81,,,,0,NORMAL
35,2018-02-05,6939.99,,,,0,NORMAL
36,2018-02-06,7652.14,,,,0,NORMAL
37,2018-02-07,7599.00,,,,0,NORMAL
38,2018-02-08,7784.02,,,,0,NORMAL
39,2018-02-09,8683.92,,,,0,NORMAL
40,2018-02-10,8533.98,,,,0,NORMAL
41,2018-02-11,8063.88,,,,0,NORMAL
42,2018-02-12,8903.00,,,,0,NORMAL
43,2018-02-13,8539.90,,,,0,NORMAL
44,2018-02-14,9449.99,,,,0,NORMAL
45,2018-02-15,10000.09,,,,0,NORMAL
46,2018-02-16,10159.98,,,,0,NORMAL
47,2018-02-17,11039.55,,,,0,NORMAL
48,2018-02-18,10383.43,,,,0,NORMAL
49,2018-02-19,11153.00,,,,0,NORMAL
50,2018-02-20,11200.99,,,,0,NORMAL
51,2018-02-21,10437.60,,,,0,NORMAL
52,2018-02-22,9811.04,,,,0,NORMAL
53,2018-02-23,10131.04,,,,0,NORMAL
54,2018-02-24,9694.51,,,,0,NORMAL
55,2018-02-25,9590.00,,,,0,NORMAL
56,2018-02-26,10324.00,,,,0,NORMAL
57,2018-02-27,10569.04,,,,0,NORMAL
58,2018-02-28,10326.76,,,,0,NORMAL
59,2018-03-01,10920.00,,,,0,NORMAL
60,2018-03-02,11039.00,,,,0,NORMAL
61,2018-03-03,11464.48,,,,0,NORMAL
62,2018-03-04,11515.00,,,,0,NORMAL
63,2018-03-05,11454.00,,,,0,NORMAL
64,2018-03-06,10716.48,,,,0,NORMAL
65,2018-03-07,9910.00,,,,0,NORMAL
66,2018-03-08,9271.64,,,,0,NORMAL
67,2018-03-09,9227.00,,,,0,NORMAL
68,2018-03-10,8770.22,,,,0,NORMAL
69,2018-03-11,9533.57,,,,0,NORMAL
70,2018-03-12,9131.34,,,,0,NORMAL
71,2018-03-13,9150.00,,,,0,NORMAL
72,2018-03-14,8170.00,,,,0,NORMAL
73,2018-03-15,8240.98,,,,0,NORMAL
74,2018-03-16,8260.00,,,,0,NORMAL
75,2018-03-17,7824.80,,,,0,NORMAL
76,2018-03-18,8189.99,,,,0,NORMAL
77,2018-03-19,8600.00,,,,0,NORMAL
78,2018-03-20,8909.98,,,,0,NORMAL
