rank,window_start_ms,n_entries_blocked,n_trades,sharpe,delta_sharpe,cagr_native
1,1587599999999,1,174,1.118906,-0.064755,0.601198
2,1587614399999,1,174,1.122223,-0.061438,0.604176
3,1612238399999,1,174,1.122487,-0.061174,0.581220
4,1612223999999,1,174,1.127479,-0.056182,0.585863
5,1612209599999,1,174,1.128715,-0.054947,0.587030
6,1595707199999,1,174,1.128949,-0.054712,0.613236
7,1627171199999,1,174,1.130251,-0.053410,0.615051
8,1627185599999,1,174,1.131343,-0.052319,0.616028
9,1627199999999,1,174,1.131632,-0.052029,0.616287
10,1627070399999,1,174,1.131700,-0.051962,0.616347
11,1587628799999,1,174,1.132432,-0.051229,0.613478
12,1617796799999,1,174,1.132588,-0.051073,0.619745
13,1617811199999,1,174,1.132588,-0.051073,0.619745
14,1617825599999,1,174,1.132588,-0.051073,0.619745
15,1617839999999,1,174,1.132588,-0.051073,0.619745
16,1617854399999,1,174,1.132588,-0.051073,0.619745
17,1617868799999,1,174,1.132588,-0.051073,0.619745
18,1617883199999,1,174,1.132588,-0.051073,0.619745
19,1617897599999,1,174,1.132588,-0.051073,0.619745
20,1627991999999,1,174,1.134003,-0.049659,0.616723
