rank,type,n_trades,sharpe,cagr_native,skipped
1,worst,174,1.171520,0.655773,[2214]
2,worst,174,1.171520,0.655773,[2214]
3,worst,174,1.171520,0.655773,[2214]
4,worst,174,1.171520,0.655773,[2214]
5,worst,174,1.171520,0.655773,[2214]
6,worst,174,1.171520,0.655773,[2214]
7,worst,174,1.171520,0.655773,[2214]
8,worst,174,1.171520,0.655773,[2214]
9,worst,174,1.171520,0.655773,[2214]
10,worst,174,1.171520,0.655773,[2214]
11,worst,174,1.171520,0.655773,[2214]
12,worst,174,1.172316,0.653608,[5060]
13,worst,174,1.172316,0.653608,[5060]
14,worst,174,1.172316,0.653608,[5060]
15,worst,174,1.172316,0.653608,[5060]
16,worst,174,1.172316,0.653608,[5060]
17,worst,174,1.172316,0.653608,[5060]
18,worst,174,1.172316,0.653608,[5060]
19,worst,174,1.172316,0.653608,[5060]
20,worst,174,1.172316,0.653608,[5060]
1,best,173,1.195216,0.678831,[4996]
2,best,173,1.195216,0.678831,[4996]
3,best,173,1.195216,0.678831,[4996]
4,best,173,1.195216,0.678831,[4996]
5,best,173,1.195216,0.678831,[4996]
6,best,173,1.195216,0.678831,[4996]
7,best,173,1.195408,0.679159,[5428]
8,best,173,1.195408,0.679159,[5428]
9,best,173,1.195408,0.679159,[5428]
10,best,173,1.195408,0.679159,[5428]
11,best,173,1.195408,0.679159,[5428]
12,best,173,1.195408,0.679159,[5428]
13,best,173,1.195408,0.679159,[5428]
14,best,173,1.195408,0.679159,[5428]
15,best,173,1.195408,0.679159,[5428]
16,best,173,1.195408,0.679159,[5428]
17,best,173,1.195408,0.679159,[5428]
18,best,173,1.195408,0.679159,[5428]
19,best,173,1.195408,0.679159,[5428]
20,best,173,1.195408,0.679159,[5428]
