wid,test,vt_tr,vt_te,vt_cagr,vt_mdd,vt_calmar,vt_sharpe,vt_trades,vt_deg,v8_tr,v8_te,v8_cagr,v8_mdd,v8_calmar,v8_sharpe,v8_trades,v8_deg,bh_te,bh_cagr,bh_mdd,winner,secs,vt_params,v8_params
0,2021-01-01→2021-07-01,556.5,-1000000.0,125.8,29.7,4.23,1.43,6,1000556.5,184.9,-1000000.0,-2.4,24.7,-0.1,0.1,8,1000184.9,-1000000.0,30.4,52.4,TIE,36,"{""slow_period"": 200.0, ""trail_mult"": 5.0, ""vdo_threshold"": -0.002}","{""entry_aggression"": 1.3, ""trail_atr_mult"": 3.0, ""vdo_entry_threshold"": 0.006}"
1,2021-07-01→2022-01-01,502.8,-1000000.0,80.0,20.6,3.88,1.5,6,1000502.8,203.7,-1000000.0,4.9,32.2,0.15,0.34,7,1000203.7,-1000000.0,93.1,33.2,TIE,41,"{""slow_period"": 200.0, ""trail_mult"": 5.0, ""vdo_threshold"": -0.002}","{""entry_aggression"": 1.3, ""trail_atr_mult"": 3.5, ""vdo_entry_threshold"": 0.004}"
2,2022-01-01→2022-07-01,443.0,-1000000.0,-39.3,22.6,-1.74,-2.29,4,1000443.0,157.4,-1000000.0,0.0,0.0,0,0,0,1000157.4,-1000000.0,-83.2,62.3,TIE,44,"{""slow_period"": 200.0, ""trail_mult"": 5.0, ""vdo_threshold"": -0.002}","{""entry_aggression"": 1.3, ""trail_atr_mult"": 3.5, ""vdo_entry_threshold"": 0.004}"
3,2022-07-01→2023-01-01,320.5,-1000000.0,-29.4,17.4,-1.69,-1.62,4,1000320.5,111.3,-1000000.0,0.0,0.0,0,0,0,1000111.3,-1000000.0,-29.1,36.8,TIE,50,"{""slow_period"": 200.0, ""trail_mult"": 5.0, ""vdo_threshold"": 0.002}","{""entry_aggression"": 1.15, ""trail_atr_mult"": 3.5, ""vdo_entry_threshold"": 0.006}"
4,2023-01-01→2023-07-01,238.7,-1000000.0,73.0,15.4,4.75,1.63,7,1000238.7,92.1,-1000000.0,22.4,15.0,1.5,0.95,1,1000092.1,-1000000.0,242.4,21.2,TIE,54,"{""slow_period"": 200.0, ""trail_mult"": 5.0, ""vdo_threshold"": 0.002}","{""entry_aggression"": 1.15, ""trail_atr_mult"": 3.5, ""vdo_entry_threshold"": 0.006}"
5,2023-07-01→2024-01-01,239.9,-1000000.0,128.3,10.5,12.27,2.94,5,1000239.9,87.1,-1000000.0,48.0,19.2,2.49,1.44,6,1000087.1,-1000000.0,108.3,20.8,TIE,58,"{""slow_period"": 200.0, ""trail_mult"": 5.0, ""vdo_threshold"": 0.0}","{""entry_aggression"": 1.15, ""trail_atr_mult"": 4.0, ""vdo_entry_threshold"": 0.002}"
6,2024-01-01→2024-07-01,251.5,-1000000.0,51.5,25.8,2.0,1.2,9,1000251.5,85.7,-1000000.0,33.2,28.4,1.17,0.88,7,1000085.7,-1000000.0,119.5,22.4,TIE,61,"{""slow_period"": 200.0, ""trail_mult"": 5.0, ""vdo_threshold"": 0.0}","{""entry_aggression"": 1.15, ""trail_atr_mult"": 4.0, ""vdo_entry_threshold"": 0.002}"
7,2024-07-01→2025-01-01,234.8,-1000000.0,45.6,22.7,2.01,1.19,7,1000234.8,97.3,126.5,51.2,28.1,1.82,1.3,10,-29.2,-1000000.0,119.1,26.2,V8,66,"{""slow_period"": 200.0, ""trail_mult"": 5.0, ""vdo_threshold"": 0.0}","{""entry_aggression"": 1.3, ""trail_atr_mult"": 3.5, ""vdo_entry_threshold"": 0.006}"
8,2025-01-01→2025-07-01,222.6,-1000000.0,3.2,16.6,0.19,0.25,7,1000222.6,101.8,-1000000.0,-7.8,25.7,-0.31,-0.03,7,1000101.8,-1000000.0,26.3,30.6,TIE,69,"{""slow_period"": 200.0, ""trail_mult"": 5.0, ""vdo_threshold"": 0.0}","{""entry_aggression"": 1.3, ""trail_atr_mult"": 5.0, ""vdo_entry_threshold"": 0.004}"
9,2025-07-01→2026-01-01,199.7,-1000000.0,-4.9,14.2,-0.34,-0.18,8,1000199.7,92.1,-1000000.0,-28.1,25.0,-1.13,-0.99,3,1000092.1,-1000000.0,-31.3,34.4,TIE,74,"{""slow_period"": 200.0, ""trail_mult"": 5.0, ""vdo_threshold"": 0.0}","{""entry_aggression"": 1.3, ""trail_atr_mult"": 5.0, ""vdo_entry_threshold"": 0.004}"
