trade_id,slow_period,entry_time,exit_time,entry_bar,exit_bar,entry_price,exit_price,bars_held,gross_pnl,net_pnl,gross_pnl_pct,net_pnl_pct,ATR_at_entry,MFE_R,MAE_R,realized_R,giveback_R,giveback_ratio,exit_reason,peak_price,peak_bar,peak_time,time_from_peak_to_exit,first_6_bar_MFE_R,first_6_bar_MAE_R,mae_before_mfe_first6,entry_ER30,entry_regime_context,entry_rvol,proximate_cause,is_winner
0,60,2019-01-04 08:00,2019-01-10 08:00,2210,2246,3783.28,3777.02,36,-14.957802281224312,-59.969807708730414,-0.16546488761075562,-0.6633927435328757,61.77406051539118,4.638192756142568,1.290347426330184,-0.4073028353661596,5.045495591508728,1.087814986737399,ATR_trail,4069.8,2235,2019-01-08 12:00,11,0.9342108891420692,1.290347426330184,True,0.07867623260330167,Chop,0.40648077894346385,Exit_lag,False
1,60,2019-02-09 00:00,2019-02-24 16:00,2424,2518,3659.04,3778.65,94,293.542910395147,247.29134933189155,3.2688902007083964,2.7538333917273228,48.65859942670664,11.076356622467596,1.8687344286792649,2.0760107399342345,9.000345882533361,0.8125727790559581,ATR_trail,4198.0,2514,2019-02-24 00:00,4,0.43116736295712177,0.6968963430827418,False,0.36823971410244627,Transition,0.4696351186968147,Winner,True
2,60,2019-03-06 20:00,2019-03-25 16:00,2579,2692,3855.5,3962.92,113,257.08322306790313,209.78013251834133,2.786149656335102,2.273500530867123,42.70413677190408,5.007009066640979,1.2996398989737823,2.057738585593297,2.949270481047682,0.589028388364042,ATR_trail,4069.32,2667,2019-03-21 12:00,25,1.168505062320574,0.35359572026133324,False,0.02190116291208171,Chop,0.32147170552719406,Winner,True
3,60,2019-03-27 12:00,2019-04-11 12:00,2703,2793,4033.22,5001.91,90,2266.550086903085,2208.1784327806877,24.017782317850255,23.39923976264904,35.10656485175925,39.5589829384975,0.8892923626059447,26.949437491107595,12.609545447389905,0.31875302423709967,ATR_trail,5422.0,2788,2019-04-10 16:00,5,0.42100387954247676,0.8892923626059447,False,0.12600770639193096,Chop,0.1920890135644158,Winner,True
4,60,2019-04-12 16:00,2019-04-26 00:00,2800,2880,5037.45,5219.9,80,421.77226667838954,361.5881406729184,3.6218721773913387,3.105054859798373,107.34839599261757,5.240413653117716,0.8146372304064405,1.46072629730568,3.779687355812036,0.7212574437827747,ATR_trail,5600.0,2863,2019-04-23 04:00,17,0.5733667413552507,0.3214766246006461,False,0.05850981495813677,Chop,0.6289018129164378,Winner,True
5,60,2019-04-27 00:00,2019-04-29 16:00,2886,2902,5314.1,5231.96,16,-185.58797537924696,-244.54630536783642,-1.545699177659443,-2.0367430720351964,107.6135088553045,0.2639073876699425,1.2572770968923848,-1.0082855875082963,1.2721929751782388,4.8206038732394845,EMA_cross_down,5342.5,2891,2019-04-27 20:00,11,0.2639073876699425,0.5243765452892649,False,0.04111921450665452,Chop,0.5858070910885341,Other_loss,False
6,60,2019-05-01 08:00,2019-05-17 04:00,2912,3007,5353.4,7344.03,95,4373.6993265635065,4293.221091355092,37.1844061717787,36.50019466967507,61.86905274424846,48.69316510232268,0.4420626918769497,31.66181375198289,17.03135135033979,0.34976882925048114,ATR_trail,8366.0,2990,2019-05-14 08:00,17,0.9956512548307425,0.4420626918769497,False,0.07905617149026917,Chop,0.2679497669394939,Winner,True
7,60,2019-05-17 20:00,2019-05-31 00:00,3011,3090,7136.72,8269.54,79,2548.4938745747495,2455.7063344318403,15.873118183142964,15.295197394199622,312.4029616934874,6.202053877776638,0.2135703184064633,3.502861637636052,2.699192240140586,0.4352094150314305,ATR_trail,9074.26,3088,2019-05-30 16:00,2,1.0284153461874732,0.2135703184064633,False,0.025546495702160443,Chop,1.1845748052920195,Winner,True
8,60,2019-05-31 20:00,2019-06-04 00:00,3095,3114,8442.75,8115.82,19,-716.8089289076344,-805.5585814243569,-3.8723164845577585,-4.351756302589882,209.24284003427638,1.7779819846598233,1.7298082932764067,-1.7602820958636538,3.538264080523477,1.9900449560519275,ATR_trail,8814.78,3105,2019-06-02 12:00,9,0.8757766811518212,0.10858197105467288,False,0.01801440184931741,Chop,0.5920019528905717,Other_loss,False
9,60,2019-06-13 04:00,2019-06-27 16:00,3169,3256,8082.01,11830.0,87,8210.859133082378,8081.600206348373,46.37447862598536,45.64443135104281,153.514633634682,38.354584579940564,0.46888038160121537,24.090276525693394,14.26430805424717,0.3719062065322798,ATR_trail,13970.0,3251,2019-06-26 20:00,5,1.4839627637200878,0.46888038160121537,False,0.08966806159346674,Chop,0.4574365673071051,Winner,True
10,60,2019-06-29 08:00,2019-07-01 16:00,3266,3280,11873.61,10396.98,14,-3206.951212997255,-3319.570687662775,-12.436234641360134,-12.872961650630144,674.3554948591978,0.5492503624921675,2.7042265005651975,-2.2722532650526377,2.8215036275448053,5.137008221064289,ATR_trail,12244.0,3269,2019-06-29 20:00,11,0.5492503624921675,0.4123047889719565,False,0.11812860270789585,Chop,1.5607165202753892,Other_loss,False
11,60,2019-07-04 12:00,2019-07-11 08:00,3297,3338,11672.13,11586.18,41,-165.44443452708202,-276.67705677767657,-0.7363694544183397,-1.2314499060172346,484.9291702321478,3.0415782150079878,1.8058101136312008,-0.29714808645356533,3.338726301461553,1.0976953625546613,ATR_trail,13147.08,3332,2019-07-10 08:00,6,0.44721995151617644,1.8058101136312008,True,0.048741083948058414,Chop,1.328487857991487,Exit_lag,False
12,60,2019-07-12 04:00,2019-07-13 12:00,3343,3351,11186.81,11303.01,8,230.5021293604851,118.67464672530097,1.038723282151044,0.5347895001951875,446.82922855274415,1.562543261239647,0.25470580867913223,0.13422454523456084,1.4283187160050863,0.9140986694166321,EMA_cross_down,11885.0,3347,2019-07-12 20:00,4,1.562543261239647,0.25470580867913223,False,0.00695324239120831,Chop,0.9064232409092517,Winner,True
13,60,2019-08-01 20:00,2019-08-10 20:00,3467,3521,10283.73,11329.1,54,2267.831667761381,2145.251047045769,10.16528049647356,9.615827725917603,179.48215693619372,11.404866282767614,0.07482637956470896,5.523322997240468,5.881543285527146,0.5157047123309081,ATR_trail,12330.7,3493,2019-08-06 04:00,28,2.1521359370409185,0.07482637956470896,False,0.4222114639814096,Transition,0.44027623277189093,Winner,True
14,60,2019-08-11 12:00,2019-08-13 16:00,3525,3538,11469.94,10951.09,13,-1106.2298960701041,-1222.6817860286833,-4.523563331630331,-4.999755035711972,247.22778431622118,0.526073557467327,2.260830033913495,-2.3253963003796554,2.8514698578469826,5.420287367368925,ATR_trail,11600.0,3527,2019-08-11 20:00,11,0.526073557467327,0.68333743501869,False,0.0956723429790219,Chop,0.5872038937399195,Other_loss,False
15,60,2019-09-03 08:00,2019-09-09 04:00,3662,3697,10368.72,10298.96,35,-156.3042426432934,-271.3957528881486,-0.6727927844517034,-1.1681903266738902,148.20026822506156,3.62448736721764,1.4758407836876808,-0.819358840940789,4.443846208158429,1.226061993856465,ATR_trail,10905.87,3681,2019-09-06 12:00,16,2.72793028543004,0.6526303977609361,False,0.6997711143420584,Trend,0.31289673006983537,Exit_lag,False
16,60,2019-09-14 00:00,2019-09-16 20:00,3726,3743,10342.06,10121.39,17,-489.9169112694722,-601.990923152657,-2.1337141729984133,-2.621825324255267,147.11987194355834,0.5297041043503469,1.794862899971151,-1.8476676291852927,2.3773717335356395,4.488112729372478,EMA_cross_down,10419.99,3731,2019-09-14 20:00,12,0.5297041043503469,0.8138261569853273,False,0.018640465821048113,Chop,0.41681344034018597,Other_loss,False
17,60,2019-10-10 00:00,2019-10-14 12:00,3882,3909,8560.74,8280.32,27,-732.3952117749815,-840.2574070813182,-3.2756514039674167,-3.7580671076882677,143.89516144476627,1.5203429900175944,2.7849442328456795,-2.2413724461735867,3.761715436191181,2.4742544681629033,ATR_trail,8779.51,3889,2019-10-11 04:00,20,0.5786157030162499,1.0161564748382832,False,0.25914098870108276,Transition,0.5037653694026393,Other_loss,False
18,60,2019-10-15 04:00,2019-10-15 08:00,3913,3914,8315.19,8281.04,1,-88.37525624278362,-195.25871114238933,-0.4106941633324035,-0.9073989305975583,105.2813187189055,0.24363296653306105,0.4614303904162283,-0.7184615078953676,0.9620944744284285,3.94895029239761,EMA_cross_down,8340.84,3913,2019-10-15 04:00,1,0.24363296653306105,0.4614303904162283,False,0.16895571868339967,Chop,0.3349115804148908,Other_loss,False
