trade_id,exit_time,entry_price,exit_price,peak_price,peak_profit_pct,return_pct,mult_used,tightened,atr_at_exit,atr_pct,atr_compressed,trail_dist_pct,in_noise_zone,compression,continuation_pct,continuation_high_pct,is_false_exit,forgone_pct,regime,days_held
1,2019-04-28T04:00:00Z,5190.93,5303.65,5600.0,7.88,2.17,3.5,False,85.08,1.604,False,5.318,False,NONE,0.59,0.69,False,0.69,NEUTRAL,17.33
2,2019-05-17T04:00:00Z,5515.81,7339.9,8366.0,51.67,33.07,2.5,True,316.22,4.306,False,9.449,False,MULT_ONLY,8.51,10.26,True,10.26,BULL,18.17
4,2019-06-04T00:00:00Z,8139.17,8111.2,9074.26,11.49,-0.34,3.5,False,198.4,2.445,False,7.652,True,NONE,-2.07,0.05,False,0.05,BULL,10.5
5,2019-06-27T16:00:00Z,7882.49,11823.49,13970.0,77.23,50.0,2.5,True,648.12,5.479,False,11.598,False,MULT_ONLY,4.88,5.55,True,5.55,SHOCK,21.5
6,2019-07-12T04:00:00Z,11436.42,11183.36,13147.08,14.96,-2.21,3.5,False,446.83,3.994,True,11.895,True,ATR_ONLY,5.13,6.27,True,6.27,BULL,9.0
7,2019-07-23T16:00:00Z,10539.68,9925.13,11068.99,5.02,-5.83,3.5,False,277.41,2.793,True,8.772,True,ATR_ONLY,2.26,3.05,False,3.05,CHOP,5.33
8,2019-08-10T12:00:00Z,9875.97,11388.96,12330.7,24.86,15.32,2.5,True,276.73,2.428,False,5.611,True,MULT_ONLY,1.41,1.85,False,1.85,BULL,16.33
11,2019-09-09T04:00:00Z,9637.44,10294.56,10905.87,13.16,6.82,3.5,False,163.16,1.584,True,5.236,True,ATR_ONLY,1.15,1.8,False,1.8,CHOP,9.17
14,2019-11-01T04:00:00Z,8240.77,9059.14,10370.0,25.84,9.93,2.5,True,214.16,2.363,False,5.163,True,MULT_ONLY,2.99,3.47,False,3.47,BULL,36.17
17,2020-02-16T20:00:00Z,9176.51,9740.55,10500.0,14.42,6.15,3.5,False,167.77,1.721,False,5.592,False,NONE,4.35,5.23,True,5.23,BULL,30.5
19,2020-03-08T12:00:00Z,8709.25,8736.49,9188.0,5.5,0.31,3.5,False,117.62,1.346,True,4.48,True,ATR_ONLY,-3.84,0.13,False,0.13,BULL,8.5
21,2020-05-10T04:00:00Z,9178.31,8617.99,10067.0,9.68,-6.1,3.5,False,300.6,3.486,False,10.451,False,NONE,3.59,6.38,True,6.38,NEUTRAL,8.83
23,2020-06-04T08:00:00Z,9167.45,9644.28,10380.0,13.23,5.2,3.5,False,163.04,1.69,True,5.497,True,ATR_ONLY,1.92,2.46,False,2.46,BULL,12.17
25,2020-08-03T00:00:00Z,9192.87,11065.27,12123.46,31.88,20.37,2.5,True,306.65,2.77,False,6.323,False,MULT_ONLY,3.37,3.68,True,3.68,BULL,34.17
28,2020-09-21T16:00:00Z,10246.21,10413.04,11179.79,9.11,1.63,3.5,False,150.79,1.447,False,4.721,True,NONE,1.12,1.53,False,1.53,CHOP,15.33
29,2020-10-29T08:00:00Z,10729.41,13131.64,13859.48,29.17,22.39,2.5,True,236.95,1.803,False,4.274,True,MULT_ONLY,6.16,7.37,True,7.37,BULL,33.0
30,2020-11-26T08:00:00Z,13905.98,17601.24,19484.21,40.11,26.57,2.5,True,524.32,2.976,False,6.728,True,MULT_ONLY,1.21,1.36,False,1.36,BULL,26.0
31,2020-12-09T00:00:00Z,18048.93,18314.03,19888.0,10.19,1.47,3.5,False,318.24,1.737,True,5.601,True,ATR_ONLY,1.24,1.78,False,1.78,BULL,10.5
