rank,type,n_trades,sharpe,cagr_native,skipped
1,worst,65,0.800410,0.179817,[3483]
2,worst,65,0.800410,0.179817,[3483]
3,worst,65,0.800410,0.179817,[3483]
4,worst,65,0.800410,0.179817,[3483]
5,worst,65,0.800410,0.179817,[3483]
6,worst,65,0.800410,0.179817,[3483]
7,worst,65,0.800410,0.179817,[3483]
8,worst,65,0.800410,0.179817,[3483]
9,worst,65,0.800410,0.179817,[3483]
10,worst,65,0.800410,0.179817,[3483]
11,worst,65,0.800410,0.179817,[3483]
12,worst,65,0.800410,0.179817,[3483]
13,worst,65,0.800410,0.179817,[3483]
14,worst,65,0.800410,0.179817,[3483]
15,worst,65,0.800410,0.179817,[3483]
16,worst,65,0.800410,0.179817,[3483]
17,worst,65,0.800410,0.179817,[3483]
18,worst,65,0.800410,0.179817,[3483]
19,worst,65,0.800410,0.179817,[3483]
20,worst,65,0.800410,0.179817,[3483]
1,best,64,0.870324,0.186822,[7309]
2,best,64,0.870324,0.186822,[7309]
3,best,64,0.870324,0.186822,[7309]
4,best,64,0.870324,0.186822,[7309]
5,best,64,0.870324,0.186822,[7309]
6,best,64,0.870324,0.186822,[7309]
7,best,64,0.870324,0.186822,[7309]
8,best,64,0.870324,0.186822,[7309]
9,best,64,0.870324,0.186822,[7309]
10,best,64,0.870324,0.186822,[7309]
11,best,64,0.870324,0.186822,[7309]
12,best,64,0.870324,0.186822,[7309]
13,best,64,0.870324,0.186822,[7309]
14,best,64,0.870324,0.186822,[7309]
15,best,64,0.870324,0.186822,[7309]
16,best,64,0.870324,0.186822,[7309]
17,best,64,0.870324,0.186822,[7309]
18,best,64,0.870324,0.186822,[7309]
19,best,64,0.870324,0.186822,[7309]
20,best,64,0.870324,0.186822,[7309]
