rank,window_start_ms,n_entries_blocked,n_trades,sharpe,delta_sharpe,cagr_native
1,1673063999999,1,65,0.739434,-0.076636,0.150604
2,1673078399999,1,65,0.739434,-0.076636,0.150604
3,1673092799999,1,65,0.739434,-0.076636,0.150604
4,1673107199999,1,65,0.739434,-0.076636,0.150604
5,1673121599999,1,65,0.739434,-0.076636,0.150604
6,1673135999999,1,65,0.739434,-0.076636,0.150604
7,1673150399999,1,65,0.739434,-0.076636,0.150604
8,1673164799999,1,65,0.739434,-0.076636,0.150604
9,1673179199999,1,65,0.739434,-0.076636,0.150604
10,1673193599999,1,65,0.739434,-0.076636,0.150604
11,1673207999999,1,65,0.739434,-0.076636,0.150604
12,1673222399999,1,65,0.739434,-0.076636,0.150604
13,1612252799999,1,65,0.739930,-0.076140,0.175665
14,1612267199999,1,65,0.739930,-0.076140,0.175665
15,1612281599999,1,65,0.739930,-0.076140,0.175665
16,1612295999999,1,65,0.739930,-0.076140,0.175665
17,1612310399999,1,65,0.739930,-0.076140,0.175665
18,1612324799999,1,65,0.739930,-0.076140,0.175665
19,1612339199999,1,65,0.739930,-0.076140,0.175665
20,1612353599999,1,65,0.739930,-0.076140,0.175665
