path,d_sharpe,d_cagr,d_mdd
0,-0.101553,-3.447734,10.452856
1,-0.034685,-0.571326,3.079278
2,0.005339,-0.616554,5.791436
3,0.063849,1.394316,0.635507
4,-0.075207,-2.925777,3.329024
5,0.073320,3.737120,-2.394463
6,0.128267,5.710625,-1.489447
7,0.083257,4.405449,-1.036463
8,0.028645,1.989099,0.096761
9,-0.157386,-5.359361,11.573367
10,-0.071800,-2.287250,2.785724
11,-0.232281,-7.433894,5.260067
12,-0.115631,-4.451703,4.610826
13,0.086924,1.788538,-1.566634
14,-0.111214,-3.728903,6.671386
15,-0.085788,-3.530989,-2.538938
16,0.096402,2.539824,-2.030185
17,-0.106218,-4.097603,4.576610
18,-0.124924,-4.065101,15.939176
19,0.103610,5.053193,-4.436445
20,0.013088,1.975618,-6.560676
21,0.066130,4.607107,-5.956290
22,-0.188338,-8.309960,1.337984
23,0.076779,5.029327,3.098368
24,0.039229,0.166472,-0.413557
25,0.068675,2.720659,-2.314109
26,-0.036511,-1.218628,0.696839
27,-0.063252,-2.558220,0.914234
28,0.082344,2.372412,0.144545
29,0.098803,5.481040,4.877960
30,-0.088119,-2.378781,5.899594
31,0.077335,5.172443,-1.010739
32,-0.020087,1.179484,-3.486350
33,-0.078477,-3.193900,2.214982
34,0.243191,12.949890,-3.948361
35,0.144982,8.214604,2.592458
36,0.041534,1.336122,-10.042429
37,0.130813,3.628567,-4.934468
38,0.120307,3.309091,-3.951649
39,-0.350654,-9.512532,14.029780
40,-0.113571,-3.813011,0.751468
41,-0.070995,-2.044128,1.370922
42,-0.051380,-1.371402,5.001924
43,-0.042669,-0.458517,1.614211
44,0.216988,10.060451,2.820658
45,0.080659,2.348322,-2.609064
46,0.045550,1.335313,3.231506
47,-0.103064,-3.562253,6.074369
48,0.120941,3.017580,-3.937357
49,0.057397,4.878704,1.711470
50,-0.157604,-4.968418,7.809062
51,0.069291,1.981894,-2.677633
52,0.156957,5.498561,-0.674053
53,0.140768,10.032313,-7.356873
54,0.108459,3.640570,-2.996618
55,-0.028685,-0.471785,3.975784
56,-0.067094,-2.077205,21.859626
57,-0.033369,-0.011059,-1.729113
58,-0.133060,-4.960046,16.224978
59,0.161832,8.620510,-4.357886
60,0.007745,0.701612,4.238312
61,-0.022708,0.042614,7.019732
62,-0.048690,-1.704664,-2.938949
63,0.050133,1.825545,0.345564
64,-0.065614,-2.507027,4.288115
65,-0.017713,0.803431,5.796162
66,0.131964,8.732525,-1.286302
67,0.180245,6.549525,-11.996030
68,0.142202,6.869293,0.504353
69,0.129216,6.456529,-4.202010
70,0.191611,6.625820,-2.822524
71,-0.006596,0.294268,10.486827
72,-0.121159,-4.406869,4.489056
73,-0.083315,-2.787085,-7.199381
74,-0.033072,-0.654576,3.639298
75,-0.146052,-4.506998,7.358364
76,0.121567,3.371167,1.504214
77,-0.117249,-4.026294,-3.577086
78,0.054504,2.815011,-2.670666
79,0.006264,0.276151,-6.631779
80,0.139866,8.379720,-2.962613
81,-0.022189,-0.935385,-4.956867
82,0.051745,1.525252,1.129904
83,0.044566,1.979245,-2.388617
84,-0.129253,-4.706588,2.749165
85,-0.103195,-3.193015,12.786089
86,0.055268,2.520504,3.443754
87,0.077851,3.482555,-1.473610
88,0.137953,5.453574,-3.451066
89,0.194102,7.582596,-2.303361
90,-0.186918,-7.434522,4.036270
91,-0.079478,-2.720135,3.087984
92,-0.116144,-4.292698,8.764288
93,0.195427,11.927643,0.646859
94,0.235513,10.696650,-3.459215
95,-0.087158,-2.830073,3.506236
96,0.003551,0.791957,0.469738
97,-0.278757,-9.022953,20.448718
98,0.375181,11.209596,-12.713860
99,0.002136,0.329642,5.765260
100,-0.029388,-0.813339,-6.401366
101,-0.116689,-3.844112,10.863131
102,-0.040693,-1.912205,1.597118
103,-0.038983,-1.657164,3.361815
104,0.086672,3.131758,-4.556417
105,-0.116811,-3.776882,7.881157
106,0.030812,0.689269,-7.212979
107,-0.070919,-2.356142,-0.028116
108,0.047391,2.134599,12.221825
109,-0.279831,-9.524745,12.342695
110,0.022019,0.254127,1.350654
111,-0.092251,-3.084892,8.676283
112,0.068159,4.370089,0.164145
113,-0.169947,-6.511549,9.991492
114,0.068607,1.814491,0.403286
115,-0.240061,-7.427838,16.127490
116,0.055307,5.326366,-1.286574
117,0.038740,1.121801,-1.306641
118,0.065421,3.210443,-3.172049
119,0.002441,0.207989,12.659772
120,0.023877,1.028932,0.456617
121,-0.100228,-3.223522,2.490619
122,0.133553,6.367810,-12.853025
123,-0.330579,-13.146557,2.385112
124,-0.124534,-4.245240,3.125966
125,-0.093159,-3.457891,7.669695
126,0.187591,5.360292,-14.846263
127,-0.019293,0.503603,5.431819
128,-0.105774,-3.615716,7.839341
129,-0.118726,-3.848010,2.002025
130,0.158245,6.504721,-6.828679
131,0.106544,5.156173,-3.430513
132,-0.036484,-0.468798,16.027006
133,0.161437,11.944115,0.330515
134,-0.136656,-4.392314,6.723361
135,0.173440,6.226671,-2.480357
136,0.051582,2.545884,2.431435
137,0.304934,11.093881,-6.572491
138,0.106802,6.505287,-1.592610
139,0.114878,7.698037,-3.992346
140,0.067636,3.492602,-2.646643
141,0.001241,-0.110732,-1.788484
142,-0.051030,-0.839328,2.121241
143,0.203826,9.600247,-0.247377
144,-0.007614,-0.535625,3.028300
145,0.148761,6.544809,6.843509
146,-0.028355,-0.673290,-3.249415
147,-0.033662,-1.586861,-7.966364
148,-0.061167,-1.610802,1.399957
149,0.408302,14.519919,-14.887650
150,-0.088363,-2.961925,1.499390
151,-0.063214,-2.157802,6.653882
152,0.123327,7.310654,2.688971
153,0.036734,1.604295,2.684856
154,0.483773,14.391167,-15.964806
155,0.039565,1.783336,-2.546880
156,-0.091009,-3.793417,2.878609
157,-0.066003,-1.839718,8.150898
158,-0.059687,-1.951694,2.404585
159,-0.105330,-4.487149,8.791334
160,-0.112383,-3.434881,3.600283
161,-0.044766,-1.453016,2.799204
162,0.227417,9.097143,2.770173
163,-0.170872,-5.100691,1.928090
164,0.019721,0.661308,8.054203
165,-0.237769,-7.430499,12.609440
166,-0.028128,-0.597402,11.184068
167,0.041127,0.640849,5.057939
168,-0.101784,-2.925162,-2.550355
169,-0.085769,-3.192587,3.769345
170,-0.102477,-2.799214,14.514957
171,0.093778,2.853541,4.049547
172,0.088255,4.289913,-9.306997
173,-0.010881,-1.180572,0.976244
174,-0.192892,-6.277386,5.743913
175,-0.162571,-5.317275,5.981003
176,0.034892,1.353261,0.711336
177,-0.094616,-2.331370,7.688010
178,-0.284009,-9.136682,14.175489
179,0.083452,8.442851,-0.232229
180,-0.058071,-1.609814,2.262922
181,-0.045676,-0.490600,-1.517563
182,-0.033280,-0.986238,6.899846
183,-0.043902,-1.931790,3.658792
184,-0.140531,-4.342508,10.347245
185,-0.003075,0.997979,3.967769
186,-0.004805,2.335637,-1.284939
187,-0.028051,-0.968544,0.016639
188,-0.000412,-0.234496,4.290541
189,-0.022552,0.007351,5.557887
190,-0.180513,-7.635406,4.900925
191,0.238375,13.601479,-5.083399
192,-0.161200,-5.740533,-0.726448
