year,e5_sharpe,arm_sharpe,d_sharpe,d_sharpe_negative
2020,0.769566,0.749628,-0.019938,True
2021,1.107518,1.200405,0.092887,False
2022,1.582446,1.513032,-0.069414,True
2023,1.529199,1.417295,-0.111904,True
2024,1.316867,1.251565,-0.065302,True
2025,1.611776,1.540620,-0.071157,True
