trade_id,entry_time,exit_time,entry_ts_ms,exit_ts_ms,entry_price,exit_price,qty,pnl,return_pct,days_held,entry_reason,exit_reason
1,2019-04-10T20:00:00Z,2019-04-28T04:00:00Z,1554926400000,1556424000000,5170.82,5303.65,0.81661717,104.14,2.57,17.33,vdo_trend_accel,trailing_stop
2,2019-04-29T00:00:00Z,2019-05-17T04:00:00Z,1556496000000,1558065600000,5388.94,7339.90,1.77070066,3441.56,36.20,18.17,vdo_trend_accel,trailing_stop
3,2019-05-17T20:00:00Z,2019-06-04T00:00:00Z,1558123200000,1559606400000,7622.66,8111.20,1.70455187,818.92,6.41,17.17,vdo_dip_buy,trailing_stop
4,2019-06-06T04:00:00Z,2019-06-27T16:00:00Z,1559793600000,1561651200000,7883.53,11823.49,1.75928296,6910.71,49.98,21.50,vdo_trend_accel,trailing_stop
5,2019-07-03T04:00:00Z,2019-07-12T04:00:00Z,1562126400000,1562904000000,11436.42,11183.36,1.40170408,-370.40,-2.21,9.00,vdo_trend_accel,trailing_stop
6,2019-07-18T08:00:00Z,2019-07-23T16:00:00Z,1563436800000,1563897600000,10494.30,9925.13,1.15170265,-666.95,-5.42,5.33,vdo_trend_accel,trailing_stop
7,2019-07-25T04:00:00Z,2019-08-11T00:00:00Z,1564027200000,1565481600000,9927.61,11303.02,1.85283508,2527.46,13.85,16.83,vdo_trend_accel,trailing_stop
8,2019-08-16T16:00:00Z,2019-08-21T16:00:00Z,1565971200000,1566403200000,10328.39,9981.28,2.08588102,-744.86,-3.36,5.00,vdo_trend_accel,emergency_dd
9,2019-08-23T16:00:00Z,2019-08-28T20:00:00Z,1566576000000,1567022400000,10267.12,9679.90,1.80774969,-1079.03,-5.72,5.17,vdo_trend_accel,emergency_dd
10,2019-08-31T00:00:00Z,2019-09-09T04:00:00Z,1567209600000,1568001600000,9637.44,10294.56,2.15757623,1395.56,6.82,9.17,vdo_trend_accel,trailing_stop
11,2019-09-12T00:00:00Z,2019-09-19T04:00:00Z,1568246400000,1568865600000,10240.29,9817.30,2.12589433,-920.10,-4.13,7.17,vdo_trend_accel,emergency_dd
12,2019-09-20T00:00:00Z,2019-09-24T00:00:00Z,1568937600000,1569283200000,10151.07,9696.86,1.33310103,-618.42,-4.47,4.00,vdo_trend_accel,emergency_dd
13,2019-09-26T00:00:00Z,2019-11-01T04:00:00Z,1569456000000,1572580800000,8259.12,9059.14,2.41874807,1913.12,9.69,36.17,vdo_dip_buy,trailing_stop
14,2019-11-02T00:00:00Z,2019-11-15T16:00:00Z,1572652800000,1573833600000,9272.20,8474.79,2.11648170,-1705.64,-8.60,13.67,vdo_trend,emergency_dd
15,2019-11-17T04:00:00Z,2019-11-21T16:00:00Z,1573963200000,1574352000000,8486.68,7627.23,0.85759086,-743.59,-10.13,4.50,vdo_trend_accel,emergency_dd
16,2020-01-17T08:00:00Z,2020-02-16T20:00:00Z,1579248000000,1581883200000,9189.06,9740.55,1.97620880,1070.62,6.00,30.50,vdo_trend_accel,trailing_stop
17,2020-02-18T16:00:00Z,2020-02-26T08:00:00Z,1582041600000,1582704000000,9825.20,9143.05,2.14384011,-1482.02,-6.94,7.67,vdo_trend_accel,emergency_dd
18,2020-02-29T00:00:00Z,2020-03-09T08:00:00Z,1582934400000,1583740800000,8735.10,7895.38,2.02048596,-1712.61,-9.61,9.33,vdo_trend_accel,emergency_dd
19,2020-03-11T04:00:00Z,2020-03-12T12:00:00Z,1583899200000,1584014400000,7931.91,6060.94,0.42810978,-803.58,-23.59,1.33,vdo_trend_accel,fixed_stop
20,2020-05-01T08:00:00Z,2020-05-10T04:00:00Z,1588320000000,1589083200000,9176.75,8617.99,0.05766091,-32.72,-6.09,8.83,vdo_trend,trailing_stop
21,2020-05-17T16:00:00Z,2020-08-04T12:00:00Z,1589731200000,1596542400000,9776.41,11111.80,0.56834679,752.64,13.66,78.83,vdo_trend_accel,trailing_stop
22,2020-08-10T04:00:00Z,2020-09-05T20:00:00Z,1597032000000,1599336000000,11908.55,9951.18,0.48199252,-948.23,-16.44,26.67,vdo_trend_accel,fixed_stop
23,2020-09-06T12:00:00Z,2020-09-21T16:00:00Z,1599393600000,1600704000000,10255.85,10413.04,0.50211348,73.70,1.53,15.17,vdo_trend_accel,trailing_stop
24,2020-09-26T08:00:00Z,2020-10-29T08:00:00Z,1601107200000,1603958400000,10732.35,13131.64,0.50063999,1194.61,22.36,33.00,vdo_trend,trailing_stop
25,2020-10-31T08:00:00Z,2020-11-26T08:00:00Z,1604131200000,1606377600000,15306.97,17601.24,1.07323754,2443.40,14.99,26.00,vdo_trend,trailing_stop
26,2020-11-28T12:00:00Z,2020-12-09T00:00:00Z,1606564800000,1607472000000,18125.35,18314.03,1.09901733,187.24,1.04,10.50,vdo_trend_accel,trailing_stop
27,2020-12-12T04:00:00Z,2021-01-11T08:00:00Z,1607745600000,1610352000000,18464.89,34353.35,1.06265845,16847.50,86.05,30.17,vdo_trend_accel,trailing_stop
28,2021-01-13T16:00:00Z,2021-01-20T04:00:00Z,1610553600000,1611115200000,36355.58,35043.21,0.64526611,-869.44,-3.61,6.50,vdo_trend,trailing_stop
29,2021-01-23T04:00:00Z,2021-02-23T04:00:00Z,1611374400000,1614052800000,37614.40,51872.19,0.76306904,10840.09,37.91,31.00,vdo_trend,trailing_stop
30,2021-03-02T00:00:00Z,2021-03-16T04:00:00Z,1614643200000,1615867200000,51384.85,54242.81,0.81785617,2293.04,5.56,14.17,vdo_trend_accel,trailing_stop
31,2021-03-20T16:00:00Z,2021-04-17T16:00:00Z,1616256000000,1618675200000,58198.75,60231.51,0.78381706,1546.10,3.49,28.00,vdo_trend_accel,trailing_stop
32,2021-04-25T04:00:00Z,2021-05-05T00:00:00Z,1619323200000,1620172800000,51094.68,53175.79,0.85656536,1737.06,4.07,9.83,vdo_trend,trailing_stop
33,2021-05-06T12:00:00Z,2021-05-13T20:00:00Z,1620302400000,1620936000000,58019.90,48543.26,0.27644961,-2633.23,-16.33,7.33,vdo_trend_accel,fixed_stop
34,2021-05-20T08:00:00Z,2021-05-23T16:00:00Z,1621497600000,1621785600000,39643.40,33298.10,0.25513294,-1627.39,-16.01,3.33,vdo_trend_accel,fixed_stop
35,2021-07-31T00:00:00Z,2021-08-19T04:00:00Z,1627689600000,1629345600000,42492.68,44022.75,0.39708272,590.08,3.60,19.17,vdo_trend_accel,trailing_stop
36,2021-08-19T20:00:00Z,2021-08-26T12:00:00Z,1629403200000,1629979200000,47437.25,46810.14,0.79867396,-538.24,-1.32,6.67,vdo_trend_accel,trailing_stop
37,2021-08-27T16:00:00Z,2021-09-08T04:00:00Z,1630080000000,1631073600000,48701.13,46424.86,0.95577929,-2219.98,-4.67,11.50,vdo_trend_accel,trailing_stop
38,2021-09-11T08:00:00Z,2021-09-20T08:00:00Z,1631347200000,1632124800000,45068.75,44805.36,0.31506361,-97.10,-0.58,9.00,vdo_trend,trailing_stop
39,2021-09-22T16:00:00Z,2021-10-22T00:00:00Z,1632326400000,1634860800000,43794.05,62158.95,1.00601197,18412.78,41.93,29.33,vdo_trend_accel,trailing_stop
40,2021-10-25T04:00:00Z,2021-11-12T12:00:00Z,1635134400000,1636718400000,62611.83,63718.13,0.98242966,1024.27,1.77,18.33,vdo_trend_accel,trailing_stop
41,2021-11-15T08:00:00Z,2021-12-04T04:00:00Z,1636963200000,1638590400000,59613.25,51971.41,1.03195848,-7939.69,-12.82,18.83,vdo_trend,emergency_dd
42,2021-12-12T00:00:00Z,2021-12-13T16:00:00Z,1639267200000,1639411200000,49454.33,47226.03,0.90122491,-2050.76,-4.51,1.67,vdo_trend_accel,emergency_dd
43,2021-12-15T00:00:00Z,2021-12-28T20:00:00Z,1639526400000,1640721600000,48875.11,47663.23,0.67555176,-850.88,-2.48,13.83,vdo_trend_accel,trailing_stop
44,2021-12-31T16:00:00Z,2022-01-21T00:00:00Z,1640966400000,1642723200000,48031.78,40658.55,0.27213160,-2017.55,-15.35,20.33,vdo_trend_accel,fixed_stop
45,2023-03-30T08:00:00Z,2023-04-17T08:00:00Z,1680163200000,1681718400000,28656.53,29821.89,1.19172910,1353.26,4.07,18.00,vdo_trend_accel,trailing_stop
46,2023-04-18T12:00:00Z,2023-05-12T04:00:00Z,1681819200000,1683864000000,29944.03,26569.71,0.96946939,-3297.06,-11.27,23.67,vdo_trend_accel,emergency_dd
47,2023-05-17T20:00:00Z,2023-07-08T08:00:00Z,1684353600000,1688803200000,28344.03,30176.76,1.00316661,1808.26,6.47,51.50,vdo_trend_accel,trailing_stop
48,2023-07-09T16:00:00Z,2023-08-18T16:00:00Z,1688918400000,1692374400000,30652.25,25987.69,0.98426509,-4616.74,-15.22,40.00,vdo_trend_accel,fixed_stop
49,2023-08-19T20:00:00Z,2023-08-31T20:00:00Z,1692475200000,1693512000000,26132.53,26148.40,0.63841829,-6.56,0.06,12.00,vdo_dip_buy,trailing_stop
50,2023-10-02T04:00:00Z,2023-10-29T04:00:00Z,1696219200000,1698552000000,27715.33,33952.19,0.54491289,3380.05,22.50,27.00,vdo_trend_accel,trailing_stop
51,2023-11-01T00:00:00Z,2023-11-15T04:00:00Z,1698796800000,1700020800000,35376.18,35362.54,0.70277710,-34.44,-0.04,14.17,vdo_trend,trailing_stop
52,2023-11-15T20:00:00Z,2023-12-11T20:00:00Z,1700078400000,1702324800000,38967.91,40757.56,0.76029482,1329.67,4.59,26.00,vdo_trend_accel,trailing_stop
53,2023-12-13T16:00:00Z,2024-01-13T04:00:00Z,1702483200000,1705118400000,43316.14,42586.51,0.93010832,-718.25,-1.68,30.50,vdo_trend_accel,trailing_stop
54,2024-01-16T16:00:00Z,2024-03-05T20:00:00Z,1705420800000,1709668800000,46400.54,61377.21,1.03766783,15477.12,32.28,49.17,vdo_trend_accel,trailing_stop
