emergency_dd_pct,harsh_score,final_nav,cagr_pct,mdd_pct,emergency_dd_exits,trailing_stop_exits,total_fees,trades,dd_episode_count,buy_fills_total_dd_episodes,buy_fills_per_dd_episode
0.04,91.3536,107533.63,39.47,44.14,39,62,15390.75,102,10,512,51.2
0.05,66.7182,69535.33,31.21,45.39,36,61,12180.42,99,10,711,71.1
0.06,81.2761,91794.31,36.41,45.49,27,60,12975.41,90,10,499,49.9
0.08,67.4169,75131.24,32.64,50.98,21,60,10163.01,83,10,411,41.1
0.1,53.4882,57859.99,27.87,51.37,18,58,8734.27,78,10,1003,100.3
0.12,53.0642,59775.73,28.46,55.34,15,56,7649.15,73,10,419,41.9
