config_id,mechanism_type,candidate_id,cost_bps_rt,agg_cagr,agg_sharpe,agg_mdd,total_entries,avg_exposure,mean_fold_sharpe,median_fold_sharpe
CFG014,cross_tf_range_flow,D1Range_H4Flow,50.0,0.0,0.0,0.0,0,0.0,0.0,0.0
D1Range_H4Flow_no_day_range,cross_tf_range_flow_ablation,D1Range_H4Flow,50.0,-0.0033834493395143994,-0.6751331745115071,0.011787485580115553,1,0.0022187418428608694,-0.18213750378264662,0.0
D1Range_H4Flow_no_flow4h,cross_tf_range_flow_ablation,D1Range_H4Flow,50.0,0.3839464212705943,0.9295406170634553,0.6502006610533053,72,0.5199157524683952,0.4857255961973584,1.095422686089183
CFG001,cross_tf_trend_flow,H4Trend_H1Flow,50.0,0.0,0.0,0.0,0,0.0,0.0,0.0
CFG002,cross_tf_trend_flow,H4Trend_H1Flow,50.0,0.0,0.0,0.0,0,0.0,0.0,0.0
CFG003,cross_tf_trend_flow,H4Trend_H1Flow,50.0,0.0,0.0,0.0,0,0.0,0.0,0.0
CFG004,cross_tf_trend_flow,H4Trend_H1Flow,50.0,0.0,0.0,0.0,0,0.0,0.0,0.0
CFG005,cross_tf_trend_flow,H4Trend_H1Flow,50.0,0.0,0.0,0.0,0,0.0,0.0,0.0
CFG006,cross_tf_trend_flow,H4Trend_H1Flow,50.0,0.0,0.0,0.0,0,0.0,0.0,0.0
H4Trend_H1Flow_no_flow1h,cross_tf_trend_flow_ablation,H4Trend_H1Flow,50.0,0.8579340704770366,1.5309908547409228,0.46302132093336446,109,0.5461051057971752,0.9384671328603,1.650659877238685
H4Trend_H1Flow_no_trend4h,cross_tf_trend_flow_ablation,H4Trend_H1Flow,50.0,0.0,0.0,0.0,0,0.0,0.0,0.0
CFG015,single_tf_zret_trailing,M15ZRetTrail,50.0,-0.8258968723341515,-3.995148789021688,0.9980593223183256,1410,0.2884469933347767,-4.474701410817285,-4.340089465692072
CFG016,single_tf_zret_trailing,M15ZRetTrail,50.0,-0.9061007545646075,-5.6242745807374055,0.9997608222473713,1830,0.24632892930823885,-6.407247783895836,-5.612631398216204
CFG017,single_tf_zret_trailing,M15ZRetTrail,50.0,-0.6999874722447427,-2.886438682416698,0.986447185684301,1060,0.2524189458841132,-3.343287924570404,-2.920314156937912
CFG018,single_tf_zret_trailing,M15ZRetTrail,50.0,-0.7836254886045082,-3.9713701997484145,0.9956273147755762,1255,0.21416173987660955,-4.579520106744814,-3.4664250476464353
CFG019,single_tf_zret_trailing,M15ZRetTrail,50.0,-0.5169145591828113,-1.9419062370027105,0.9277136232983804,764,0.20778309748194299,-2.218635190983463,-2.235524947331932
CFG020,single_tf_zret_trailing,M15ZRetTrail,50.0,-0.5913094057889027,-2.681485742639645,0.9587532762725216,824,0.17542915930820863,-3.029024049896286,-2.811754048668278
