config_id,mechanism_type,candidate_id,fold,cost_bps_rt,cagr,sharpe,max_drawdown,entries,exposure,mean_daily_return
CFG008,cross_tf_range_flow,D1Range_H4Flow,11,50.0,0.0,0.0,0.0,0,0.0,0.0
CFG008,cross_tf_range_flow,D1Range_H4Flow,12,50.0,0.0,0.0,0.0,0,0.0,0.0
CFG008,cross_tf_range_flow,D1Range_H4Flow,13,50.0,0.0,0.0,0.0,0,0.0,0.0
CFG008,cross_tf_range_flow,D1Range_H4Flow,14,50.0,-0.0273951916433093,-1.7441775170941245,0.0069014087978497,1,0.0164835164835164,-7.575456901192049e-05
CFG009,cross_tf_range_flow,D1Range_H4Flow,1,20.0,0.0,0.0,0.0,0,0.0,0.0
CFG009,cross_tf_range_flow,D1Range_H4Flow,2,20.0,0.0,0.0,0.0,0,0.0,0.0
CFG009,cross_tf_range_flow,D1Range_H4Flow,3,20.0,0.0,0.0,0.0,0,0.0,0.0
CFG009,cross_tf_range_flow,D1Range_H4Flow,4,20.0,0.0,0.0,0.0,0,0.0,0.0
CFG009,cross_tf_range_flow,D1Range_H4Flow,5,20.0,0.0,0.0,0.0,0,0.0,0.0
CFG009,cross_tf_range_flow,D1Range_H4Flow,6,20.0,0.0,0.0,0.0,0,0.0,0.0
CFG009,cross_tf_range_flow,D1Range_H4Flow,7,20.0,0.0,0.0,0.0,0,0.0,0.0
CFG009,cross_tf_range_flow,D1Range_H4Flow,8,20.0,0.0,0.0,0.0,0,0.0,0.0
CFG009,cross_tf_range_flow,D1Range_H4Flow,9,20.0,0.0,0.0,0.0,0,0.0,0.0
CFG009,cross_tf_range_flow,D1Range_H4Flow,10,20.0,0.0,0.0,0.0,0,0.0,0.0
CFG009,cross_tf_range_flow,D1Range_H4Flow,11,20.0,0.0,0.0,0.0,0,0.0,0.0
CFG009,cross_tf_range_flow,D1Range_H4Flow,12,20.0,0.0,0.0,0.0,0,0.0,0.0
CFG009,cross_tf_range_flow,D1Range_H4Flow,13,20.0,0.0,0.0,0.0,0,0.0,0.0
CFG009,cross_tf_range_flow,D1Range_H4Flow,14,20.0,0.0,0.0,0.0,0,0.0,0.0
CFG009,cross_tf_range_flow,D1Range_H4Flow,1,50.0,0.0,0.0,0.0,0,0.0,0.0
CFG009,cross_tf_range_flow,D1Range_H4Flow,2,50.0,0.0,0.0,0.0,0,0.0,0.0
CFG009,cross_tf_range_flow,D1Range_H4Flow,3,50.0,0.0,0.0,0.0,0,0.0,0.0
CFG009,cross_tf_range_flow,D1Range_H4Flow,4,50.0,0.0,0.0,0.0,0,0.0,0.0
CFG009,cross_tf_range_flow,D1Range_H4Flow,5,50.0,0.0,0.0,0.0,0,0.0,0.0
CFG009,cross_tf_range_flow,D1Range_H4Flow,6,50.0,0.0,0.0,0.0,0,0.0,0.0
CFG009,cross_tf_range_flow,D1Range_H4Flow,7,50.0,0.0,0.0,0.0,0,0.0,0.0
CFG009,cross_tf_range_flow,D1Range_H4Flow,8,50.0,0.0,0.0,0.0,0,0.0,0.0
CFG009,cross_tf_range_flow,D1Range_H4Flow,9,50.0,0.0,0.0,0.0,0,0.0,0.0
CFG009,cross_tf_range_flow,D1Range_H4Flow,10,50.0,0.0,0.0,0.0,0,0.0,0.0
CFG009,cross_tf_range_flow,D1Range_H4Flow,11,50.0,0.0,0.0,0.0,0,0.0,0.0
CFG009,cross_tf_range_flow,D1Range_H4Flow,12,50.0,0.0,0.0,0.0,0,0.0,0.0
CFG009,cross_tf_range_flow,D1Range_H4Flow,13,50.0,0.0,0.0,0.0,0,0.0,0.0
CFG009,cross_tf_range_flow,D1Range_H4Flow,14,50.0,0.0,0.0,0.0,0,0.0,0.0
CFG010,cross_tf_range_flow,D1Range_H4Flow,1,20.0,0.0,0.0,0.0,0,0.0,0.0
CFG010,cross_tf_range_flow,D1Range_H4Flow,2,20.0,0.0,0.0,0.0,0,0.0,0.0
CFG010,cross_tf_range_flow,D1Range_H4Flow,3,20.0,0.0,0.0,0.0,0,0.0,0.0
CFG010,cross_tf_range_flow,D1Range_H4Flow,4,20.0,0.0,0.0,0.0,0,0.0,0.0
CFG010,cross_tf_range_flow,D1Range_H4Flow,5,20.0,0.0,0.0,0.0,0,0.0,0.0
CFG010,cross_tf_range_flow,D1Range_H4Flow,6,20.0,0.0,0.0,0.0,0,0.0,0.0
CFG010,cross_tf_range_flow,D1Range_H4Flow,7,20.0,0.0,0.0,0.0,0,0.0,0.0
CFG010,cross_tf_range_flow,D1Range_H4Flow,8,20.0,0.0,0.0,0.0,0,0.0,0.0
CFG010,cross_tf_range_flow,D1Range_H4Flow,9,20.0,0.0,0.0,0.0,0,0.0,0.0
CFG010,cross_tf_range_flow,D1Range_H4Flow,10,20.0,0.0,0.0,0.0,0,0.0,0.0
CFG010,cross_tf_range_flow,D1Range_H4Flow,11,20.0,0.0,0.0,0.0,0,0.0,0.0
CFG010,cross_tf_range_flow,D1Range_H4Flow,12,20.0,0.0,0.0,0.0,0,0.0,0.0
CFG010,cross_tf_range_flow,D1Range_H4Flow,13,20.0,0.0,0.0,0.0,0,0.0,0.0
CFG010,cross_tf_range_flow,D1Range_H4Flow,14,20.0,0.0,0.0,0.0,0,0.0,0.0
CFG010,cross_tf_range_flow,D1Range_H4Flow,1,50.0,0.0,0.0,0.0,0,0.0,0.0
CFG010,cross_tf_range_flow,D1Range_H4Flow,2,50.0,0.0,0.0,0.0,0,0.0,0.0
CFG010,cross_tf_range_flow,D1Range_H4Flow,3,50.0,0.0,0.0,0.0,0,0.0,0.0
CFG010,cross_tf_range_flow,D1Range_H4Flow,4,50.0,0.0,0.0,0.0,0,0.0,0.0
CFG010,cross_tf_range_flow,D1Range_H4Flow,5,50.0,0.0,0.0,0.0,0,0.0,0.0
CFG010,cross_tf_range_flow,D1Range_H4Flow,6,50.0,0.0,0.0,0.0,0,0.0,0.0
CFG010,cross_tf_range_flow,D1Range_H4Flow,7,50.0,0.0,0.0,0.0,0,0.0,0.0
CFG010,cross_tf_range_flow,D1Range_H4Flow,8,50.0,0.0,0.0,0.0,0,0.0,0.0
CFG010,cross_tf_range_flow,D1Range_H4Flow,9,50.0,0.0,0.0,0.0,0,0.0,0.0
CFG010,cross_tf_range_flow,D1Range_H4Flow,10,50.0,0.0,0.0,0.0,0,0.0,0.0
CFG010,cross_tf_range_flow,D1Range_H4Flow,11,50.0,0.0,0.0,0.0,0,0.0,0.0
CFG010,cross_tf_range_flow,D1Range_H4Flow,12,50.0,0.0,0.0,0.0,0,0.0,0.0
CFG010,cross_tf_range_flow,D1Range_H4Flow,13,50.0,0.0,0.0,0.0,0,0.0,0.0
CFG010,cross_tf_range_flow,D1Range_H4Flow,14,50.0,0.0,0.0,0.0,0,0.0,0.0
CFG011,cross_tf_range_flow,D1Range_H4Flow,1,20.0,0.0,0.0,0.0,0,0.0,0.0
CFG011,cross_tf_range_flow,D1Range_H4Flow,2,20.0,0.0,0.0,0.0,0,0.0,0.0
CFG011,cross_tf_range_flow,D1Range_H4Flow,3,20.0,0.0,0.0,0.0,0,0.0,0.0
CFG011,cross_tf_range_flow,D1Range_H4Flow,4,20.0,0.0,0.0,0.0,0,0.0,0.0
CFG011,cross_tf_range_flow,D1Range_H4Flow,5,20.0,0.0,0.0,0.0,0,0.0,0.0
CFG011,cross_tf_range_flow,D1Range_H4Flow,6,20.0,0.0,0.0,0.0,0,0.0,0.0
CFG011,cross_tf_range_flow,D1Range_H4Flow,7,20.0,0.0,0.0,0.0,0,0.0,0.0
CFG011,cross_tf_range_flow,D1Range_H4Flow,8,20.0,0.0,0.0,0.0,0,0.0,0.0
CFG011,cross_tf_range_flow,D1Range_H4Flow,9,20.0,0.0,0.0,0.0,0,0.0,0.0
CFG011,cross_tf_range_flow,D1Range_H4Flow,10,20.0,0.0,0.0,0.0,0,0.0,0.0
CFG011,cross_tf_range_flow,D1Range_H4Flow,11,20.0,0.0,0.0,0.0,0,0.0,0.0
CFG011,cross_tf_range_flow,D1Range_H4Flow,12,20.0,0.0,0.0,0.0,0,0.0,0.0
CFG011,cross_tf_range_flow,D1Range_H4Flow,13,20.0,0.0,0.0,0.0,0,0.0,0.0
CFG011,cross_tf_range_flow,D1Range_H4Flow,14,20.0,-0.0348572128224283,-2.2263326495292333,0.0088818178844569,1,0.0311355311355311,-9.685249462551284e-05
CFG011,cross_tf_range_flow,D1Range_H4Flow,1,50.0,0.0,0.0,0.0,0,0.0,0.0
CFG011,cross_tf_range_flow,D1Range_H4Flow,2,50.0,0.0,0.0,0.0,0,0.0,0.0
CFG011,cross_tf_range_flow,D1Range_H4Flow,3,50.0,0.0,0.0,0.0,0,0.0,0.0
CFG011,cross_tf_range_flow,D1Range_H4Flow,4,50.0,0.0,0.0,0.0,0,0.0,0.0
CFG011,cross_tf_range_flow,D1Range_H4Flow,5,50.0,0.0,0.0,0.0,0,0.0,0.0
CFG011,cross_tf_range_flow,D1Range_H4Flow,6,50.0,0.0,0.0,0.0,0,0.0,0.0
CFG011,cross_tf_range_flow,D1Range_H4Flow,7,50.0,0.0,0.0,0.0,0,0.0,0.0
CFG011,cross_tf_range_flow,D1Range_H4Flow,8,50.0,0.0,0.0,0.0,0,0.0,0.0
CFG011,cross_tf_range_flow,D1Range_H4Flow,9,50.0,0.0,0.0,0.0,0,0.0,0.0
CFG011,cross_tf_range_flow,D1Range_H4Flow,10,50.0,0.0,0.0,0.0,0,0.0,0.0
CFG011,cross_tf_range_flow,D1Range_H4Flow,11,50.0,0.0,0.0,0.0,0,0.0,0.0
