config_id,candidate_id,param_1_name,param_1_value,param_2_name,param_2_value,param_3_name,param_3_value,param_4_name,param_4_value
CFG001,H4Trend_H1Flow,q_flow_entry,0.8,q_flow_hold,0.6,,,,
CFG002,H4Trend_H1Flow,q_flow_entry,0.8,q_flow_hold,0.7,,,,
CFG003,H4Trend_H1Flow,q_flow_entry,0.85,q_flow_hold,0.6,,,,
CFG004,H4Trend_H1Flow,q_flow_entry,0.85,q_flow_hold,0.7,,,,
CFG005,H4Trend_H1Flow,q_flow_entry,0.9,q_flow_hold,0.6,,,,
CFG006,H4Trend_H1Flow,q_flow_entry,0.9,q_flow_hold,0.7,,,,
CFG007,D1Range_H4Flow,q_day_perm,0.5,q_flow_entry,0.8,q_flow_hold,0.6,,
CFG008,D1Range_H4Flow,q_day_perm,0.5,q_flow_entry,0.8,q_flow_hold,0.7,,
CFG009,D1Range_H4Flow,q_day_perm,0.5,q_flow_entry,0.9,q_flow_hold,0.6,,
CFG010,D1Range_H4Flow,q_day_perm,0.5,q_flow_entry,0.9,q_flow_hold,0.7,,
CFG011,D1Range_H4Flow,q_day_perm,0.6,q_flow_entry,0.8,q_flow_hold,0.6,,
CFG012,D1Range_H4Flow,q_day_perm,0.6,q_flow_entry,0.8,q_flow_hold,0.7,,
CFG013,D1Range_H4Flow,q_day_perm,0.6,q_flow_entry,0.9,q_flow_hold,0.6,,
CFG014,D1Range_H4Flow,q_day_perm,0.6,q_flow_entry,0.9,q_flow_hold,0.7,,
CFG015,M15ZRetTrail,q_zret_entry,0.8,q_zret_hold,0.6,,,,
CFG016,M15ZRetTrail,q_zret_entry,0.8,q_zret_hold,0.7,,,,
CFG017,M15ZRetTrail,q_zret_entry,0.85,q_zret_hold,0.6,,,,
CFG018,M15ZRetTrail,q_zret_entry,0.85,q_zret_hold,0.7,,,,
CFG019,M15ZRetTrail,q_zret_entry,0.9,q_zret_hold,0.6,,,,
CFG020,M15ZRetTrail,q_zret_entry,0.9,q_zret_hold,0.7,,,,
