config_id,mechanism_type,candidate_id,cost_bps_rt,is_ablation,eligible_main_candidate,agg_cagr,agg_sharpe,agg_mdd,total_entries,discovery_years,entries_per_year,avg_exposure,calmar_50bps,pass_cagr,pass_mdd,pass_entries_per_year,pass_exposure,hard_pass,fail_reasons,param_1_name,param_1_value,param_2_name,param_2_value,param_3_name,param_3_value,param_4_name,param_4_value,layers,tunables
CFG007,cross_tf_range_flow,D1Range_H4Flow,50.0,False,True,-0.0033834493395143,-0.6751331745115071,0.0117874855801155,1,3.4986301369863013,0.28582615505090053,0.0022187418428608,-0.022556328930095335,False,True,False,False,False,"CAGR<=0;entries_per_year_out_of_[6,80];exposure_out_of_[0.15,0.90]",q_day_perm,0.5,q_flow_entry,0.8,q_flow_hold,0.6,,,2,3
CFG008,cross_tf_range_flow,D1Range_H4Flow,50.0,False,True,-0.0019774836901477,-0.4638115123906082,0.0069014087978497,1,3.4986301369863013,0.28582615505090053,0.0011746280344557,-0.013183224600984669,False,True,False,False,False,"CAGR<=0;entries_per_year_out_of_[6,80];exposure_out_of_[0.15,0.90]",q_day_perm,0.5,q_flow_entry,0.8,q_flow_hold,0.7,,,2,3
CFG009,cross_tf_range_flow,D1Range_H4Flow,50.0,False,True,0.0,0.0,0.0,0,3.4986301369863013,0.0,0.0,0.0,False,True,False,False,False,"CAGR<=0;entries_per_year_out_of_[6,80];exposure_out_of_[0.15,0.90]",q_day_perm,0.5,q_flow_entry,0.9,q_flow_hold,0.6,,,2,3
CFG010,cross_tf_range_flow,D1Range_H4Flow,50.0,False,True,0.0,0.0,0.0,0,3.4986301369863013,0.0,0.0,0.0,False,True,False,False,False,"CAGR<=0;entries_per_year_out_of_[6,80];exposure_out_of_[0.15,0.90]",q_day_perm,0.5,q_flow_entry,0.9,q_flow_hold,0.7,,,2,3
CFG011,cross_tf_range_flow,D1Range_H4Flow,50.0,False,True,-0.0033834493395143,-0.6751331745115071,0.0117874855801155,1,3.4986301369863013,0.28582615505090053,0.0022187418428608,-0.022556328930095335,False,True,False,False,False,"CAGR<=0;entries_per_year_out_of_[6,80];exposure_out_of_[0.15,0.90]",q_day_perm,0.6,q_flow_entry,0.8,q_flow_hold,0.6,,,2,3
CFG012,cross_tf_range_flow,D1Range_H4Flow,50.0,False,True,-0.0019774836901477,-0.4638115123906082,0.0069014087978497,1,3.4986301369863013,0.28582615505090053,0.0011746280344557,-0.013183224600984669,False,True,False,False,False,"CAGR<=0;entries_per_year_out_of_[6,80];exposure_out_of_[0.15,0.90]",q_day_perm,0.6,q_flow_entry,0.8,q_flow_hold,0.7,,,2,3
CFG013,cross_tf_range_flow,D1Range_H4Flow,50.0,False,True,0.0,0.0,0.0,0,3.4986301369863013,0.0,0.0,0.0,False,True,False,False,False,"CAGR<=0;entries_per_year_out_of_[6,80];exposure_out_of_[0.15,0.90]",q_day_perm,0.6,q_flow_entry,0.9,q_flow_hold,0.6,,,2,3
CFG014,cross_tf_range_flow,D1Range_H4Flow,50.0,False,True,0.0,0.0,0.0,0,3.4986301369863013,0.0,0.0,0.0,False,True,False,False,False,"CAGR<=0;entries_per_year_out_of_[6,80];exposure_out_of_[0.15,0.90]",q_day_perm,0.6,q_flow_entry,0.9,q_flow_hold,0.7,,,2,3
D1Range_H4Flow_no_day_range,cross_tf_range_flow_ablation,D1Range_H4Flow,50.0,True,False,-0.0033834493395143,-0.6751331745115071,0.0117874855801155,1,3.4986301369863013,0.28582615505090053,0.0022187418428608,-0.022556328930095335,False,True,False,False,False,"CAGR<=0;entries_per_year_out_of_[6,80];exposure_out_of_[0.15,0.90]",,,,,,,,,2,3
D1Range_H4Flow_no_flow4h,cross_tf_range_flow_ablation,D1Range_H4Flow,50.0,True,False,0.3839464212705943,0.9295406170634553,0.6502006610533053,72,3.4986301369863013,20.57948316366484,0.5199157524683952,0.5905045077139921,True,False,True,True,False,MDD>0.45,,,,,,,,,2,3
CFG001,cross_tf_trend_flow,H4Trend_H1Flow,50.0,False,True,0.0,0.0,0.0,0,3.4986301369863013,0.0,0.0,0.0,False,True,False,False,False,"CAGR<=0;entries_per_year_out_of_[6,80];exposure_out_of_[0.15,0.90]",q_flow_entry,0.8,q_flow_hold,0.6,,,,,2,2
CFG002,cross_tf_trend_flow,H4Trend_H1Flow,50.0,False,True,0.0,0.0,0.0,0,3.4986301369863013,0.0,0.0,0.0,False,True,False,False,False,"CAGR<=0;entries_per_year_out_of_[6,80];exposure_out_of_[0.15,0.90]",q_flow_entry,0.8,q_flow_hold,0.7,,,,,2,2
CFG003,cross_tf_trend_flow,H4Trend_H1Flow,50.0,False,True,0.0,0.0,0.0,0,3.4986301369863013,0.0,0.0,0.0,False,True,False,False,False,"CAGR<=0;entries_per_year_out_of_[6,80];exposure_out_of_[0.15,0.90]",q_flow_entry,0.85,q_flow_hold,0.6,,,,,2,2
CFG004,cross_tf_trend_flow,H4Trend_H1Flow,50.0,False,True,0.0,0.0,0.0,0,3.4986301369863013,0.0,0.0,0.0,False,True,False,False,False,"CAGR<=0;entries_per_year_out_of_[6,80];exposure_out_of_[0.15,0.90]",q_flow_entry,0.85,q_flow_hold,0.7,,,,,2,2
CFG005,cross_tf_trend_flow,H4Trend_H1Flow,50.0,False,True,0.0,0.0,0.0,0,3.4986301369863013,0.0,0.0,0.0,False,True,False,False,False,"CAGR<=0;entries_per_year_out_of_[6,80];exposure_out_of_[0.15,0.90]",q_flow_entry,0.9,q_flow_hold,0.6,,,,,2,2
