year,sharpe,cagr,mdd,trades,exposure,days
2020,2.191634518369617,1.264156126667637,-0.23221426704758574,39,0.42915717539863324,366
2021,1.7984615382129343,1.0954226968170344,-0.2129305303116268,33,0.31552511415525114,365
2022,0.744580774658544,0.054249232261059044,-0.0417994375014622,2,0.034703196347031964,365
2023,1.5022653404509523,0.5429078569606707,-0.18376837998543027,42,0.40684931506849314,365
