block,median_delta_sharpe,p_delta_sharpe_gt0,median_delta_cagr,p_delta_cagr_gt0,median_delta_mdd,p_delta_mdd_lt0
5,0.06921829263046864,0.5775,-0.008242461249203914,0.48333333333333334,0.03562669961935111,0.2975
10,0.08315264368335906,0.5966666666666667,0.0005132343992914068,0.5008333333333334,0.03177023483289865,0.32916666666666666
20,0.026014254482967902,0.5291666666666667,-0.03492586548776655,0.4483333333333333,0.03522886405698067,0.35083333333333333
