policy_label,positive_folds_vs_A,sharpe,cagr,mdd,trades,trail_mult,peak_anchor,atr_mode,trend_exit,cooldown_bars,trail_confirm_bars,time_stop_bars,fold1,fold2,fold3,fold4
price_ts_rank_1,4,1.804351689756462,0.5680134276168118,-0.26018298058238953,124,3.3,close,current,none,6,2,30,1.6910214277580962,1.8233418285133742,2.376257548102369,0.8956505477176805
price_ts_rank_2,4,1.7887386166509636,0.5608528452951855,-0.26018298058239,124,3.3,close,lagged,none,6,2,30,1.6806177384275989,1.826967006128096,2.319052338618731,0.8956505477176805
price_ts_rank_3,4,1.758763073383833,0.5493838289136601,-0.2733669220869326,128,3.0,close,lagged,none,3,1,36,1.1676084932605189,2.386441964721958,2.175591222824537,0.9165971167510569
price_ts_rank_4,4,1.755944705230323,0.529756648727588,-0.2872303480249424,133,3.0,close,lagged,none,6,1,30,1.517974564788049,1.8254801928218285,2.473285704746958,0.8269488305432453
price_ts_rank_5,4,1.7395774538798865,0.5209851202731246,-0.25962786560919604,138,2.7,close,current,none,6,1,30,1.5997677447588956,1.9384751088848173,1.9692512283221386,1.171920105018093
price_ts_rank_6,4,1.728889337027116,0.5165629765497186,-0.25148050395505217,140,3.3,high,lagged,none,6,1,30,1.7800647698551215,1.6463780529261451,2.245703041830795,0.795777372255494
price_ts_rank_7,4,1.7141546426785954,0.514066047131448,-0.24313894327311025,150,3.3,high,current,ema30_120,3,1,30,1.6799872676345227,1.9734252386135682,1.9109585018232713,0.516118252131095
price_ts_rank_8,4,1.6926416246146132,0.505622531076638,-0.2432479306525933,138,3.3,high,current,none,6,1,30,1.6500034908645589,1.7270973593999457,2.1431770128605083,0.7921079121583876
price_ts_rank_9,4,1.6808686439305054,0.4958104362520621,-0.2500117870984122,140,2.7,close,lagged,none,6,1,30,1.3812213403638696,1.9681303530701584,1.9888729787149706,1.171920105018093
price_ts_rank_10,4,1.6776799470339445,0.5026583923052401,-0.2872303480249421,133,3.0,close,current,none,6,1,30,1.3965978892079727,1.7406751015124204,2.4416201192446203,0.8317044189640878
price_ts_rank_11,4,1.6557998284828594,0.5107859212536456,-0.2637327555885024,124,3.6,close,lagged,none,6,2,30,1.5697209895674649,1.8826306029644786,1.9693983211227188,0.4515027970649093
price_ts_rank_12,4,1.6547334271987792,0.5357282569523456,-0.2431389432731098,147,3.3,high,current,none,0,1,36,1.4137167130673154,1.8101129458883072,2.3720636071961123,0.32432212993622866
price_ts_rank_13,4,1.6522984313122395,0.5038606708486564,-0.2733669220869329,130,3.0,close,lagged,ema30_120_confirm2,3,1,36,1.186318586915017,2.052899527996665,2.175591222824537,0.9165971167510569
price_ts_rank_14,4,1.6418900447250364,0.5062987489245849,-0.26444738303068127,124,3.6,close,current,none,6,2,30,1.5697209895674649,1.877044982315394,1.9161415091918248,0.4687881062760721
price_ts_rank_15,4,1.6381863784062567,0.4886238071677582,-0.2601829805823891,127,3.6,high,current,none,6,2,30,1.1829289170125483,1.8793374281673318,2.276221605057419,0.9250735924974749
price_ts_rank_16,4,1.6249896863575386,0.4919762256461284,-0.2733669220869327,133,3.0,close,lagged,d1_close_below_ema21,3,1,36,1.2503855462688587,1.7856116260507335,2.3688642921399743,0.9165971167510569
price_ts_rank_17,4,1.622707220977404,0.47393574866315324,-0.2596278656091965,140,2.7,close,current,ema30_120_confirm2,6,1,30,1.5115102746266642,1.6878509791528111,1.9692512283221386,1.171920105018093
price_ts_rank_18,4,1.619426873638057,0.5165262205446284,-0.24313894327310992,149,3.3,high,current,ema30_120_confirm2,0,1,36,1.354684980777824,1.7432099523458453,2.4071015660396915,0.32432212993622866
price_ts_rank_19,4,1.6171051525315479,0.48786658512448144,-0.25459790466960996,138,3.3,high,lagged,none,3,1,36,1.4794158880102755,1.7112292002027538,2.246026368088517,0.3806061120424934
price_ts_rank_20,4,1.6155299543103434,0.48930827289923196,-0.27336692208693225,131,3.0,close,lagged,ema30_120,3,1,36,1.1822296201257037,1.9479155980231277,2.175591222824537,0.9165971167510569
