strategy_id,label,reference,scenario,sharpe,cagr_pct,mdd_pct,calmar,trades,win_rate_pct,profit_factor,avg_exposure,total_return_pct
E0,VTrend E0,E0,smart,1.5205,67.95,38.51,1.7646,192,42.19,1.7619,0.4682,3952.79
E0,VTrend E0,E0,base,1.3964,60.01,40.04,1.4989,192,40.62,1.6273,0.4682,2768.54
E0,VTrend E0,E0,harsh,1.2653,52.04,41.61,1.2507,192,38.02,1.5057,0.4682,1891.73
X0,X0,X0,smart,1.5877,71.4,37.29,1.9148,174,43.1,1.8699,0.4551,4586.78
X0,X0,X0,base,1.4739,64.05,38.63,1.658,174,41.38,1.7307,0.4551,3326.52
X0,X0,X0,harsh,1.3536,56.62,40.01,1.4151,174,40.23,1.6034,0.4551,2361.93
X0_E5EXIT,X0 + E5 exit,X0_E5EXIT,smart,1.7122,78.14,35.72,2.1876,188,45.21,1.9635,0.4448,6070.93
X0_E5EXIT,X0 + E5 exit,X0_E5EXIT,base,1.587,69.89,37.5,1.8636,188,43.09,1.7994,0.4448,4299.32
X0_E5EXIT,X0 + E5 exit,X0_E5EXIT,harsh,1.4545,61.6,40.97,1.5037,188,42.02,1.6519,0.4448,2977.9
X0_CHOP_VDO2,X0 + chop VDO>=0.002,X0,smart,1.5641,69.1,38.48,1.7958,166,44.58,1.9113,0.4437,4154.68
X0_CHOP_VDO2,X0 + chop VDO>=0.002,X0,base,1.4543,62.17,39.79,1.5623,166,42.77,1.7697,0.4437,3055.73
X0_CHOP_VDO2,X0 + chop VDO>=0.002,X0,harsh,1.3383,55.16,41.15,1.3405,166,42.17,1.64,0.4437,2202.09
X0_CHOP_STRETCH18,X0 + chop stretch<=1.8 ATR,X0,smart,1.7436,80.12,32.62,2.4562,153,47.06,2.143,0.4167,6579.44
X0_CHOP_STRETCH18,X0 + chop stretch<=1.8 ATR,X0,base,1.6415,73.31,34.96,2.0967,153,45.75,1.9765,0.4167,4971.49
X0_CHOP_STRETCH18,X0 + chop stretch<=1.8 ATR,X0,harsh,1.5334,66.39,37.39,1.7757,153,43.14,1.8233,0.4167,3692.16
X0_CHOP_COMBO,X0 + chop combo,X0,smart,1.5857,70.63,38.48,1.8357,170,44.71,1.8958,0.4452,4437.77
X0_CHOP_COMBO,X0 + chop combo,X0,base,1.4736,63.47,39.79,1.5951,170,42.94,1.755,0.4452,3241.55
X0_CHOP_COMBO,X0 + chop combo,X0,harsh,1.355,56.24,41.15,1.3668,170,41.76,1.6256,0.4452,2319.19
X0E5_CHOP_VDO2,X0_E5 + chop VDO>=0.002,X0_E5EXIT,smart,1.7068,76.67,36.08,2.125,180,47.22,2.0628,0.4328,5716.05
X0E5_CHOP_VDO2,X0_E5 + chop VDO>=0.002,X0_E5EXIT,base,1.5853,68.83,37.56,1.8327,180,45.0,1.8879,0.4328,4106.46
X0E5_CHOP_VDO2,X0_E5 + chop VDO>=0.002,X0_E5EXIT,harsh,1.4568,60.93,39.08,1.5592,180,43.89,1.7294,0.4328,2888.05
X0E5_CHOP_STRETCH18,X0_E5 + chop stretch<=1.8 ATR,X0_E5EXIT,smart,1.7821,79.97,34.22,2.3373,168,47.62,2.0666,0.4002,6538.99
X0E5_CHOP_STRETCH18,X0_E5 + chop stretch<=1.8 ATR,X0_E5EXIT,base,1.6668,72.51,36.66,1.9781,168,45.83,1.901,0.4002,4806.49
X0E5_CHOP_STRETCH18,X0_E5 + chop stretch<=1.8 ATR,X0_E5EXIT,harsh,1.5448,64.96,39.13,1.6601,168,44.05,1.7502,0.4002,3465.7
X0E5_CHOP_COMBO,X0_E5 + chop combo,X0_E5EXIT,smart,1.6816,75.13,36.08,2.0824,184,46.2,1.883,0.4347,5364.65
X0E5_CHOP_COMBO,X0_E5 + chop combo,X0_E5EXIT,base,1.5577,67.19,37.98,1.7692,184,43.48,1.7374,0.4347,3823.95
X0E5_CHOP_COMBO,X0_E5 + chop combo,X0_E5EXIT,harsh,1.4265,59.2,41.21,1.4367,184,42.93,1.6057,0.4347,2666.27
