metric,observed_candidate,observed_reference,observed_delta,mean_delta,ci_lower,ci_upper,p_candidate_better,block_size,n_bootstrap
sharpe,1.5448183211582691,1.4544944288208077,0.09032389233746141,0.08932494904492702,-0.0847947625725718,0.2739149226100907,0.8315,20,2000
cagr_pct,64.90835279145568,61.547618489431244,3.36073430202444,3.2333086947598297,-7.223623356347881,14.464782605791351,0.712,20,2000
neg_mdd,-39.13353612472481,-40.96674859250601,1.8332124677811947,2.525716004492705,-4.934919262793851,11.108241407847155,0.7415,20,2000
