strategy_id,reference,false_breakout_loss_usd,trail_stop_noise_loss_usd,combined_loss_usd,false_breakout_share_pct,trail_stop_noise_share_pct,combined_share_pct,d_false_breakout_loss_usd,d_trail_stop_noise_loss_usd,d_combined_loss_usd,d_false_breakout_share_pct,d_trail_stop_noise_share_pct,d_combined_share_pct,d_net_pnl_usd,d_trades
X0_CHOP_VDO2,X0,-24402.06,-170994.07,-195396.13,7.0917,49.6939,56.7856,35559.93,8990.65,44550.58,-8.2262,3.715,-4.5112,-15983.33,-8
X0_CHOP_STRETCH18,X0,-40538.27,-243248.15,-283786.42,9.0394,54.2406,63.2801,19423.71,-63263.42,-43839.71,-6.2785,8.2617,1.9833,133022.75,-21
X0_CHOP_COMBO,X0,-45391.03,-171244.15,-216635.18,12.245,46.196,58.441,14570.96,8740.57,23311.53,-3.0729,0.2171,-2.8558,-4273.31,-4
X0E5_CHOP_VDO2,X0_E5EXIT,-30555.8,-203441.67,-233997.47,7.7168,51.379,59.0959,18400.35,31545.24,49945.59,-2.9996,-0.0592,-3.0587,-8985.53,-8
X0E5_CHOP_STRETCH18,X0_E5EXIT,-30384.52,-257357.33,-287741.85,6.5771,55.7084,62.2855,18571.64,-22370.42,-3798.79,-4.1393,4.2702,0.1309,48779.02,-20
X0E5_CHOP_COMBO,X0_E5EXIT,-43739.03,-230043.82,-273782.85,9.9365,52.2608,62.1973,5217.12,4943.09,10160.21,-0.7799,0.8226,0.0427,-31163.51,-4
