strategy_id,reference,scenario,d_sharpe,d_cagr_pct,d_mdd_pct,d_calmar,d_trades,d_winrate_pct,d_profit_factor
E0,E0,smart,0.0,0.0,0.0,0.0,0,0.0,0.0
E0,E0,base,0.0,0.0,0.0,0.0,0,0.0,0.0
E0,E0,harsh,0.0,0.0,0.0,0.0,0,0.0,0.0
X0,X0,smart,0.0,0.0,0.0,0.0,0,0.0,0.0
X0,X0,base,0.0,0.0,0.0,0.0,0,0.0,0.0
X0,X0,harsh,0.0,0.0,0.0,0.0,0,0.0,0.0
X0_E5EXIT,X0_E5EXIT,smart,0.0,0.0,0.0,0.0,0,0.0,0.0
X0_E5EXIT,X0_E5EXIT,base,0.0,0.0,0.0,0.0,0,0.0,0.0
X0_E5EXIT,X0_E5EXIT,harsh,0.0,0.0,0.0,0.0,0,0.0,0.0
X0_CHOP_VDO2,X0,smart,-0.0236,-2.3,1.19,-0.119,-8,1.48,0.0414
X0_CHOP_VDO2,X0,base,-0.0196,-1.88,1.16,-0.0957,-8,1.39,0.039
X0_CHOP_VDO2,X0,harsh,-0.0153,-1.46,1.14,-0.0746,-8,1.94,0.0366
X0_CHOP_STRETCH18,X0,smart,0.1559,8.72,-4.67,0.5414,-21,3.96,0.2731
X0_CHOP_STRETCH18,X0,base,0.1676,9.26,-3.67,0.4387,-21,4.37,0.2458
X0_CHOP_STRETCH18,X0,harsh,0.1798,9.77,-2.62,0.3606,-21,2.91,0.2199
X0_CHOP_COMBO,X0,smart,-0.002,-0.77,1.19,-0.0791,-4,1.61,0.0259
X0_CHOP_COMBO,X0,base,-0.0003,-0.58,1.16,-0.0629,-4,1.56,0.0243
X0_CHOP_COMBO,X0,harsh,0.0014,-0.38,1.14,-0.0483,-4,1.53,0.0222
X0E5_CHOP_VDO2,X0_E5EXIT,smart,-0.0054,-1.47,0.36,-0.0626,-8,2.01,0.0993
X0E5_CHOP_VDO2,X0_E5EXIT,base,-0.0017,-1.06,0.06,-0.0309,-8,1.91,0.0885
X0E5_CHOP_VDO2,X0_E5EXIT,harsh,0.0023,-0.67,-1.89,0.0555,-8,1.87,0.0775
X0E5_CHOP_STRETCH18,X0_E5EXIT,smart,0.0699,1.83,-1.5,0.1497,-20,2.41,0.1031
X0E5_CHOP_STRETCH18,X0_E5EXIT,base,0.0798,2.62,-0.84,0.1145,-20,2.74,0.1016
X0E5_CHOP_STRETCH18,X0_E5EXIT,harsh,0.0903,3.36,-1.84,0.1564,-20,2.03,0.0983
X0E5_CHOP_COMBO,X0_E5EXIT,smart,-0.0306,-3.01,0.36,-0.1052,-4,0.99,-0.0805
X0E5_CHOP_COMBO,X0_E5EXIT,base,-0.0293,-2.7,0.48,-0.0944,-4,0.39,-0.062
X0E5_CHOP_COMBO,X0_E5EXIT,harsh,-0.028,-2.4,0.24,-0.067,-4,0.91,-0.0462
