pair_id,reference,candidate,reference_trades,candidate_trades,matched_trades,reference_only_trades,candidate_only_trades,reference_total_pnl_usd,candidate_total_pnl_usd,total_delta_pnl_usd,matched_delta_pnl_usd,direct_gate_avoided_pnl_usd,sequence_removed_pnl_usd,candidate_only_added_pnl_usd,reconciliation_error_usd,matched_improved,matched_worsened,matched_same_exit,matched_candidate_earlier,matched_candidate_later,matched_same_return,matched_changed_return,matched_ref_winners_improved,matched_ref_losers_improved,matched_ref_winners_worsened,matched_ref_losers_worsened,matched_share_of_total_pct,direct_gate_share_of_total_pct,sequence_removed_share_of_total_pct,candidate_only_share_of_total_pct
x0_stretch18,X0,X0_CHOP_STRETCH18,174,153,116,58,37,236192.74,369215.47,133022.73,89591.37,36269.82,4513.33,2648.21,-0.0,49,62,116,0,0,116,0,49,0,2,60,67.35,27.27,3.39,1.99
x0e5_stretch18,X0_E5EXIT,X0E5_CHOP_STRETCH18,188,168,128,60,40,297790.47,346569.59,48779.12,43744.27,18140.05,5910.98,-19016.18,-0.0,53,68,128,0,0,128,0,53,0,3,65,89.68,37.19,12.12,-38.98
