slice,strategy,scenario,sharpe,cagr_pct,mdd_pct,calmar,trades,win_rate_pct,profit_factor,avg_exposure,total_return_pct
full,reference,smart,1.7122,78.14,35.72,2.1876,188,45.21,1.9635,0.4448,6070.93
full,candidate,smart,1.7821,79.97,34.22,2.3373,168,47.62,2.0666,0.4002,6538.99
full,reference,base,1.587,69.89,37.5,1.8636,188,43.09,1.7994,0.4448,4299.32
full,candidate,base,1.6668,72.51,36.66,1.9781,168,45.83,1.901,0.4002,4806.49
full,reference,harsh,1.4545,61.6,40.97,1.5037,188,42.02,1.6519,0.4448,2977.9
full,candidate,harsh,1.5448,64.96,39.13,1.6601,168,44.05,1.7502,0.4002,3465.7
