strategy_id,cohort,failure_mode,trades,net_pnl_usd,loser_loss_usd,share_of_cohort_loss_pct
X0,blocked_by_stretch18,false_breakout,5,-31880.81,-31880.81,20.1077
X0,blocked_by_stretch18,late_exit_giveback,15,-26478.34,-26478.34,16.7003
X0,blocked_by_stretch18,other_loss,6,-30723.11,-30723.11,19.3775
X0,blocked_by_stretch18,trail_stop_noise,13,-69467.89,-69467.89,43.8145
X0,blocked_by_stretch18,winner,13,125700.38,-0.0,0.0
X0,kept_by_stretch18,false_breakout,8,-28081.19,-28081.19,12.0572
X0,kept_by_stretch18,late_exit_giveback,19,-33569.79,-33569.79,14.4138
X0,kept_by_stretch18,other_loss,13,-51275.81,-51275.81,22.0162
X0,kept_by_stretch18,slow_trend_reversal,3,-9456.89,-9456.89,4.0605
X0,kept_by_stretch18,trail_stop_noise,22,-110516.82,-110516.82,47.4524
X0,kept_by_stretch18,winner,57,501943.01,-0.0,0.0
X0_E5EXIT,blocked_by_stretch18,false_breakout,3,-23029.58,-23029.58,13.4855
X0_E5EXIT,blocked_by_stretch18,late_exit_giveback,14,-30978.87,-30978.87,18.1404
X0_E5EXIT,blocked_by_stretch18,other_loss,6,-24650.26,-24650.26,14.4345
X0_E5EXIT,blocked_by_stretch18,trail_stop_noise,15,-92114.18,-92114.18,53.9396
X0_E5EXIT,blocked_by_stretch18,winner,18,160223.0,-0.0,0.0
X0_E5EXIT,kept_by_stretch18,false_breakout,7,-25926.59,-25926.59,9.0633
X0_E5EXIT,kept_by_stretch18,late_exit_giveback,18,-31939.84,-31939.84,11.1654
X0_E5EXIT,kept_by_stretch18,other_loss,16,-73676.81,-73676.81,25.7557
X0_E5EXIT,kept_by_stretch18,slow_trend_reversal,3,-11644.72,-11644.72,4.0707
X0_E5EXIT,kept_by_stretch18,trail_stop_noise,27,-142872.74,-142872.74,49.9449
X0_E5EXIT,kept_by_stretch18,winner,61,594401.06,-0.0,0.0
