mode,label,cost_bps,score,score_delta_vs_baseline,cagr_pct,max_drawdown_mid_pct,sharpe,trades,turnover_per_year,h4_bars,d1_bars
quick,candidate,0.0,199.5364,0.0,72.88,14.45,1.8508,12,42.08,3390,595
quick,baseline,0.0,199.5364,0.0,72.88,14.45,1.8508,12,42.08,3390,595
quick,candidate,10.0,189.816,0.0,69.28,14.78,1.7855,12,42.09,3390,595
quick,baseline,10.0,189.816,0.0,69.28,14.78,1.7855,12,42.09,3390,595
quick,candidate,25.0,175.5502,0.0,64.01,15.29,1.6874,12,42.11,3390,595
quick,baseline,25.0,175.5502,0.0,64.01,15.29,1.6874,12,42.11,3390,595
quick,candidate,50.0,152.6806,0.0,55.59,16.14,1.5237,12,42.15,3390,595
quick,baseline,50.0,152.6806,0.0,55.59,16.14,1.5237,12,42.15,3390,595
quick,candidate,75.0,129.9997,0.0,47.6,16.97,1.3599,12,42.18,3390,595
quick,baseline,75.0,129.9997,0.0,47.6,16.97,1.3599,12,42.18,3390,595
quick,candidate,100.0,57.7473,0.0,23.89,23.12,0.8071,12,42.29,3390,595
quick,baseline,100.0,57.7473,0.0,23.89,23.12,0.8071,12,42.29,3390,595
