ts_ms,side,qty,price,fee_quote,reason,kind,trade_id,btc_after,cash_after,exposure_after,datetime_utc,notional
1578196799999,BUY,0.26752309,7478.60678339975,2.0006999955900624,breakout_add,TWAP,1,0.26752309,7997.299304414348,0.20005402415101353,2020-01-05T03:59:59.999000+00:00,2000.6999955900621
1578283199999,BUY,0.26560925,7543.5395035225,2.003633869875984,breakout_add,TWAP,1,0.5331323400000001,5991.661800668488,0.40154953457542025,2020-01-06T03:59:59.999000+00:00,2003.6338698759837
1578355199999,BUY,0.20041124,7760.715493950001,1.5553346154297323,breakout_add,TWAP,1,0.7335435800000001,4434.771850623326,0.5620239234113114,2020-01-06T23:59:59.999000+00:00,1555.3346154297321
1578369599999,BUY,0.03237384,7897.663412372501,0.25567769168600135,breakout_add,TWAP,1,0.7659174200000001,4178.838481245639,0.5913388142623686,2020-01-07T03:59:59.999000+00:00,255.67769168600137
1578441599999,SELL,0.03480949,8142.429355632,0.28343381323057854,daily_deleverage,TWAP,1,0.7311079300000001,4461.988860662987,0.5716655582950441,2020-01-07T23:59:59.999000+00:00,283.43381323057855
1578585599999,BUY,0.07772478,7909.817665176251,0.6147888378659377,rebound_add,TWAP,1,0.80883271,3846.585233959183,0.6244326812167132,2020-01-09T15:59:59.999000+00:00,614.7888378659377
1578671999999,BUY,0.05973214,8069.423511665001,0.4820039349180655,rebound_add,TWAP,1,0.86856485,3364.0992951061994,0.675607655710406,2020-01-10T15:59:59.999000+00:00,482.00393491806545
1578700799999,SELL,0.04559035,8194.1512479255,0.3735742233458603,daily_deleverage,TWAP,1,0.8229745,3737.2999442287137,0.6434975712008237,2020-01-10T23:59:59.999000+00:00,373.57422334586033
1578815999999,BUY,0.05561808,8100.344330937751,0.4505255990256423,rebound_add,TWAP,1,0.8785925800000001,3286.3238196040456,0.6840296866849163,2020-01-12T07:59:59.999000+00:00,450.5255990256423
1578974399999,BUY,0.08148209,8464.801855546,0.6897297466257661,breakout_add,TWAP,1,0.96007467,2595.904343231654,0.7578425436498,2020-01-14T03:59:59.999000+00:00,689.7297466257661
1579046399999,SELL,0.18771248,8806.92671675025,1.6531700551794468,daily_deleverage,TWAP,1,0.77236219,4247.421228355921,0.6156854554415501,2020-01-14T23:59:59.999000+00:00,1653.1700551794468
1579247999999,BUY,0.08332692,8937.077105848752,0.7446991090328904,breakout_add,TWAP,1,0.85568911,3501.9774202139974,0.6858272289059025,2020-01-17T07:59:59.999000+00:00,744.6991090328904
