close_time,datetime_utc,realtime_interval,close,bid,ask,mid,cash,btc_qty,btc_value_mid,nav_mid,nav_liq,drawdown_mid,drawdown_liq,exposure,target_exposure,regime,kill_active,crash_cooldown_active,entry_price_avg,note
1577851199999,2020-01-01T03:59:59.999000+00:00,4h,7225.01,7223.203747500001,7226.816252500001,7225.01,10000.0,0.0,0.0,10000.0,10000.0,0.0,0.0,0.0,0.0,RISK_OFF,False,False,,
1577865599999,2020-01-01T07:59:59.999000+00:00,4h,7209.83,7208.0275425,7211.632457500001,7209.83,10000.0,0.0,0.0,10000.0,10000.0,0.0,0.0,0.0,0.0,RISK_OFF,False,False,,
1577879999999,2020-01-01T11:59:59.999000+00:00,4h,7197.2,7195.4007,7198.9993,7197.2,10000.0,0.0,0.0,10000.0,10000.0,0.0,0.0,0.0,0.0,RISK_OFF,False,False,,
1577894399999,2020-01-01T15:59:59.999000+00:00,4h,7234.19,7232.3814525,7235.9985475,7234.19,10000.0,0.0,0.0,10000.0,10000.0,0.0,0.0,0.0,0.0,RISK_OFF,False,False,,
1577908799999,2020-01-01T19:59:59.999000+00:00,4h,7229.48,7227.67263,7231.28737,7229.48,10000.0,0.0,0.0,10000.0,10000.0,0.0,0.0,0.0,0.0,RISK_OFF,False,False,,
1577923199999,2020-01-01T23:59:59.999000+00:00,4h,7200.85,7199.049787500001,7202.650212500001,7200.85,10000.0,0.0,0.0,10000.0,10000.0,0.0,0.0,0.0,0.0,RISK_OFF,False,False,,
1577937599999,2020-01-02T03:59:59.999000+00:00,4h,7129.61,7127.8275975,7131.392402500001,7129.61,10000.0,0.0,0.0,10000.0,10000.0,0.0,0.0,0.0,0.0,RISK_OFF,False,False,,
1577951999999,2020-01-02T07:59:59.999000+00:00,4h,7110.57,7108.7923574999995,7112.3476425,7110.57,10000.0,0.0,0.0,10000.0,10000.0,0.0,0.0,0.0,0.0,RISK_OFF,False,False,,
1577966399999,2020-01-02T11:59:59.999000+00:00,4h,7139.79,7138.005052500001,7141.5749475,7139.79,10000.0,0.0,0.0,10000.0,10000.0,0.0,0.0,0.0,0.0,RISK_OFF,False,False,,
1577980799999,2020-01-02T15:59:59.999000+00:00,4h,7130.98,7129.197255,7132.762745,7130.98,10000.0,0.0,0.0,10000.0,10000.0,0.0,0.0,0.0,0.0,RISK_OFF,False,False,,
