strategy_id,vs_anchor_d_sharpe,vs_anchor_d_cagr_pct,vs_anchor_d_mdd_pct,vs_anchor_d_calmar,vs_raw_floor_d_sharpe,vs_raw_floor_d_cagr_pct,vs_raw_floor_d_mdd_pct,vs_raw_floor_d_calmar,holdout_vs_anchor_d_sharpe,holdout_vs_anchor_d_cagr_pct,holdout_vs_anchor_d_mdd_pct,holdout_vs_anchor_d_calmar,holdout_vs_raw_floor_d_sharpe,holdout_vs_raw_floor_d_cagr_pct,holdout_vs_raw_floor_d_mdd_pct,holdout_vs_raw_floor_d_calmar
X0E5_FLOOR_LATCH,0.0015,-0.32,-5.51,0.2245,0.0,0.0,0.0,0.0,-0.0631,-2.5,0.06,-0.1,0.0,0.0,0.0,0.0
X0E5_FLOOR_BSLOW,-0.0154,-1.28,-3.87,0.1222,-0.0169,-0.96,1.64,-0.1023,-0.048,-1.95,0.06,-0.0785,0.0151,0.55,0.0,0.0215
X0E5_FLOOR_PEAK3,0.0191,0.88,-4.1,0.191,0.0176,1.2,1.41,-0.0335,0.0263,0.97,0.0,0.0377,0.0894,3.47,-0.06,0.1377
