event_id,strategy_id,event_ts,event_close_time_ms,event_bar_index,entry_ts,entry_ts_ms,entry_bar_index,bars_since_entry,bars_since_peak,entry_price,current_close,peak_close,entry_atr,current_atr,current_ratr,mfe_r_to_date,giveback_from_peak_r,realized_if_close_r,er30_now,event_context,vdo_now,ema_fast,ema_slow,ema_spread_atr,price_to_slow_atr,floor_stop,trail_stop,ll30,ema_floor,floor_driver,price_minus_floor_atr,price_minus_trail_atr,floor_hit,trail_hit_same_bar,trend_down_same_bar,actionable_event,d1_regime_on,cand_strategy_id,cand_trade_id,cand_entry_ts,cand_exit_ts,cand_entry_ts_ms,cand_exit_ts_ms,cand_pnl_usd,cand_return_pct,cand_days_held,cand_entry_reason,cand_exit_reason,ref_strategy_id,ref_trade_id,ref_entry_ts,ref_exit_ts,ref_entry_ts_ms,ref_exit_ts_ms,ref_pnl_usd,ref_return_pct,ref_days_held,ref_entry_reason,ref_exit_reason,matched_reference,delta_pnl_usd,delta_return_pct,candidate_earlier,event_label
0,X0E5_FLOOR_LATCH,2019-02-24T15:59:59Z,1551023999999,2517,2019-02-09T20:00:00Z,1549742400000,2429,88,3,3657.2144733899995,3778.65,4169.7,43.09311742677936,78.47344215927772,44.55659944299897,11.89251456408968,9.074534945503606,2.8179796185860737,0.20187244002340532,chop,-0.020513423926323215,3961.0680252397196,3759.654146501131,2.566650234735192,0.242067290234487,3870.66,4036.030201671003,3870.66,3670.540947615133,ll,-1.1724985863783937,-3.2798383069344363,True,True,False,False,True,X0E5_FLOOR_LATCH,2,2019-02-09T20:00:00Z,2019-02-24T16:00:00Z,1549742400000,1551024000000,285.43143139099067,2.897334122042039,14.833333333333334,x0e5_floor_latch_entry,x0e5_floor_latch_floor_exit,X0_E5EXIT,2.0,2019-02-09T20:00:00Z,2019-02-24T16:00:00Z,1549742400000.0,1551024000000.0,285.43143139099067,2.897334122042039,14.833333333333334,x0_entry,x0_trail_stop,True,0.0,0.0,False,neutral
1,X0E5_FLOOR_LATCH,2019-07-01T15:59:59Z,1561996799999,3279,2019-06-29T08:00:00Z,1561795200000,3266,13,9,11889.380469374999,10396.98,12133.8,674.3554948591978,573.2725268898378,460.23891660995633,0.3624490828476662,2.575525836506514,-2.213076753658848,0.24961662087485578,chop,-0.018640987609111682,11481.906283075023,10454.629862929436,1.7919512482463544,-0.10056275196406667,10525.1,10753.08325017013,10525.1,9534.152029709523,ll,-0.22348881900042775,-0.621176200614547,True,True,False,False,True,X0E5_FLOOR_LATCH,15,2019-06-29T08:00:00Z,2019-07-01T16:00:00Z,1561795200000,1561996800000,-3949.9664923204073,-12.958545266688612,2.3333333333333335,x0e5_floor_latch_entry,x0e5_floor_latch_floor_exit,X0_E5EXIT,15.0,2019-06-29T08:00:00Z,2019-07-01T16:00:00Z,1561795200000.0,1561996800000.0,-3949.9664923204073,-12.958545266688612,2.3333333333333335,x0_entry,x0_trail_stop,True,0.0,0.0,False,neutral
2,X0E5_FLOOR_LATCH,2019-07-14T11:59:59Z,1563105599999,3356,2019-07-12T04:00:00Z,1562904000000,3343,13,9,11200.7023073775,10681.52,11757.22,446.82922855274415,398.3410437778297,396.78711614920076,1.2454818464428352,2.4074074193492967,-1.1619255729064615,0.284943443562123,transition,-0.008248383056438779,11527.944742556863,11259.502860551549,0.6738996299739445,-1.4509749110209995,10830.0,10566.858651552397,10830.0,10465.928628253147,ll,-0.37274592292029196,0.28784718581888064,True,False,False,True,True,X0E5_FLOOR_LATCH,17,2019-07-12T04:00:00Z,2019-07-14T12:00:00Z,1562904000000,1563105600000,-1376.1729761366503,-5.029503060486623,2.3333333333333335,x0e5_floor_latch_entry,x0e5_floor_latch_floor_exit,X0_E5EXIT,17.0,2019-07-12T04:00:00Z,2019-07-14T16:00:00Z,1562904000000.0,1563120000000.0,-2025.3808615799014,-7.402164857621532,2.5,x0_entry,x0_trail_stop,True,649.2078854432511,2.372661797134909,True,good_exit
3,X0E5_FLOOR_LATCH,2019-08-13T15:59:59Z,1565711999999,3537,2019-08-12T16:00:00Z,1565625600000,3532,5,5,11411.402849999999,10951.09,11443.89,211.83264397148534,194.70367310088702,194.94189007868835,0.15336234015175637,2.326364769663805,-2.1730024295120485,0.25995163494900575,transition,-0.04958020887376979,11428.03298188897,11033.853456455026,2.0245099599620615,-0.4250739348514591,11112.11,10859.064329763934,11112.11,10643.96967629765,ll,-0.8270003202074511,0.47264475687822277,True,False,False,True,True,X0E5_FLOOR_LATCH,20,2019-08-12T16:00:00Z,2019-08-13T16:00:00Z,1565625600000,1565712000000,-1133.7099222055567,-4.4025179384585735,1.0,x0e5_floor_latch_entry,x0e5_floor_latch_floor_exit,X0_E5EXIT,20.0,2019-08-12T16:00:00Z,2019-08-14T04:00:00Z,1565625600000.0,1565755200000.0,-1758.051502589089,-7.001944393169275,1.5,x0_entry,x0_trail_stop,True,624.3415803835323,2.5994264547107013,True,good_exit
4,X0E5_FLOOR_LATCH,2019-11-08T11:59:59Z,1573214399999,4058,2019-10-31T00:00:00Z,1572480000000,4008,50,20,9163.176308504999,9026.27,9404.24,242.09871965122696,125.02294348084396,127.51030653483845,0.9957247681535983,1.5612226307702566,-0.5654978626166581,0.08438777559654578,chop,-0.005771644748463532,9237.405603283562,8965.220557883538,2.177080764713618,0.48830590943346464,9066.14,9021.709080395485,9066.14,8710.199944813861,ll,-0.31890146632252236,0.03648066088936744,True,False,False,True,True,X0E5_FLOOR_LATCH,24,2019-10-31T00:00:00Z,2019-11-08T12:00:00Z,1572480000000,1573214400000,-425.21538544948015,-1.8873536560132465,8.5,x0e5_floor_latch_entry,x0e5_floor_latch_floor_exit,X0_E5EXIT,24.0,2019-10-31T00:00:00Z,2019-11-08T16:00:00Z,1572480000000.0,1573228800000.0,-880.677547210859,-4.1211811340471,8.666666666666666,x0_entry,x0_trail_stop,True,455.4621617613788,2.233827478033853,True,good_exit
5,X0E5_FLOOR_LATCH,2020-01-23T11:59:59Z,1579780799999,4514,2020-01-21T12:00:00Z,1579608000000,4503,11,7,8665.418924189999,8423.0,8740.27,134.41405456154868,126.73143007530109,124.40159986898615,0.5568694140963314,2.3603930484421283,-1.8035236343457968,0.2415434158413232,chop,-0.004724393086919951,8660.677162290944,8316.297718050955,2.717395708668052,0.8419559527233667,8466.0,8367.065200393043,8466.0,8067.494518312983,ll,-0.339300203386408,0.44136485774461837,True,False,False,True,True,X0E5_FLOOR_LATCH,29,2020-01-21T12:00:00Z,2020-01-23T12:00:00Z,1579608000000,1579780800000,-792.1815111038346,-3.185831746099662,2.0,x0e5_floor_latch_entry,x0e5_floor_latch_floor_exit,X0_E5EXIT,29.0,2020-01-21T12:00:00Z,2020-01-23T16:00:00Z,1579608000000.0,1579795200000.0,-906.927749426986,-3.9348991005403096,2.1666666666666665,x0_entry,x0_trail_stop,True,114.74623832315137,0.7490673544406476,True,good_exit
6,X0E5_FLOOR_LATCH,2020-02-16T19:59:59Z,1581883199999,4660,2020-02-16T08:00:00Z,1581840000000,4658,2,2,9969.542069894998,9745.57,9969.542069894998,164.05643916266737,167.7654507435787,141.50879300770308,0.0,1.3652135267480903,-1.3652135267480903,0.2654038455440095,transition,-0.004853253566935068,10062.414053502072,9677.705265803566,2.293134766385927,0.40452151438594636,9801.0,9545.01569087189,9801.0,9394.68767978816,ll,-0.3304017588503508,1.1954446415468944,True,False,False,True,True,X0E5_FLOOR_LATCH,32,2020-02-16T08:00:00Z,2020-02-16T20:00:00Z,1581840000000,1581883200000,-714.6178150216435,-2.633423822554942,0.5,x0e5_floor_latch_entry,x0e5_floor_latch_floor_exit,X0_E5EXIT,32.0,2020-02-16T08:00:00Z,2020-02-20T00:00:00Z,1581840000000.0,1582156800000.0,-1034.42348705876,-4.144587819821532,3.6666666666666665,x0_entry,x0_trail_stop,True,319.80567203711644,1.51116399726659,True,good_exit
7,X0E5_FLOOR_LATCH,2020-04-13T03:59:59Z,1586750399999,4998,2020-04-12T20:00:00Z,1586721600000,4997,1,1,7119.243908032499,6675.52,7119.243908032499,129.65486994770518,153.5097603120519,146.2765229480896,0.0,3.422346636200167,-3.422346636200167,0.29473862702556974,transition,-0.010782921877980065,6959.362807595337,6836.848652587728,0.7980870711970632,-1.0509341703080082,6739.98,6680.414339188231,6739.98,6544.2956066915485,ll,-0.4199081535204406,-0.031882918573263405,True,True,False,False,True,X0E5_FLOOR_LATCH,35,2020-04-12T20:00:00Z,2020-04-13T04:00:00Z,1586721600000,1586750400000,-1740.3105641809043,-6.606942798106356,0.3333333333333333,x0e5_floor_latch_entry,x0e5_floor_latch_floor_exit,X0_E5EXIT,34.0,2020-04-12T20:00:00Z,2020-04-15T16:00:00Z,1586721600000.0,1586966400000.0,-1525.8379298840598,-6.238017047130209,2.8333333333333335,x0_entry,x0_trail_stop,True,-214.4726342968445,-0.368925750976147,True,bad_exit
8,X0E5_FLOOR_LATCH,2020-05-10T03:59:59Z,1589083199999,5160,2020-04-30T16:00:00Z,1588262400000,5104,56,13,8785.719134235,8622.78,9986.4,249.35776930892652,300.60221868809356,207.32306481244146,4.815093065247508,5.468528226648617,-0.6534351614011097,0.05640536796794696,chop,-0.023674170526231608,9419.310039367112,8541.823678204904,2.919094759153099,0.26931378666601596,8760.0,9364.430805562675,8760.0,8127.177548580022,ll,-0.4564836567037436,-2.467216671917566,True,True,False,False,True,X0E5_FLOOR_LATCH,38,2020-04-30T16:00:00Z,2020-05-10T04:00:00Z,1588262400000,1589083200000,-668.7900085292083,-2.246979767723624,9.5,x0e5_floor_latch_entry,x0e5_floor_latch_floor_exit,X0_E5EXIT,37.0,2020-04-30T16:00:00Z,2020-05-10T04:00:00Z,1588262400000.0,1589083200000.0,-635.735420010414,-2.2469797677236123,9.5,x0_entry,x0_trail_stop,True,-33.054588518794276,-1.1546319456101628e-14,False,bad_exit
9,X0E5_FLOOR_LATCH,2020-05-21T15:59:59Z,1590076799999,5229,2020-05-11T04:00:00Z,1589169600000,5167,62,21,8704.938414059998,9084.38,9860.51,298.31967532709314,220.8375465476807,209.66851203324487,3.8736016478731212,2.6016721798487206,1.2719294680244004,0.10186531382435755,chop,-0.01831337235523374,9527.97288487761,9136.890084622693,1.7709071956678295,-0.23777697879539167,9228.0,9231.504463900266,9228.0,8717.553060556203,ll,-0.6503423092911061,-0.6662112770235005,True,True,False,False,True,X0E5_FLOOR_LATCH,39,2020-05-11T04:00:00Z,2020-05-21T16:00:00Z,1589169600000,1590076800000,1140.7586202029183,3.920784389892752,10.5,x0e5_floor_latch_entry,x0e5_floor_latch_floor_exit,X0_E5EXIT,38.0,2020-05-11T04:00:00Z,2020-05-21T16:00:00Z,1589169600000.0,1590076800000.0,1084.3772354495834,3.92078438989275,10.5,x0_entry,x0_trail_stop,True,56.38138475333494,2.220446049250313e-15,False,good_exit
