strategy_id,family,scenario,sharpe,cagr_pct,mdd_pct,calmar,trades,win_rate_pct,profit_factor,avg_exposure,total_return_pct
X0_E5EXIT,anchor,smart,1.7122,78.14,35.72,2.1876,188,45.21,1.9635,0.4448,6070.93
X0_E5EXIT,anchor,base,1.587,69.89,37.5,1.8636,188,43.09,1.7994,0.4448,4299.32
X0_E5EXIT,anchor,harsh,1.4545,61.6,40.97,1.5037,188,42.02,1.6519,0.4448,2977.9
X0E5_FLOOR_LATCH,raw_floor,smart,1.725,78.43,30.65,2.5589,195,43.08,1.9426,0.4378,6143.84
X0E5_FLOOR_LATCH,raw_floor,base,1.5943,69.87,32.51,2.1493,195,41.03,1.7793,0.4378,4295.56
X0E5_FLOOR_LATCH,raw_floor,harsh,1.456,61.28,35.46,1.7282,195,40.0,1.6328,0.4378,2934.65
X0E5_FLOOR_BSLOW,event_gate,smart,1.705,77.19,32.23,2.395,193,43.52,1.9518,0.4388,5840.18
X0E5_FLOOR_BSLOW,event_gate,base,1.5758,68.77,34.23,2.0093,193,41.45,1.7878,0.4388,4096.87
X0E5_FLOOR_BSLOW,event_gate,harsh,1.4391,60.32,37.1,1.6259,193,40.41,1.6403,0.4388,2808.5
X0E5_FLOOR_PEAK3,event_gate,smart,1.7393,79.57,31.31,2.541,193,44.04,2.0135,0.4404,6434.78
X0E5_FLOOR_PEAK3,event_gate,base,1.6102,71.04,33.98,2.0907,193,41.97,1.8372,0.4404,4516.97
X0E5_FLOOR_PEAK3,event_gate,harsh,1.4736,62.48,36.87,1.6947,193,40.93,1.6796,0.4404,3099.64
