event_id,strategy_id,event_ts,event_close_time_ms,event_bar_index,entry_ts,entry_ts_ms,entry_bar_index,bars_since_entry,bars_since_peak,entry_price,current_close,peak_close,entry_atr,current_atr,current_ratr,mfe_r_to_date,giveback_from_peak_r,realized_if_close_r,er30_now,event_context,vdo_now,ema_fast,ema_slow,ema_spread_atr,price_to_slow_atr,floor_stop,trail_stop,ll30,ema_floor,floor_driver,price_minus_floor_atr,price_minus_trail_atr,floor_hit,trail_hit_same_bar,trend_down_same_bar,actionable_event,d1_regime_on,cand_strategy_id,cand_trade_id,cand_entry_ts,cand_exit_ts,cand_entry_ts_ms,cand_exit_ts_ms,cand_pnl_usd,cand_return_pct,cand_days_held,cand_entry_reason,cand_exit_reason,ref_strategy_id,ref_trade_id,ref_entry_ts,ref_exit_ts,ref_entry_ts_ms,ref_exit_ts_ms,ref_pnl_usd,ref_return_pct,ref_days_held,ref_entry_reason,ref_exit_reason,matched_reference,delta_pnl_usd,delta_return_pct,candidate_earlier,event_label
2,X0E5_FLOOR_LATCH,2019-07-14T11:59:59Z,1563105599999,3356,2019-07-12T04:00:00Z,1562904000000,3343,13,9,11200.7023073775,10681.52,11757.22,446.82922855274415,398.3410437778297,396.78711614920076,1.2454818464428352,2.4074074193492967,-1.1619255729064615,0.284943443562123,transition,-0.008248383056438779,11527.944742556863,11259.502860551549,0.6738996299739445,-1.4509749110209995,10830.0,10566.858651552397,10830.0,10465.928628253147,ll,-0.37274592292029196,0.28784718581888064,True,False,False,True,True,X0E5_FLOOR_LATCH,17,2019-07-12T04:00:00Z,2019-07-14T12:00:00Z,1562904000000,1563105600000,-1376.1729761366503,-5.029503060486623,2.3333333333333335,x0e5_floor_latch_entry,x0e5_floor_latch_floor_exit,X0_E5EXIT,17.0,2019-07-12T04:00:00Z,2019-07-14T16:00:00Z,1562904000000.0,1563120000000.0,-2025.3808615799014,-7.402164857621532,2.5,x0_entry,x0_trail_stop,True,649.2078854432511,2.372661797134909,True,good_exit
3,X0E5_FLOOR_LATCH,2019-08-13T15:59:59Z,1565711999999,3537,2019-08-12T16:00:00Z,1565625600000,3532,5,5,11411.402849999999,10951.09,11443.89,211.83264397148534,194.70367310088702,194.94189007868835,0.15336234015175637,2.326364769663805,-2.1730024295120485,0.25995163494900575,transition,-0.04958020887376979,11428.03298188897,11033.853456455026,2.0245099599620615,-0.4250739348514591,11112.11,10859.064329763934,11112.11,10643.96967629765,ll,-0.8270003202074511,0.47264475687822277,True,False,False,True,True,X0E5_FLOOR_LATCH,20,2019-08-12T16:00:00Z,2019-08-13T16:00:00Z,1565625600000,1565712000000,-1133.7099222055567,-4.4025179384585735,1.0,x0e5_floor_latch_entry,x0e5_floor_latch_floor_exit,X0_E5EXIT,20.0,2019-08-12T16:00:00Z,2019-08-14T04:00:00Z,1565625600000.0,1565755200000.0,-1758.051502589089,-7.001944393169275,1.5,x0_entry,x0_trail_stop,True,624.3415803835323,2.5994264547107013,True,good_exit
4,X0E5_FLOOR_LATCH,2019-11-08T11:59:59Z,1573214399999,4058,2019-10-31T00:00:00Z,1572480000000,4008,50,20,9163.176308504999,9026.27,9404.24,242.09871965122696,125.02294348084396,127.51030653483845,0.9957247681535983,1.5612226307702566,-0.5654978626166581,0.08438777559654578,chop,-0.005771644748463532,9237.405603283562,8965.220557883538,2.177080764713618,0.48830590943346464,9066.14,9021.709080395485,9066.14,8710.199944813861,ll,-0.31890146632252236,0.03648066088936744,True,False,False,True,True,X0E5_FLOOR_LATCH,24,2019-10-31T00:00:00Z,2019-11-08T12:00:00Z,1572480000000,1573214400000,-425.21538544948015,-1.8873536560132465,8.5,x0e5_floor_latch_entry,x0e5_floor_latch_floor_exit,X0_E5EXIT,24.0,2019-10-31T00:00:00Z,2019-11-08T16:00:00Z,1572480000000.0,1573228800000.0,-880.677547210859,-4.1211811340471,8.666666666666666,x0_entry,x0_trail_stop,True,455.4621617613788,2.233827478033853,True,good_exit
5,X0E5_FLOOR_LATCH,2020-01-23T11:59:59Z,1579780799999,4514,2020-01-21T12:00:00Z,1579608000000,4503,11,7,8665.418924189999,8423.0,8740.27,134.41405456154868,126.73143007530109,124.40159986898615,0.5568694140963314,2.3603930484421283,-1.8035236343457968,0.2415434158413232,chop,-0.004724393086919951,8660.677162290944,8316.297718050955,2.717395708668052,0.8419559527233667,8466.0,8367.065200393043,8466.0,8067.494518312983,ll,-0.339300203386408,0.44136485774461837,True,False,False,True,True,X0E5_FLOOR_LATCH,29,2020-01-21T12:00:00Z,2020-01-23T12:00:00Z,1579608000000,1579780800000,-792.1815111038346,-3.185831746099662,2.0,x0e5_floor_latch_entry,x0e5_floor_latch_floor_exit,X0_E5EXIT,29.0,2020-01-21T12:00:00Z,2020-01-23T16:00:00Z,1579608000000.0,1579795200000.0,-906.927749426986,-3.9348991005403096,2.1666666666666665,x0_entry,x0_trail_stop,True,114.74623832315137,0.7490673544406476,True,good_exit
6,X0E5_FLOOR_LATCH,2020-02-16T19:59:59Z,1581883199999,4660,2020-02-16T08:00:00Z,1581840000000,4658,2,2,9969.542069894998,9745.57,9969.542069894998,164.05643916266737,167.7654507435787,141.50879300770308,0.0,1.3652135267480903,-1.3652135267480903,0.2654038455440095,transition,-0.004853253566935068,10062.414053502072,9677.705265803566,2.293134766385927,0.40452151438594636,9801.0,9545.01569087189,9801.0,9394.68767978816,ll,-0.3304017588503508,1.1954446415468944,True,False,False,True,True,X0E5_FLOOR_LATCH,32,2020-02-16T08:00:00Z,2020-02-16T20:00:00Z,1581840000000,1581883200000,-714.6178150216435,-2.633423822554942,0.5,x0e5_floor_latch_entry,x0e5_floor_latch_floor_exit,X0_E5EXIT,32.0,2020-02-16T08:00:00Z,2020-02-20T00:00:00Z,1581840000000.0,1582156800000.0,-1034.42348705876,-4.144587819821532,3.6666666666666665,x0_entry,x0_trail_stop,True,319.80567203711644,1.51116399726659,True,good_exit
11,X0E5_FLOOR_LATCH,2020-08-21T23:59:59Z,1598054399999,5783,2020-08-19T12:00:00Z,1597838400000,5769,14,5,11853.995110537498,11531.34,11866.58,192.40757602163987,157.74392197371168,155.55591648465753,0.06540745288057702,1.742343035194704,-1.676935582314127,0.16136655360892224,chop,-0.005975130575125331,11810.875148711522,11544.708289249984,1.6873351196751383,-0.08474677872033363,11561.0,11399.912250546027,11561.0,11233.59645628067,ll,-0.18802626198772177,0.8331715593826527,True,False,False,True,True,X0E5_FLOOR_LATCH,49,2020-08-19T12:00:00Z,2020-08-22T00:00:00Z,1597838400000,1598054400000,-954.562326337904,-3.111194143691393,2.5,x0e5_floor_latch_entry,x0e5_floor_latch_floor_exit,X0_E5EXIT,48.0,2020-08-19T12:00:00Z,2020-08-25T16:00:00Z,1597838400000.0,1598371200000.0,-1181.3784604063299,-4.050654841534872,6.166666666666667,x0_entry,x0_trail_stop,True,226.81613406842587,0.939460697843479,True,good_exit
15,X0E5_FLOOR_LATCH,2020-12-11T11:59:59Z,1607687999999,6452,2020-12-11T00:00:00Z,1607644800000,6450,2,2,18273.0693737025,17647.71,18273.0693737025,337.77288924460584,359.70229871370236,353.91919849901876,0.0,1.851419677585883,-1.851419677585883,0.2987529249371488,transition,-0.007011711943364259,18458.062865683136,18265.071444639816,0.5365309638928035,-1.7163122027507338,17650.0,17211.311778205443,17650.0,17557.233047641777,ll,-0.006366375772937585,1.2132205530938185,True,False,False,True,False,X0E5_FLOOR_LATCH,58,2020-12-11T00:00:00Z,2020-12-11T12:00:00Z,1607644800000,1607688000000,-1698.5470489471777,-3.8078641369725537,0.5,x0e5_floor_latch_entry,x0e5_floor_latch_floor_exit,X0_E5EXIT,56.0,2020-12-11T00:00:00Z,2021-01-04T12:00:00Z,1607644800000.0,1609761600000.0,29189.508289284044,67.5704026706974,24.5,x0_entry,x0_trail_stop,True,-30888.05533823122,-71.37826680766996,True,bad_exit
19,X0E5_FLOOR_LATCH,2021-08-19T03:59:59Z,1629345599999,7956,2021-08-18T16:00:00Z,1629302400000,7954,2,2,45865.83145499999,44046.97,45865.83145499999,990.9765710972375,1006.5393646868185,978.2264842153958,0.0,1.8354232663503798,-1.8354232663503798,0.24972171959773137,chop,0.0044193976652314405,45632.191715672394,43344.1142656263,2.2732120871974297,0.6982893655554108,44203.28,42931.1520023538,44203.28,41387.661297195504,ll,-0.15529447280845596,1.1085686628792517,True,False,False,True,True,X0E5_FLOOR_LATCH,75,2021-08-18T16:00:00Z,2021-08-19T04:00:00Z,1629302400000,1629345600000,-5837.264193492892,-4.349007606482671,0.5,x0e5_floor_latch_entry,x0e5_floor_latch_floor_exit,X0_E5EXIT,72.0,2021-08-18T16:00:00Z,2021-08-25T00:00:00Z,1629302400000.0,1629849600000.0,4904.862308341827,3.5273565441271018,6.333333333333333,x0_entry,x0_trail_stop,True,-10742.126501834719,-7.876364150609772,True,bad_exit
24,X0E5_FLOOR_LATCH,2022-07-25T03:59:59Z,1658721599999,9996,2022-07-24T00:00:00Z,1658620800000,9990,6,3,22471.034192144998,21867.75,22847.08,530.2469710580069,520.9850525633021,511.87291280284614,0.7091899216409965,1.846931813765829,-1.1377418921248326,0.19437163370776478,chop,-0.004676290989965353,22566.316966678653,21805.26506506573,1.4607941204233506,0.1199361375663982,21934.57,21311.461261591463,21934.57,20781.519239460038,ll,-0.12825703860645937,1.0677633373002489,True,False,False,True,True,X0E5_FLOOR_LATCH,91,2022-07-24T00:00:00Z,2022-07-25T04:00:00Z,1658620800000,1658721600000,-4577.4423926981135,-3.0732273966450148,1.1666666666666667,x0e5_floor_latch_entry,x0e5_floor_latch_floor_exit,X0_E5EXIT,87.0,2022-07-24T00:00:00Z,2022-07-26T00:00:00Z,1658620800000.0,1658793600000.0,-8713.27188823003,-5.54141334737965,2.0,x0_entry,x0_trail_stop,True,4135.829495531917,2.468185950734635,True,good_exit
25,X0E5_FLOOR_LATCH,2022-08-04T19:59:59Z,1659643199999,10060,2022-08-03T16:00:00Z,1659542400000,10054,6,6,23376.118598189994,22451.24,23462.0,441.84802037851466,438.975891156484,441.9964247852271,0.19436864679496413,2.287573901845522,-2.0932052550505578,0.27992120959276945,transition,-0.005277453740216171,23090.35325858603,22606.376450136162,1.102513414062055,-0.3534053993886833,22654.37,22136.01072564432,22654.37,21722.383600565707,ll,-0.4627361185254399,0.7181015648153473,True,False,False,True,True,X0E5_FLOOR_LATCH,93,2022-08-03T16:00:00Z,2022-08-04T20:00:00Z,1659542400000,1659643200000,-6186.017773095054,-4.339770888484393,1.1666666666666667,x0e5_floor_latch_entry,x0e5_floor_latch_floor_exit,X0_E5EXIT,89.0,2022-08-03T16:00:00Z,2022-08-09T16:00:00Z,1659542400000.0,1660060800000.0,-2466.947537413684,-1.682229843990058,6.0,x0_entry,x0_trail_stop,True,-3719.0702356813695,-2.6575410444943355,True,bad_exit
