episode_id,peak_ts,trough_ts,end_ts,peak_date,trough_date,end_date,peak_nav,trough_nav,end_nav,depth_pct,duration_days,recovery_days,recovered,n_buy_fills,n_sell_fills,n_trades_exit_window,n_emergency_dd,n_trailing_stop,n_other_exit_reasons,max_run_emergency_dd,is_cascade,max_exposure_during,trade_ids_exit_window,exit_reason_counts_json
1,1557820799999,1560124799999,1561060799999,2019-05-14,2019-06-09,2019-06-20,14694.43,12049.03,14776.8,18.0,26.67,10.83,True,15,3,3,1,2,0,1,False,0.968739,2;3;4,"{""emergency_dd"": 1, ""trailing_stop"": 2}"
2,1561579199999,1593964799999,1605556799999,2019-06-26,2020-07-05,2020-11-16,21503.94,13784.56,21698.06,35.9,374.83,134.17,True,127,24,24,11,13,0,2,True,1.0,5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28,"{""emergency_dd"": 11, ""trailing_stop"": 13}"
3,1606233599999,1606391999999,1608134399999,2020-11-24,2020-11-26,2020-12-16,24941.09,22688.62,25467.46,9.03,1.83,20.17,True,9,2,2,0,2,0,0,False,0.975806,29;30,"{""trailing_stop"": 2}"
4,1609660799999,1609761599999,1609919999999,2021-01-03,2021-01-04,2021-01-06,41719.71,37348.44,41983.76,10.48,1.17,1.83,True,0,0,0,0,0,0,0,False,0.973355,,{}
5,1610107199999,1611763199999,1613059199999,2021-01-08,2021-01-27,2021-02-11,49773.77,39315.33,49795.47,21.01,19.17,15.0,True,12,2,2,0,2,0,0,False,0.977525,31;32,"{""trailing_stop"": 2}"
6,1613937599999,1615046399999,1615507199999,2021-02-21,2021-03-06,2021-03-11,58290.66,51381.9,58892.56,11.85,12.83,5.33,True,6,1,1,0,1,0,0,False,0.853061,33,"{""trailing_stop"": 1}"
7,1615694399999,1616687999999,1619798399999,2021-03-14,2021-03-25,2021-04-30,61965.04,52842.32,62417.71,14.72,11.5,36.0,True,10,2,2,0,2,0,0,False,0.936963,34;35,"{""trailing_stop"": 2}"
8,1620028799999,1632887999999,1634745599999,2021-05-03,2021-09-29,2021-10-20,63989.17,47504.8,65281.97,25.76,148.83,21.5,True,38,8,8,1,5,2,1,False,0.96974,36;37;38;39;40;41;42;43,"{""emergency_dd"": 1, ""fixed_stop"": 2, ""trailing_stop"": 5}"
9,1634759999999,1635379199999,1636415999999,2021-10-20,2021-10-27,2021-11-08,64829.26,58383.75,65125.83,9.94,7.17,12.0,True,7,1,1,0,1,0,0,False,0.969528,44,"{""trailing_stop"": 1}"
10,1636430399999,1697126399999,1707623999999,2021-11-09,2023-10-12,2024-02-11,66015.93,42612.26,66168.64,35.45,702.5,121.5,True,83,16,16,7,8,1,2,True,1.0,45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60,"{""emergency_dd"": 7, ""fixed_stop"": 1, ""trailing_stop"": 8}"
11,1709596799999,1723060799999,1731355199999,2024-03-04,2024-08-07,2024-11-11,84828.33,59923.26,85453.1,29.36,155.83,96.0,True,82,16,16,6,10,0,5,True,0.98284,62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77,"{""emergency_dd"": 6, ""trailing_stop"": 10}"
12,1733371199999,1735574399999,1737129599999,2024-12-05,2024-12-30,2025-01-17,100486.32,89914.96,100737.89,10.52,25.5,18.0,True,21,3,3,0,3,0,0,False,0.977058,79;80;81,"{""trailing_stop"": 3}"
13,1737374399999,1743710399999,1752465599999,2025-01-20,2025-04-03,2025-07-14,104702.23,78113.22,105898.52,25.39,73.33,101.33,True,42,8,8,3,5,0,2,True,1.0,82;83;84;85;86;87;88;89,"{""emergency_dd"": 3, ""trailing_stop"": 5}"
14,1752479999999,1756699199999,1759507199999,2025-07-14,2025-09-01,2025-10-03,107640.08,91785.79,107722.04,14.73,48.83,32.5,True,26,5,5,2,3,0,1,False,1.0,90;91;92;93;94,"{""emergency_dd"": 2, ""trailing_stop"": 3}"
15,1759780799999,1763078399999,1771631999999,2025-10-06,2025-11-13,2026-02-20,110416.71,96908.67,96908.67,12.23,38.17,,False,14,4,4,2,2,0,1,False,0.970766,95;96;97;98,"{""emergency_dd"": 2, ""trailing_stop"": 2}"
