trade_id,entry_ts,exit_ts,entry_price,exit_price,net_pnl,return_pct,days_held,entry_reason,exit_reason,regime,atr_pct,vdo,accel,rsi,hma_slope_pct_per_bar,price_vs_hma_pct,price_vs_ema200_pct,compression_ratio,d1_vol_ann,bars_from_emdd_exit,emdd_exit_trade_id,emdd_exit_date,pre_dd_from_high_pct,post_rally_pct,is_v_shape,entry_in_20bar_range_pct,pattern
44,2021-09-30 20:00,2021-10-22 00:00,46834.94,62130.97,16999.53,32.66,21.17,vdo_trend_accel,trailing_stop,RISK_ON,2.323,0.00446,0.001893,63.4,0.119,3.22,-3.02,0.975,0.699,11,43,2021-09-29,1.35,53.91,False,82.3,trend continuation
63,2024-01-23 16:00,2024-02-24 00:00,39707.58,50693.42,16733.24,27.67,31.33,vdo_dip_buy,trailing_stop,RISK_ON,1.866,0.00813,0.002409,27.3,-0.3671,-2.91,-7.91,1.155,0.532,5,62,2024-01-22,6.39,35.15,False,17.0,other
79,2024-10-11 20:00,2024-10-23 12:00,63915.95,66347.6,2224.16,3.8,11.67,vdo_trend_accel,trailing_stop,RISK_ON,1.428,0.0062,0.009825,73.2,-0.17,3.34,2.15,1.112,0.368,6,78,2024-10-10,0.18,10.2,False,97.3,trend continuation
13,2019-09-26 00:00,2019-11-01 04:00,8262.92,9055.06,1859.64,9.59,36.17,vdo_dip_buy,trailing_stop,RISK_ON,3.744,0.00571,0.013657,25.0,-1.4261,-5.53,-16.18,1.416,0.726,12,12,2019-09-24,16.33,23.01,True,27.7,V-shape rebound
22,2020-05-26 08:00,2020-06-04 08:00,9121.64,9639.94,892.77,5.68,9.0,vdo_trend_accel,trailing_stop,RISK_ON,1.697,0.00636,0.023141,50.8,-0.1808,1.44,1.56,0.851,0.75,8,21,2020-05-25,3.76,15.88,False,47.3,trend continuation
57,2023-08-18 08:00,2023-08-31 20:00,26240.27,26136.63,-278.56,-0.39,13.5,vdo_dip_buy,trailing_stop,RISK_ON,2.199,0.00402,-0.001345,3.2,-0.6128,-6.86,-9.74,1.82,0.402,4,56,2023-08-17,10.4,6.48,False,29.2,recovery from drawdown
12,2019-09-20 00:00,2019-09-24 00:00,10155.66,9692.5,-629.93,-4.56,4.0,vdo_trend_accel,emergency_dd,RISK_ON,1.464,0.0131,0.012962,64.5,-0.25,1.85,-0.28,1.182,0.436,5,11,2019-09-19,0.83,0.79,False,87.3,trend continuation
15,2019-11-17 04:00,2019-11-21 16:00,8490.49,7623.8,-741.59,-10.21,4.5,vdo_trend_accel,emergency_dd,RISK_ON,0.924,0.00636,0.003305,36.4,-0.1699,0.04,-3.66,0.774,0.578,9,14,2019-11-15,3.61,1.8,False,20.5,trend continuation
48,2021-12-15 00:00,2021-12-28 20:00,48809.54,47641.78,-1015.06,-2.39,13.83,vdo_trend_accel,trailing_stop,RISK_ON,2.521,0.00495,0.031818,58.1,-0.2252,1.32,-10.15,0.978,0.724,8,47,2021-12-13,4.79,7.75,False,52.3,trend continuation
26,2020-08-23 00:00,2020-09-03 16:00,11701.34,10659.61,-1624.28,-8.9,11.67,vdo_trend_accel,emergency_dd,RISK_ON,1.091,0.00517,0.006,50.5,-0.2444,0.44,4.19,0.815,0.47,6,25,2020-08-22,2.11,3.33,False,53.2,trend continuation
98,2025-08-26 16:00,2025-09-01 04:00,110753.41,107552.37,-2872.26,-2.89,5.5,vdo_dip_buy,emergency_dd,RISK_ON,1.274,0.00589,0.005611,27.2,-0.3046,-2.24,-4.92,1.093,0.363,5,97,2025-08-25,5.49,3.48,False,13.6,other
70,2024-06-12 16:00,2024-06-17 16:00,68589.17,65302.65,-3142.41,-4.79,5.0,vdo_trend_accel,emergency_dd,RISK_ON,1.368,0.01023,0.026403,69.1,-0.2114,2.98,2.82,1.256,0.395,7,69,2024-06-11,0.66,0.38,False,88.9,trend continuation
71,2024-06-20 08:00,2024-06-24 12:00,64963.92,61230.67,-4984.18,-5.75,4.17,vdo_trend_accel,emergency_dd,RISK_ON,1.081,0.00521,0.002853,62.0,-0.0766,1.3,-1.95,0.95,0.336,16,70,2024-06-17,2.14,0.95,False,55.5,trend continuation
88,2025-02-26 12:00,2025-02-28 04:00,86187.24,80372.46,-5211.87,-6.75,1.67,vdo_dip_buy,emergency_dd,RISK_ON,1.953,0.00788,0.003891,28.6,-0.6771,-2.23,-8.59,1.261,0.383,7,87,2025-02-25,8.31,0.79,False,24.2,recovery from drawdown
72,2024-06-26 04:00,2024-07-05 00:00,61425.2,56992.98,-6100.15,-7.22,8.83,vdo_trend_accel,emergency_dd,RISK_ON,1.616,0.00463,0.019743,51.0,-0.2229,1.17,-6.12,1.201,0.377,10,71,2024-06-24,4.01,3.11,False,57.8,trend continuation
