config,benefit,cost,net,bcr,share_top1,share_top2,n_blocked_winners,blocked_winners_pnl,g1_delta_total,g2_delta,n_cascade_episodes,n_trades,final_nav
baseline,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,4,103,95968.45
v1_K12,17368.33,14717.04,-1415.92,1.18,77.4,100.0,2,33732.78,11759.37,-14717.04,4,99,94552.53
v2_escalating,0.0,0.0,-11728.08,0.0,0.0,0.0,0,0,-11728.08,0.0,4,102,84240.37
