episode_id,peak_ts,trough_ts,end_ts,peak_nav,trough_nav,end_nav,depth_pct,duration_days,recovery_days,peak_date,trough_date,end_date,recovered
1,1557647999999,1557676799999,1557763199999,13369.52,12270.04,13869.7,8.22,0.33,1.0,2019-05-12,2019-05-12,2019-05-13,True
2,1557820799999,1558598399999,1558929599999,14813.2,13045.65,14824.43,11.93,9.0,3.83,2019-05-14,2019-05-23,2019-05-27,True
3,1559231999999,1560124799999,1560614399999,15281.56,13551.17,15362.05,11.32,10.33,5.67,2019-05-30,2019-06-09,2019-06-15,True
4,1561579199999,1593964799999,1604649599999,24246.04,16308.66,24227.12,32.74,374.83,123.67,2019-06-26,2020-07-05,2020-11-06,True
5,1606233599999,1606391999999,1608134399999,29652.15,26999.42,30269.82,8.95,1.83,20.17,2020-11-24,2020-11-26,2020-12-16,True
6,1609660799999,1609761599999,1609919999999,49581.57,44387.4,49895.33,10.48,1.17,1.83,2021-01-03,2021-01-04,2021-01-06,True
7,1610107199999,1611763199999,1615492799999,59151.81,46920.74,59138.12,20.68,19.17,43.17,2021-01-08,2021-01-27,2021-03-11,True
8,1615694399999,1616687999999,1618358399999,62991.41,55682.35,62955.81,11.6,11.5,19.33,2021-03-14,2021-03-25,2021-04-13,True
9,1620028799999,1632873599999,1633535999999,67491.98,50876.84,67441.43,24.62,148.67,7.67,2021-05-03,2021-09-28,2021-10-06,True
10,1634745599999,1635379199999,1636430399999,81595.85,73046.29,82626.21,10.48,7.33,12.17,2021-10-20,2021-10-27,2021-11-09,True
11,1636559999999,1686844799999,1701719999999,82462.89,56758.53,82921.95,31.17,582.0,172.17,2021-11-10,2023-06-15,2023-12-04,True
12,1702108799999,1702871999999,1704743999999,87185.3,78833.64,88889.57,9.58,8.83,21.67,2023-12-09,2023-12-18,2024-01-08,True
13,1704974399999,1706039999999,1707407999999,89036.33,78407.88,89169.97,11.94,12.33,15.83,2024-01-11,2024-01-23,2024-02-08,True
14,1709596799999,1723060799999,1733371199999,119372.12,76043.7,122852.23,36.3,155.83,119.33,2024-03-04,2024-08-07,2024-12-05,True
15,1734407999999,1735574399999,1737129599999,124265.42,112317.34,126048.74,9.61,13.5,18.0,2024-12-17,2024-12-30,2025-01-17,True
16,1737374399999,1743393599999,1771631999999,130977.98,90559.35,113232.16,30.86,69.67,,2025-01-20,2025-03-31,2026-02-20,False
