cooldown,benefit,cost,net,bcr,share_top1,share_top2,n_blocked_winners,blocked_winners_pnl,g1_delta_total,g2_delta,n_cascade_episodes,n_trades,final_nav
0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,4,103,95968.45
3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,4,103,95968.45
6,699.0,0.0,955.51,inf,49.7,96.0,0,0,699.0,625.34,4,103,96923.96
9,9436.47,18822.49,-9574.83,0.501,100.0,100.0,1,16733.24,4091.69,-18822.49,4,102,86393.62
12,17368.33,14717.04,-1415.92,1.18,77.4,100.0,2,33732.78,11759.37,-14717.04,4,99,94552.53
18,19180.32,20487.78,-16829.19,0.936,79.9,100.0,3,51735.03,10202.67,-20487.78,4,94,79139.26
