episode_id,peak_date,trough_date,end_date,depth_pct_baseline,duration_days,bl_nav_peak,bl_nav_end,bl_pnl,bl_return_pct,bl_mdd_pct,bl_recovery_days,bl_n_trades,bl_n_emergency_dd,bl_total_fees,ov_nav_peak,ov_nav_end,ov_pnl,ov_return_pct,ov_mdd_pct,ov_recovery_days,ov_n_trades,ov_n_emergency_dd,ov_total_fees,ov_n_blocked_entries,delta_pnl,delta_return_pct,delta_mdd_pp,delta_n_emergency_dd,delta_n_trades
4,2019-06-26,2020-07-05,2020-11-06,32.74,374.83,24885.7,23731.9,-1153.81,-4.64,35.22,,25,12,1233.62,24885.7,22031.63,-2854.08,-11.47,39.92,,24,11,1122.84,121,-1700.27,-6.83,4.7,-1,-1
11,2021-11-10,2023-06-15,2023-12-04,31.17,582.0,78047.5,68187.54,-9859.96,-12.63,36.16,,15,6,2253.32,68842.01,59446.71,-9395.31,-13.65,36.9,,14,6,1889.19,66,464.65,-1.02,0.74,0,-1
14,2024-03-04,2024-08-07,2024-12-05,36.3,155.83,97580.45,112093.77,14513.32,14.87,33.5,97.8,18,7,4135.35,81684.25,98073.65,16389.4,20.06,29.81,96.0,18,7,3508.09,77,1876.08,5.19,-3.69,0,0
16,2025-01-20,2025-03-31,2026-02-20,30.86,69.67,118846.15,95968.45,-22877.7,-19.25,31.56,,19,9,4998.03,103981.48,94552.53,-9428.95,-9.07,25.76,105.2,17,7,4284.33,77,13448.75,10.18,-5.8,-2,-2
