variant,n_bars,equity_first_nav,equity_last_nav,equity_pnl,equity_return_pct,equity_mdd_pct,n_trades,wins,win_rate_pct,n_emergency_dd,trade_total_pnl,trade_avg_pnl,total_fees,total_turnover
baseline,4098,10000.0,117665.86,107665.86,1076.66,25.34,26,18,69.23,2,79069.66,3041.14,3647.83,2431885.24
overlayA,4098,10000.0,102948.81,92948.81,929.49,25.34,26,18,69.23,2,66278.28,2549.16,3285.81,2190541.15
