cost_bps,Mon×X14D,Mon×X18,Mon×T45,X14D×T45,X18×T45,Mon×X14D×T45,Mon×X18×T45
10,0.0047,-0.0209,-0.0489,0.2468,0.1145,0.0502,0.0213
15,0.0038,-0.0211,-0.0497,0.2353,0.1082,0.0510,0.0216
20,0.0029,-0.0213,-0.0505,0.2238,0.1019,0.0518,0.0218
25,0.0020,-0.0215,-0.0513,0.2123,0.0957,0.0527,0.0221
30,0.0011,-0.0216,-0.0521,0.2008,0.0894,0.0535,0.0223
35,0.0002,-0.0218,-0.0530,0.1892,0.0831,0.0543,0.0225
50,-0.0024,-0.0224,-0.0554,0.1545,0.0642,0.0568,0.0232
75,-0.0068,-0.0233,-0.0594,0.0965,0.0326,0.0608,0.0243
100,-0.0111,-0.0242,-0.0633,0.0386,0.0011,0.0648,0.0254
