strategy_id,strategy_name,cost_bps,sharpe,cagr,mdd,calmar,n_trades,exposure,win_rate,avg_winner,avg_loser,profit_factor,avg_hold,suppressions,monitor_blocks
S01,Base,10,1.7431,80.23,35.39,2.2671,202,48.0,0.441,9.56,-3.04,2.03,37.2,0,0
S01,Base,15,1.7089,77.91,35.80,2.1763,202,48.0,0.441,9.51,-3.09,1.98,37.2,0,0
S01,Base,20,1.6747,75.62,36.21,2.0881,202,48.0,0.431,9.67,-3.08,1.93,37.2,0,0
S01,Base,25,1.6405,73.36,36.63,2.0028,202,48.0,0.431,9.62,-3.13,1.88,37.2,0,0
S01,Base,30,1.6062,71.12,37.38,1.9029,202,48.0,0.421,9.79,-3.12,1.83,37.2,0,0
S01,Base,35,1.5720,68.92,38.28,1.8006,202,48.0,0.421,9.73,-3.17,1.79,37.2,0,0
S01,Base,50,1.4690,62.48,40.90,1.5275,202,48.0,0.411,9.80,-3.26,1.67,37.2,0,0
S01,Base,75,1.2973,52.29,45.04,1.1610,202,48.0,0.396,9.89,-3.42,1.50,37.2,0,0
S01,Base,100,1.1255,42.74,49.87,0.8571,202,48.0,0.381,9.99,-3.58,1.37,37.2,0,0
S02,Base+T45,10,1.4028,61.71,41.26,1.4957,139,52.5,0.388,13.75,-3.77,1.82,59.2,0,0
S02,Base+T45,15,1.3809,60.30,41.75,1.4441,139,52.5,0.388,13.70,-3.82,1.79,59.2,0,0
S02,Base+T45,20,1.3589,58.90,42.25,1.3942,139,52.5,0.381,13.90,-3.83,1.75,59.2,0,0
S02,Base+T45,25,1.3370,57.52,42.73,1.3459,139,52.5,0.367,14.38,-3.79,1.72,59.2,0,0
S02,Base+T45,30,1.3150,56.14,43.22,1.2990,139,52.5,0.367,14.33,-3.83,1.69,59.2,0,0
S02,Base+T45,35,1.2930,54.78,43.70,1.2536,139,52.5,0.360,14.56,-3.84,1.66,59.2,0,0
S02,Base+T45,50,1.2270,50.77,45.12,1.1253,139,52.5,0.353,14.68,-3.94,1.58,59.2,0,0
S02,Base+T45,75,1.1170,44.31,47.40,0.9349,139,52.5,0.345,14.69,-4.13,1.46,59.2,0,0
S02,Base+T45,100,1.0069,38.13,49.62,0.7684,139,52.5,0.338,14.72,-4.33,1.36,59.2,0,0
S03,X14D,10,1.5953,76.22,41.69,1.8285,106,52.7,0.358,19.84,-3.34,2.30,77.8,1667,0
S03,X14D,15,1.5791,75.07,42.04,1.7858,106,52.7,0.358,19.78,-3.39,2.26,77.8,1667,0
S03,X14D,20,1.5628,73.92,42.38,1.7441,106,52.7,0.358,19.72,-3.44,2.22,77.8,1667,0
S03,X14D,25,1.5466,72.78,42.73,1.7033,106,52.7,0.349,20.19,-3.43,2.18,77.8,1667,0
S03,X14D,30,1.5303,71.65,43.07,1.6635,106,52.7,0.349,20.13,-3.48,2.14,77.8,1667,0
S03,X14D,35,1.5140,70.52,43.41,1.6245,106,52.7,0.340,20.63,-3.48,2.10,77.8,1667,0
S03,X14D,50,1.4652,67.18,44.42,1.5125,106,52.7,0.330,21.04,-3.57,2.00,77.8,1667,0
S03,X14D,75,1.3836,61.77,46.06,1.3410,106,52.7,0.321,21.35,-3.77,1.85,77.8,1667,0
S03,X14D,100,1.3020,56.53,47.79,1.1831,106,52.7,0.302,22.36,-3.90,1.72,77.8,1667,0
S04,X14D+T45,10,1.5019,69.91,44.67,1.5652,103,53.3,0.320,22.29,-3.52,2.18,81.0,420,0
S04,X14D+T45,15,1.4864,68.84,45.02,1.5290,103,53.3,0.320,22.23,-3.57,2.14,81.0,420,0
S04,X14D+T45,20,1.4709,67.78,45.38,1.4936,103,53.3,0.320,22.17,-3.62,2.11,81.0,420,0
S04,X14D+T45,25,1.4553,66.73,45.73,1.4590,103,53.3,0.320,22.11,-3.66,2.07,81.0,420,0
S04,X14D+T45,30,1.4398,65.68,46.09,1.4252,103,53.3,0.320,22.04,-3.71,2.04,81.0,420,0
S04,X14D+T45,35,1.4243,64.64,46.44,1.3920,103,53.3,0.320,21.98,-3.76,2.01,81.0,420,0
S04,X14D+T45,50,1.3776,61.55,47.47,1.2967,103,53.3,0.291,23.99,-3.75,1.91,81.0,420,0
S04,X14D+T45,75,1.2998,56.54,49.24,1.1482,103,53.3,0.282,24.50,-3.93,1.77,81.0,420,0
