label,scenario,score,cagr_pct,max_drawdown_mid_pct,sharpe,sortino,calmar,profit_factor,win_rate_pct,trades,avg_trade_pnl,fees_total,fee_drag_pct_per_year,turnover_per_year,avg_exposure,time_in_market_pct,total_return_pct,initial_cash,final_nav_mid
candidate,smart,68.2327,31.67,42.18,0.9924,1.1117,0.7509,1.8053,70.83,24,327.61,218.74,0.88,25.07,0.6196,75.79,73.42,10000.0,17342.48
candidate,base,60.3133,28.98,42.95,0.9301,1.0434,0.6746,1.7585,66.67,24,306.03,611.61,2.49,24.93,0.6193,75.74,66.39,10000.0,16638.71
candidate,harsh,52.019,26.18,43.76,0.864,0.9714,0.5982,1.7026,66.67,24,281.82,896.69,3.72,24.78,0.6193,75.74,59.24,10000.0,15924.09
baseline,smart,114.0191,43.14,26.79,1.3517,1.497,1.6105,2.6459,53.12,32,347.53,279.45,1.09,31.12,0.5327,69.97,104.96,10000.0,20496.14
baseline,base,102.7443,39.47,28.05,1.2641,1.4036,1.407,2.5173,53.12,32,322.25,775.8,3.1,30.97,0.5328,69.97,94.57,10000.0,19457.05
baseline,harsh,91.6779,35.9,29.36,1.1768,1.3097,1.2229,2.3859,53.12,32,296.69,1132.46,4.62,30.81,0.5326,69.95,84.75,10000.0,18475.06
