cost_bps,strategy,sharpe,cagr,mdd,n_trades
15,Cand01,1.3131072764673726,0.43937826050502116,-0.5009558580771084,39
15,Cand02,1.182529146991028,0.3474026858641066,-0.377613910673654,49
15,Cand03,1.0193944052334925,0.43163311549430716,-0.40579561405353737,110
15,Benchmark,0.9535166646305543,0.3766747044612344,-0.34831811562879783,108
30,Cand01,1.2864241249375268,0.4295601445580308,-0.5091316485987188,39
30,Cand02,1.1465449035518727,0.33586545723390304,-0.388729028803285,49
30,Cand03,0.9630806953299054,0.40426069622883753,-0.4251057125975612,110
30,Benchmark,0.8957494836672987,0.3509456675987903,-0.3696837878963692,108
50,Cand01,1.2508206319344803,0.4165620853542904,-0.519833999541636,39
50,Cand02,1.0985400255657418,0.32062273347456016,-0.40325358915195036,49
50,Cand03,0.8880409183460966,0.36854562041203165,-0.44990114642007617,110
50,Benchmark,0.8188037488915454,0.31735767106376245,-0.3992821113844819,108
75,Cand01,1.206292674807843,0.4004625342497514,-0.5328989254893167,39
75,Cand02,1.0385290105834077,0.3017926026301956,-0.4209445723989209,49
75,Cand03,0.7943777360895675,0.32512826831605635,-0.47942937023890586,110
75,Benchmark,0.7228157245721669,0.2764992293387196,-0.4343716000663635,108
100,Cand01,1.1617617675246683,0.3845260891947462,-0.5456241027011142,39
100,Cand02,0.9785594930312812,0.2832078247889809,-0.4381323228993302,49
100,Cand03,0.7009478255806819,0.28303640584970946,-0.5074066995445623,110
100,Benchmark,0.6271325796954126,0.23685910401322818,-0.4674516647064081,108
