field,count,mean,std,min,25%,50%,75%,max
open,3128.0,36849.1304,32391.6411,3188.01,9221.89,26768.885,57975.6825,124658.54
high,3128.0,37631.3122,32912.6475,3276.5,9395.0,27171.6,59405.5975,126199.63
low,3128.0,35999.5899,31826.289,2817.0,9018.1725,26377.525,56581.2825,123084.0
close,3128.0,36870.1764,32391.7957,3189.02,9226.38,26785.145,58000.865,124658.54
volume,3128.0,61630.8458,76264.5181,228.1081,23697.6683,39047.2338,64919.1752,760705.3628
taker_buy_ratio,3128.0,0.4953,0.0337,0.1745,0.4803,0.4957,0.5096,0.8108
