regime,bars,pct_bars,mean_vol_ann,mean_return_h4,std_return_h4,sharpe_ann
Low,6238,33.3%,28.3%,1.69 bps,63.32 bps,1.253
Mid,6256,33.4%,50.1%,2.88 bps,109.62 bps,1.228
High,6238,33.3%,97.1%,-0.04 bps,223.73 bps,-0.009
