config,sharpe,cagr,mdd,n_trades,exposure,churn_rate,avg_winner,avg_loser,win_rate,profit_factor,avg_hold
A_20_90+X_trail8+F2_d1ema50,1.2508206319344803,0.4165620853542904,-0.519833999541636,39,0.2584790955631399,0.0,0.30912876692881175,-0.0700382018904943,0.46153846153846156,3.7831855667095846,124.28205128205128
A_20_90+XZ_trail8_rev+F4_vol_low,1.12837715078584,0.3115527623036829,-0.3445004076525886,57,0.26119880546075086,0.03508771929824561,0.28807346981577797,-0.034466615344757645,0.2807017543859649,3.2616755061549334,85.9298245614035
A_20_90+XZ_trail8_rev+F2_d1ema50,1.0985400255657418,0.32062273347456016,-0.40325358915195036,49,0.19763225255972697,0.08163265306122448,0.31902528847384765,-0.043099886802291855,0.30612244897959184,3.2655874815383856,75.63265306122449
A_20_90+XZ_trail8_rev,1.0531240403142945,0.45370928322189297,-0.4894527880652459,114,0.4236348122866894,0.07017543859649122,0.21682241201334568,-0.0418181361797343,0.3157894736842105,2.3930258880402806,69.6842105263158
A_20_90+X_trail8+F4_vol_low,1.0179207337526368,0.2975961140264092,-0.39735211108810775,38,0.31623293515358364,0.0,0.3055834326792877,-0.0622176289140245,0.39473684210526316,3.2031684030759733,156.05263157894737
A_20_90+X_trail8,0.9621480980984484,0.4281506561793149,-0.5398917379836663,87,0.488481228668942,0.011494252873563218,0.21516457788175652,-0.06471079402704977,0.41379310344827586,2.3470717797293843,105.28735632183908
A_20_90+X_trail8+F1_d1ema21,0.9372603362999115,0.3645253975813385,-0.645160797708016,68,0.4120627133105802,0.0,0.2220541134655052,-0.0654193603774159,0.4264705882352941,2.5239800625116575,113.63235294117646
B_60+XZ_trail8_rev+F2_d1ema50,0.9015048904856604,0.3732514220414551,-0.4655251180239111,85,0.3641744880546075,0.023529411764705882,0.21754374590221323,-0.0576188297313979,0.3764705882352941,2.279587557565597,80.34117647058824
B_60+Y_atr3+F2_d1ema50,0.8880409183460966,0.36854562041203165,-0.44990114642007617,110,0.275490614334471,0.045454545454545456,0.15527252877857062,-0.04107676443408727,0.38181818181818183,2.3347413565171427,46.96363636363636
B_60+YZ_atr3_rev+F2_d1ema50,0.8880409183460966,0.36854562041203165,-0.44990114642007617,110,0.275490614334471,0.045454545454545456,0.15527252877857062,-0.04107676443408727,0.38181818181818183,2.3347413565171427,46.96363636363636
B_60+XZ_trail8_rev,0.8761602319801343,0.4073640829283949,-0.581102714130421,112,0.47018984641638223,0.017857142857142856,0.19663693767507315,-0.05386543587773761,0.36607142857142855,2.1080476899742555,78.72321428571429
A_20_90+YZ_atr3_rev,0.869064963782909,0.3362929862042354,-0.3692326725304103,114,0.2499466723549488,0.043859649122807015,0.16030576605648875,-0.035815868797806065,0.34210526315789475,2.3274319777070547,41.1140350877193
B_60+Y_atr3,0.858689668919186,0.390981606965646,-0.5579318429160242,150,0.3465230375426621,0.04666666666666667,0.13890702783369396,-0.03859589489208766,0.36666666666666664,2.0836376107966217,43.32
B_60+YZ_atr3_rev,0.858689668919186,0.390981606965646,-0.5579318429160242,150,0.3465230375426621,0.04666666666666667,0.13890702783369396,-0.03859589489208766,0.36666666666666664,2.0836376107966217,43.32
B_60+XZ_trail8_rev+F1_d1ema21,0.8554011903970938,0.3711231933636965,-0.6100852543562116,97,0.41131612627986347,0.020618556701030927,0.1990264939644403,-0.06094291913073897,0.3917525773195876,2.1033871902284433,79.51546391752578
B_60+Y_atr3+F1_d1ema21,0.841569155389618,0.3623983113209608,-0.5469918689334419,127,0.308660409556314,0.023622047244094488,0.14449922222946537,-0.04279089036361726,0.3858267716535433,2.121366292097155,45.574803149606296
B_60+YZ_atr3_rev+F1_d1ema21,0.841569155389618,0.3623983113209608,-0.5469918689334419,127,0.308660409556314,0.023622047244094488,0.14449922222946537,-0.04279089036361726,0.3858267716535433,2.121366292097155,45.574803149606296
B_60+XZ_trail8_rev+F3_vdo_pos,0.8327077381597322,0.3748385615985179,-0.5432156445580137,109,0.45451151877133106,0.009174311926605505,0.1917148118762806,-0.05374318583045537,0.3669724770642202,2.067964890063763,78.19266055045871
B_60+YW_atr3_80+F2_d1ema50,0.828954877919571,0.33135989756299433,-0.4533395079658352,125,0.2681847269624573,0.12,0.13952456223445214,-0.04164983588733785,0.376,2.018555195652314,40.232
A_20_90+Y_atr3+F2_d1ema50,0.8280608831952376,0.24666770559394569,-0.40556222793833446,45,0.12377346416382252,0.0,0.2605783835831095,-0.03907581252856587,0.3333333333333333,3.3342669892355654,51.577777777777776
