feature,horizon,spearman_r,spearman_p,mi_bits,n_obs,abs_spearman
log_ret_1,1,-0.062113095301258185,2.506353075284104e-17,0.06065377995351689,18551,0.062113095301258185
log_ret_1,5,0.009308526761852232,0.20492446605823808,0.03428182259606406,18547,0.009308526761852232
log_ret_1,10,-0.0036373477762113343,0.6204149774009577,0.027225940794516894,18542,0.0036373477762113343
log_ret_1,20,0.009131713989035502,0.21384455003880892,0.016243914079481347,18532,0.009131713989035502
log_ret_1,40,0.006028883273979003,0.41208229436364047,0.01258339020871403,18512,0.006028883273979003
log_ret_1,60,0.008773089037042952,0.23288762588606954,0.008131126034594406,18492,0.008773089037042952
ret_5,1,-0.011012999772275657,0.1336305628983903,0.055678952631708245,18551,0.011012999772275657
ret_5,5,-0.03680070766532149,5.354561060661556e-07,0.04216908297907401,18547,0.03680070766532149
ret_5,10,-0.008111603341409084,0.2693794590654066,0.026703769186805972,18542,0.008111603341409084
ret_5,20,0.010885033578534204,0.13840723407698916,0.020084924486012293,18532,0.010885033578534204
ret_5,40,0.010279080235253398,0.16196239150014158,0.018115055636822912,18512,0.010279080235253398
ret_5,60,0.007068878646932803,0.3364463058961376,0.013672625320037922,18492,0.007068878646932803
ret_10,1,-0.0142852533311106,0.051696912991125096,0.054967822430474225,18551,0.0142852533311106
ret_10,5,-0.004100030349101667,0.576614238065633,0.04172100985897137,18547,0.004100030349101667
ret_10,10,0.014747388107946695,0.04463148838998916,0.029530390887255804,18542,0.014747388107946695
ret_10,20,0.0191401030779121,0.009170039309949314,0.035007234909904594,18532,0.0191401030779121
ret_10,40,0.020433204150347963,0.0054322089591579414,0.027590133563836824,18512,0.020433204150347963
ret_10,60,0.017307745662555194,0.018591803628913828,0.02526909208133588,18492,0.017307745662555194
ret_20,1,-3.3703192547522345e-05,0.9963376151791273,0.060051598355286735,18551,3.3703192547522345e-05
ret_20,5,0.0012850210298941194,0.8610859880959207,0.04120797896227256,18547,0.0012850210298941194
ret_20,10,0.01292322524013679,0.07845908268433217,0.03643704912203993,18542,0.01292322524013679
ret_20,20,0.014876707369467994,0.04284932859970038,0.04003477157609362,18532,0.014876707369467994
ret_20,40,0.007157826794690736,0.33013990550810185,0.031244847972537022,18512,0.007157826794690736
ret_20,60,0.014007201391271514,0.056814128555834606,0.032063786976389626,18492,0.014007201391271514
ema_spread_20,1,-0.014517812781337125,0.04800469092231088,0.06398697974852634,18551,0.014517812781337125
ema_spread_20,5,-0.0024146550545796537,0.7422888430851619,0.04313303174154162,18547,0.0024146550545796537
ema_spread_20,10,0.016743263501139753,0.022612448162216144,0.03523967603764688,18542,0.016743263501139753
ema_spread_20,20,0.022414435413034256,0.0022769657230460815,0.03996135039475781,18532,0.022414435413034256
ema_spread_20,40,0.020540818856045247,0.005192130984386399,0.031024127464739048,18512,0.020540818856045247
