field,count,mean,std,min,25%,50%,75%,max
open,18752.0,36880.4767,32392.0499,2870.9,9208.8875,26815.515,57956.26,125410.8
high,18752.0,37188.167,32593.5728,3148.0,9276.9925,26921.01,58471.2575,126199.63
low,18752.0,36551.4309,32177.567,2817.0,9130.9,26632.39,57355.895,124800.0
close,18752.0,36884.01,32392.0314,2919.0,9209.7475,26817.09,57963.985,125410.81
volume,18752.0,10280.971,14204.6541,5.887,3369.5756,5969.371,10967.5618,284711.6942
taker_buy_ratio,18752.0,0.495,0.0481,0.0854,0.472,0.4961,0.5184,0.924
