fold,removed,strategy,sharpe
1,0-3125,Cand01,1.3249434637657707
1,0-3125,Cand02,1.1716413846194504
1,0-3125,Cand03,0.9037672549605169
1,0-3125,Benchmark,0.7057896365462711
2,3125-6250,Cand01,1.0459470217313456
2,3125-6250,Cand02,0.8180054446398436
2,3125-6250,Cand03,0.8825734980230323
2,3125-6250,Benchmark,0.8766249275354583
3,6250-9375,Cand01,0.956316792147302
3,6250-9375,Cand02,1.0491052501674425
3,6250-9375,Cand03,0.7556627658842018
3,6250-9375,Benchmark,0.5249121322485887
4,9375-12500,Cand01,1.4246153871142377
4,9375-12500,Cand02,1.283860188706185
4,9375-12500,Cand03,0.9811740867446465
4,9375-12500,Benchmark,0.98281589978011
5,12500-15625,Cand01,1.37661764950128
5,12500-15625,Cand02,1.1103546012528114
5,12500-15625,Cand03,0.9114496619351165
5,12500-15625,Benchmark,0.8534987485243095
6,15625-18750,Cand01,1.3389837955342296
6,15625-18750,Cand02,1.1364675751827258
6,15625-18750,Cand03,0.8897906426537375
6,15625-18750,Benchmark,0.9334445750310847
