k,VR,z_star,p_value
2,0.9558228448851683,-0.022749147904602595,0.9818503716062297
5,0.9736531278932093,-0.005973063890436397,0.995234212879704
10,0.9479767941462754,-0.007735658773359537,0.9938278988540092
20,0.9499243425445885,-0.0054190646819021705,0.9956762331184738
40,0.9801002388086245,-0.001603443298199299,0.9987206378964572
60,0.9978636242103317,-0.00014540506479086645,0.9998839835441496
80,1.0200457317523874,0.0012111081654823004,0.9990336757295307
100,1.0411836207608864,0.0022676096613937846,0.9981907108118236
120,1.0651318323378685,0.0033238580249104503,0.9973479498829466
