fold,strategy,is_sharpe,oos_sharpe,oos_trades
1,Cand01,1.459312550344746,2.733265775926629,9
1,Cand02,1.3709182679101493,2.006223724981184,11
1,Cand03,0.9291689669502988,1.5754114363958969,23
1,Benchmark,1.098053272098589,1.5837345042655768,20
2,Cand01,2.1792172666536014,0.30812448518049496,7
2,Cand02,1.7148866822897015,0.32780705279119987,10
2,Cand03,1.2406009824564106,-0.2225250269185944,20
2,Benchmark,1.2836490435114443,0.16911505402603572,22
3,Cand01,1.6386944460594393,0.5954772486740563,11
3,Cand02,1.2891928833188424,0.7947539713337691,13
3,Cand03,0.8468635657159451,1.3507778400987682,26
3,Benchmark,0.9600945933472543,0.9976198166031293,23
4,Cand01,1.3667072711958363,0.6841428519220358,7
4,Cand02,1.159992433831198,0.8175373627790357,9
4,Cand03,0.932719279144187,0.7138214906748385,22
4,Benchmark,0.9503369598275675,-0.07359043758286783,21
